phi0,phi,alpha,zeta,lindemannParameter
0.00105,0.2510211520613656,6.330451152263374,0.2661640032086427,0.967672714507852
0.0011,0.2596818737581621,6.330952314814818,0.2788384795519114,0.9502477377516504
0.00115,0.2711210595746677,6.330838076131686,0.2915129558951801,0.9972983963007794
0.0012,0.2811344367273936,6.330975329218105,0.3041874322384488,1.0276386530478236
0.00125,0.293259562955509,6.330856347736621,0.3168619085817175,1.0324212008037217
0.0013,0.3008824296207322,6.330989537037037,0.3295363849249861,1.028310724727078
0.00135,0.3121552474975556,6.33105439300411,0.3422108612682548,1.058127913032794
0.0014,0.3188926759535504,6.331148919753088,0.3548853376115235,1.052433802986317
0.00145,0.3348430467482128,6.331626522633743,0.3675598139547922,1.0221320352642311
0.0015,0.341936765045167,6.3315366563786,0.3802342902980609,1.1042755227559775
0.00155,0.3518829500963409,6.331637664609055,0.3929087666413295,1.064401072740892
0.0016,0.3600405778648078,6.331887150205757,0.4055832429845982,1.0757419155247163
0.00165,0.3644353377802161,6.331638034979418,0.4182577193278669,1.1637774249022848
0.0017,0.3789177859528895,6.3324541872427975,0.4309321956711356,1.0637465154951573
0.00175,0.3891791270863581,6.332332932098766,0.4436066720144043,1.1886169249242318
0.0018,0.3963617214055064,6.332376090534977,0.4562811483576729,1.1629757595212635
0.00185,0.4086227215207043,6.3324672530864206,0.4689556247009416,1.1263807038231028
0.0019,0.4106238846157039,6.332431440329215,0.4816301010442103,1.1587375317356972
0.00195,0.4191395478846206,6.332541090534979,0.494304577387479,1.2018599977952105
0.002,0.4168344971059545,6.332218816872423,0.5069790537307477,1.2329559534082537
0.00205,0.443354133332131,6.33417283950617,0.5196535300740165,1.109379648664532
0.0021,0.4383514965246722,6.333219516460908,0.5323280064172852,1.2190741177645563
0.00215,0.4588461934971459,6.334046224279833,0.545002482760554,1.1604853514346298
0.0022,0.4635252152275138,6.333390812757199,0.5576769591038226,1.257610345258439
0.00225,0.4739417465904946,6.334804331275718,0.5703514354470914,1.2313853972804143
0.0023,0.4739224924078007,6.334530493827163,0.5830259117903601,1.240504542170949
0.00235,0.4917534061285237,6.335277592592591,0.5957003881336289,1.2125652013985015
0.0024,0.5158361140043658,6.338046748971195,0.6083748644768976,1.1156243015441127
0.00245,0.4953636339801185,6.3353345061728366,0.6210493408201664,1.2655569678904348
0.0025,0.5631929829246929,6.345112458847735,0.6337238171634351,0.844725969289743
0.00255,0.5616169308832425,6.344258878600814,0.6463982935067039,0.8906367365243406
0.0026,0.5239010847702564,6.337786903292184,0.6590727698499725,1.1676141493040992
0.00265,0.551496673665767,6.340120010288064,0.6717472461932413,1.1516324821568185
0.0027,0.6263409203116881,6.352793251028809,0.68442172253651,0.6527430321096455
0.00275,0.6964200119274087,6.362481748971189,0.6970961988797788,0.1435919427712294
0.0028,0.7090361858595894,6.363985298353913,0.7097706752230475,0.1333544809506542
0.00285,0.7216768969820272,6.366186831275715,0.7224451515663163,0.1261035699727476
0.0029,0.7342612401587963,6.3684266563786,0.735119627909585,0.1194258274029505
0.00295,0.7468833078311462,6.371054238683126,0.7477941042528538,0.1109398397547379
0.003,0.7594247147092388,6.373970277777779,0.7604685805961224,0.1057558135649412
0.00305,0.7719485216794061,6.376561574074076,0.7731430569393912,0.0971755341077496
0.0031,0.7845222231629253,6.381019423868317,0.7858175332826599,0.0926219529274836
0.00315,0.797075886473357,6.385216430041151,0.7984920096259287,0.0861260971448742
0.0032,0.8095665513972518,6.3905778292181,0.8111664859691974,0.0814542140218882
0.00325,0.8219296519670021,6.396399413580249,0.8238409623124662,0.0762161268704359
0.0033,0.8343308366048713,6.4039199382716046,0.8365154386557349,0.0722873861485784
0.00335,0.8465663716445377,6.412897355967076,0.8491899149990036,0.0692863515666879
0.0034,0.8587660061856036,6.423593220164607,0.8618643913422723,0.0663202394005828
0.00345,0.8709165491549303,6.435930113168727,0.8745388676855411,0.0632956796357558
0.0035,0.8828042092884485,6.450413693415641,0.8872133440288098,0.0609854376327882
0.00355,0.894527918988663,6.467239547325109,0.8998878203720786,0.0586985733686414
0.0036,0.9060550329762572,6.486834279835393,0.9125622967153472,0.0568689350415787
0.00365,0.9172247154268972,6.509096419753089,0.925236773058616,0.0556946320328037
0.0037,0.9279822087923256,6.534362489711934,0.9379112494018848,0.0546623396447816
0.00375,0.9380841240654016,6.562120884773661,0.9505857257451537,0.0538869762126202
0.0038,0.9473413685137032,6.591573158436216,0.9632602020884222,0.0534667661349521
0.00385,0.9553894983366442,6.621510154320991,0.975934678431691,0.0536181196391006
0.0039,0.9619502020087636,6.649197870370376,0.9886091547749596,0.0558396975058528
