phi0, phi, rho, Z_fit_curve, F_id, F_fr, F_ex, F_total, mu_id, mu_fr, mu_ex, mu_kT, PV_id, PV_fr, PV_ex, PV_NkT, alpha
1.0000000000000005E-4, 0.0343826648721754, 2.387324146378431E-5, 1.0737415973078184, -2.8195233592385896E-4, -0.003492507758599075, -1.805369920483157E-5, -0.003792513793727227, -10.171924319796663, 198.80435646998046, 1.4312753775716789, 190.0637075277554, 1.638467509548355, 345.09817936358314, 2.1875069614652616, 348.92415383457416, 7.0054381481481505
1.0581162324649302E-4, 0.03638085552110669, 2.5260664314385E-5, 1.07693622495584, -2.9605017684472697E-4, -0.0032215294300393152, -1.6098762753971147E-5, -0.0035336783696374753, -10.150446085507781, 191.84002001606996, 1.3869966965814122, 183.07657062714355, 1.569363542623712, 319.37148118214765, 2.0243022936794075, 322.96514701842943, 7.005506482553587
1.1162324649298601E-4, 0.038379046170037984, 2.6648087164985692E-5, 1.0800474075321302, -3.101183358373805E-4, -0.002960117107761734, -1.4204475996638498E-5, -0.0032844399195952148, -10.129137002086482, 185.01449364839607, 1.3438454041182626, 176.2292020504278, 1.5084088344064686, 296.0962793478659, 1.8768846391183078, 299.48157282137043, 7.005574816959022
1.1743486973947899E-4, 0.04037723681896928, 2.8035510015586382E-5, 1.083080321468158, -3.2415704684875046E-4, -0.002708079276376404, -1.236928361958732E-5, -0.003044605606844203, -10.107996007917121, 178.32623203854124, 1.3018087526267277, 169.52004478325074, 1.4543778054550938, 274.92084632844865, 1.743009344758299, 278.1182334786427, 7.005643151364459
1.2324649298597198E-4, 0.042375427467900566, 2.9422932866187073E-5, 1.086040046428459, -3.3816654235521596E-4, -0.0024652265592155728, -1.0591647946424143E-5, -0.0028139847495166747, -10.087022044782818, 171.77369750071733, 1.2608740657580937, 162.94754952169254, 1.4062761893928086, 255.55958555026044, 1.6208534054994455, 258.58671514513435, 7.005711485769895
1.2905811623246496E-4, 0.04437361811683185, 3.081035571678776E-5, 1.0889315662059378, -3.5214705336731933E-4, -0.00223137170773011, -8.870048838814396E-6, -0.002592388809935705, -10.06621405786544, 165.35535999176648, 1.2210287383704403, 156.5101746722714, 1.3632889509376513, 237.77814304046376, 1.5089205407354918, 240.6503525321193, 7.005779820175332
1.3486973947895794E-4, 0.04637180876576315, 3.2197778567388454E-5, 1.091759769614741, -3.6609880943448193E-4, -0.002006329590885943, -7.2029835976884786E-6, -0.0023796313839175762, -10.045570995745612, 159.0696971111601, 1.1822602365286365, 150.20638635194308, 1.3247416694046907, 221.38236836227728, 1.4059708127913115, 224.11308084445653, 7.005848154580767
1.4068136272545094E-4, 0.048369999414694435, 3.3585201417989144E-5, 1.0945294513806962, -3.8002203864971986E-4, -0.001789917184560504, -5.5889668644478435E-6, -0.002175528190074135, -10.025091810402717, 152.9151941009996, 1.144556097504342, 144.03465838810115, 1.2900714938188178, 206.21001172867582, 1.310967690363042, 208.81105091284158, 7.005916488986204
1.4649298597194392E-4, 0.05036819006362573, 3.4972624268589835E-5, 1.0972453130293212, -3.9391696765435894E-4, -0.0015819535609391683, -4.02653052217104E-6, -0.001979897059115161, -10.00477545721489, 146.890343846016, 1.1079039297760087, 137.9934723185771, 1.2588050115848102, 192.1243974529104, 1.2230377124526324, 194.60624017693246, 7.00598482339164
1.523046092184369E-4, 0.05236638071255702, 3.6360047119190525E-5, 1.0999119637714017, -4.077838216427506E-4, -0.0013822598779116878, -2.5142235968198182E-6, -0.0017925579231507216, -9.984620894959026, 140.99364687357013, 1.0722914130288779, 132.08131739163989, 1.2305411840671505, 179.00954584588314, 1.1414393871384283, 181.38152641707387, 7.006053157797076
1.5811623246492988E-4, 0.05436457136148831, 3.7747469969791216E-5, 1.1025339213861394, -4.216228243669873E-4, -0.0011906593684686455, -1.0506121584451988E-6, -0.0016133328049935398, -9.964627085810777, 135.2236113536525, 1.0377062981549827, 126.29669056599658, 1.2049380454259981, 166.76637089280874, 1.0655389491720175, 169.03684788739238, 7.006121492202512
1.639278557114229E-4, 0.05636276201041962, 3.913489282039191E-5, 1.1051156131018633, -4.354341981416182E-4, -0.0010069773300978816, 3.657207776065258E-7, -0.0014420458074613552, -9.944792995344546, 129.57875309888325, 1.0041364072531467, 120.63809651079177, 1.181702230796143, 155.30968673704, 0.9947912742720756, 157.4861802420944, 7.006189826607948
