This fits B3 to B5 into the virial expansion since maxPower is set to 3.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
0.0018, 0.6182653678207862, 4.297183463481176E-4, 16.903662321854387, 5.897483940866606, 4.039880562149957, -0.0011990754990942828, 1.5015362313812415, -0.003748087361811589, 0.0010194457244193838, 0.0015295661382979226, 7.059407006172838, 0.618808401093655, 4161.556996440607, 993.4985504132754, 5894.585419242425, 0.7059965545423298
0.0019, 0.6524911202221199, 4.535915878119019E-4, 13.230854579960777, 4.781378002912023, 4.613436044543205, -0.0010136121868890757, 1.5012887496572718, -0.003931790000723226, 0.0011601207406048552, 0.0017580570732292952, 7.067281851851851, 0.6531866455988581, 4175.499324654011, 996.8270360933348, 5914.33385586538, 0.7059965545423298
0.002, 0.6867679202160083, 4.7746482927568624E-4, 8.304050929054146, 5.700838188522057, 5.330510821518985, -5.620132624281887E-4, 1.5009209804106798, -0.004114235572503025, 0.0013194500858360564, 0.00223277222423878, 7.070820072016464, 0.687564890104061, 4181.773830443932, 998.3249640112217, 5923.221301207076, 0.7059965545423299
0.0021, 0.7209787870117909, 5.013380707394704E-4, 6.069319184322284, 5.629809251441829, 6.219726197854746, -6.132504962108841E-4, 1.500946278043482, -0.0042954869843524115, 0.001502724784266668, 0.0021795117038748593, 7.073049341563792, 0.721943134609264, 4185.730333527789, 999.269509545953, 5928.825440573482, 0.7059965545423298
0.0022, 0.755179616784721, 5.252113122032547E-4, 28.9092101758137, 6.819701338795624, 7.31745529188788, -2.648085866318343E-4, 1.500709637272866, -0.0044756011451519695, 0.0017192243877960519, 0.0024915681707240833, 7.082532129629632, 0.756321379114467, 4202.588253287231, 1003.2940414358957, 5952.703630418715, 0.7059965545423298
0.0023, 0.7892545232852768, 5.490845536670391E-4, 48.555515555722764, 7.701707557753717, 8.648303534097098, 7.786322236436024E-4, 1.4997720653019324, -0.004654629784629776, 0.001972240243242732, 0.003461021765030646, 7.092155257201644, 0.79069962361967, 4219.741871300013, 1007.3891660838624, 5977.000658360872, 0.7059965545423299
0.0024, 0.8231637468927239, 5.729577951308231E-4, 92.39131529081654, 8.860731414593094, 10.252044098798862, 0.0020705478357964926, 1.4985812762397799, -0.004832620129818146, 0.002272919512944717, 0.0046302484526699215, 7.108825956790122, 0.8250778681248729, 4249.568431904082, 1014.5097329172136, 6019.2481175193725, 0.7059965545423299
0.0025, 0.8566501751173388, 5.968310365946075E-4, 171.98633516677688, 10.461132764175014, 12.16865423204612, 0.005219536717030875, 1.4956264863791797, -0.005009615468588517, 0.0026329607261967158, 0.0075961914594226765, 7.136482397119339, 0.8594561126300759, 4299.359676395148, 1026.396516942389, 6089.774303760246, 0.7059965545423297
0.0026, 0.8895243126293205, 6.207042780583919E-4, 355.9303358143053, 13.163692592909145, 14.439549521989278, 0.010330677458171695, 1.490839844074709, -0.005185655622889315, 0.0030652200747259845, 0.012451113006335026, 7.177701738683134, 0.8938343571352789, 4374.288324226682, 1044.2844139647596, 6195.906050933015, 0.7059965545423298
0.0027, 0.9207662211781936, 6.445775195221761E-4, 704.6282932659487, 16.766989009529745, 17.11505638705235, 0.022292024054092006, 1.47945985637437, -0.005360777349080229, 0.003588515519339728, 0.02406428588383251, 7.240115452674895, 0.9282126016404819, 4489.393330861097, 1071.7637101354985, 6358.945099627852, 0.70599655454233
0.0028, 0.948456096242662, 6.684507609859605E-4, 1093.249428416747, 21.127733041250966, 20.24587860828718, 0.04409651806693191, 1.4585059791010444, -0.005535014678884134, 0.004222802058310526, 0.04540873068750552, 7.328095473251032, 0.9625908461456849, 4655.052022165517, 1111.3118095163477, 6593.590283430216, 0.7059965545423299
0.0029, 0.9675780342222478, 6.923240024497446E-4, 1603.5548011259034, 26.274918410580725, 23.852770560100296, 0.07464979845805582, 1.429441723061354, -0.005708399211575585, 0.004968036640750672, 0.07539016102888073, 7.42080822016461, 0.9969690906508879, 4833.979522247572, 1154.0276036560497, 6847.029905664698, 0.7059965545423301
