This fits B3 to B7 into the virial expansion since maxPower is set to 5.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
0.0018, 0.6182429984030385, 4.297183463481176E-4, 1.20422326265177, 3.9103839137144027, 4.359479603619845, -0.0017615790947885773, 1.5019541811767807, -0.003748087361811589, 8.210820351183959E-4, 0.0011654262319046162, 7.05805748971194, 0.618808401093655, 4159.170811823627, 992.9288907978923, 5891.205537851181, 0.7059965545423299
0.0019, 0.652506273108518, 4.535915878119019E-4, 14.402942783750571, 5.370315948565673, 4.849856714766603, -0.0015049359941125945, 1.501814919239126, -0.003931790000723226, 9.582635174172796E-4, 0.0014685904891933524, 7.0676716872427905, 0.6531866455988581, 4176.19033170683, 996.9920018755861, 5915.312624172921, 0.7059965545423299
0.002, 0.6866852374467172, 4.7746482927568624E-4, 13.18291886739017, 5.94117728091078, 5.448494186478716, -0.0010661835332603099, 1.501437798142107, -0.004114235572503025, 0.001113496758723346, 0.001934555280519369, 7.076539660493813, 0.687564890104061, 4191.929955625861, 1000.749560299268, 5937.606817845343, 0.7059965545423301
0.0021, 0.721061593958578, 5.013380707394704E-4, 14.553467988966839, 6.0947454884710845, 6.176666587457156, -8.73367181261033E-4, 1.5012426481880934, -0.0042954869843524115, 0.0012841638565383555, 0.002137955946553023, 7.07119690329219, 0.721943134609264, 4182.442454649239, 998.48458628224, 5924.1683656098785, 0.7059965545423298
0.0022, 0.7551320438168777, 5.252113122032547E-4, 24.213690143904486, 6.985874690100703, 7.098977840292397, -3.671012753189225E-4, 1.500835782098671, -0.0044756011451519695, 0.001487189105369431, 0.002621310764463616, 7.080856378600827, 0.756321379114467, 4199.605919293823, 1002.5820616403928, 5948.479340690639, 0.7059965545423301
0.0023, 0.7892745301453955, 5.490845536670391E-4, 51.66101560652481, 7.199462094722681, 8.249823904476193, 2.954044319812782E-4, 1.5001978677597376, -0.004654629784629776, 0.001723237129444953, 0.0032267970871661007, 7.092567499999995, 0.79069962361967, 4220.477751685086, 1007.5648445850754, 5978.042986939302, 0.70599655454233
0.0024, 0.8231527708709265, 5.729577951308231E-4, 94.69384836938193, 8.793023736769982, 9.683686777989337, 0.0021176752703764056, 1.4985436424118992, -0.004832620129818146, 0.0020013492031171684, 0.004948946197077383, 7.109371419753091, 0.8250778681248729, 4250.546720048926, 1014.7432820082437, 6020.633801540842, 0.7059965545423301
0.0025, 0.8566240188814376, 5.968310365946075E-4, 165.81029793284958, 10.633629283613098, 11.463785004826459, 0.004846080298547549, 1.496008629935011, -0.005009615468588517, 0.0023340232069849628, 0.007521672560151103, 7.136297541152275, 0.8594561126300759, 4299.025586716228, 1026.3167589066347, 6089.301086608163, 0.7059965545423297
0.0026, 0.8894766989879432, 6.207042780583919E-4, 342.4898966098752, 13.239318762499627, 13.658851992418015, 0.01008259304396341, 1.4911083168896597, -0.005185655622889315, 0.002735751944399423, 0.012532496722453301, 7.177019763374484, 0.8938343571352789, 4373.041599310205, 1043.98678031506, 6194.140142999817, 0.7059965545423299
0.0027, 0.920842675404699, 6.445775195221761E-4, 682.7313580648567, 16.62897711948603, 16.350773430891884, 0.021278022593922016, 1.4804403964347936, -0.005360777349080229, 0.003228147395854572, 0.02341065254714767, 7.240475288065842, 0.9282126016404819, 4490.062735750044, 1071.9235187810073, 6359.893269820243, 0.7059965545423299
0.0028, 0.9484885989973446, 6.684507609859605E-4, 1086.7153110257464, 21.119032225354143, 19.621024023010342, 0.04280482784130797, 1.4597812772268057, -0.005535014678884134, 0.0038320440011222062, 0.0445077985190699, 7.328613569958843, 0.9625908461456849, 4656.039429187811, 1111.5475355790104, 6594.988883771734, 0.7059965545423299
0.0029, 0.9676355451651079, 6.923240024497446E-4, 1256.9552300122962, 26.5051630389502, 23.527900369030768, 0.07332524581082035, 1.430837719223481, -0.005708399211575585, 0.004551352556068869, 0.07448229246632707, 7.421261666666667, 0.9969690906508879, 4834.865713474317, 1154.2391662274413, 6848.285140157054, 0.7059965545423299
