This fits B3 to B6 into the virial expansion since maxPower is set to 4.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876052915573498, 4.774648292756861E-5, -8.957687653474757, 1.1577508581748437, 1.164622952581311, -4.885813105287878E-4, 1.5004896253878557, -5.213638970822166E-4, 8.370002942578543E-6, 2.441258361085035E-5, 7.006087705761312, 0.06875648901040608, 4067.9714044343486, 971.1566360583095, 5762.0272765657555, 0.70599655454233
3.0E-4, 0.10313955471215659, 7.161972439135293E-5, -8.244137273851585, 1.2391768593213146, 1.2486144507089432, -6.925844866784527E-4, 1.5006952722204776, -7.530065463303081E-4, 1.8455234049957992E-5, 4.19668256018973E-5, 7.007424619341567, 0.10313473351560913, 4070.3006205238266, 971.7126954395638, 5765.3264655979, 0.70599655454233
4.0E-4, 0.13752028817497075, 9.549296585513724E-5, -7.911298473660546, 1.3386381159769682, 1.34803043722754, -8.829601658928435E-4, 1.5008883739897543, -9.765371141186377E-4, 3.270899791375379E-5, 6.086795031204038E-5, 7.00849817901235, 0.13751297802081217, 4072.1716560265704, 972.159372263007, 5767.9766704618, 0.7059965545423299
5.0E-4, 0.17190770867682462, 1.1936620731892148E-4, -7.534067461409546, 1.4503481458753338, 1.468283623353166, -0.0010705800632294035, 1.5010789064098644, -0.0011940355932402447, 5.167503607096237E-5, 7.178049393987886E-5, 7.009671841563788, 0.1718912225260152, 4074.2178101365093, 972.6478555743939, 5770.8749198891865, 0.7059965545423298
6.0E-4, 0.20627300510090177, 1.4323944878270585E-4, -7.043969459588814, 1.4281006357634936, 1.6113452287650105, -0.00124270047320687, 1.5012511212415571, -0.001406727072591923, 7.604502858190124E-5, 8.798157080315176E-5, 7.01100611111112, 0.20626946703121826, 4076.544797627943, 973.2033829170558, 5774.170952251472, 0.7059965545423298
7.0E-4, 0.2406366961856845, 1.6711269024649017E-4, -5.502124172890802, 1.8410368625175975, 1.7768368263346537, -0.0014067201177031603, 1.5014259080060415, -0.0016154210498813184, 1.0662059190182491E-4, 1.0208034027633312E-4, 7.013685308641974, 0.24064771153642134, 4081.2200365947024, 974.3195140045993, 5780.793136080386, 0.7059965545423299
8.0E-4, 0.27501871036043246, 1.9098593171027449E-4, -4.829512803761334, 2.404742217561708, 1.9613394353126592, -0.0015051637113167623, 1.5015468022810743, -0.0018206928681456847, 1.4400652796872824E-4, 1.7152262886019402E-4, 7.015025771604939, 0.2750259560416244, 4083.5605051355087, 974.8782597107299, 5784.108263506643, 0.7059965545423299
9.0E-4, 0.3093742209261069, 2.148591731740588E-4, -5.958573308997752, 2.4550969810585532, 2.1616947407833083, -0.0016369819066122378, 1.5016867025403677, -0.0020229727110088343, 1.889781895726118E-4, 1.9701261482398485E-4, 7.017457654320989, 0.30940420054682743, 4087.808892924943, 975.8924875860195, 5790.125839317885, 0.7059965545423299
0.001, 0.3437354048943202, 2.38732414637843E-4, -2.7923672016319343, 2.176682425724122, 2.3733301631906034, -0.0017891826804799556, 1.5018292343179198, -0.0022225944863660013, 2.420490787350655E-4, 1.9136272715098007E-4, 7.020175318930036, 0.3437824450520305, 4092.5600137628426, 977.0267341358874, 5796.85550507522, 0.7059965545423298
0.0011, 0.37809164950515817, 2.626056561016274E-4, -3.4768144976218744, 3.1363379808492735, 2.592091787444356, -0.001769712078209294, 1.5018531288854151, -0.0024198249427019227, 3.036350491809421E-4, 3.464778153116865E-4, 7.022995555555548, 0.3781606895572336, 4097.494345686536, 978.2047191106553, 5803.844677886256, 0.70599655454233
0.0012, 0.4124549024521281, 2.864788975654117E-4, -4.428846686002156, 2.5369066096856825, 2.815058958862851, -0.001954421847356179, 1.5020185333378278, -0.00261488210504646, 3.741046620462326E-4, 2.8635559564404805E-4, 7.026248199588482, 0.41253893406243664, 4103.190147710265, 979.5644916810792, 5811.912425507804, 0.7059965545423298
0.0013, 0.4467719062441951, 3.10352139029196E-4, 1.2323422621645124, 2.7121738342022113, 3.041191331433322, -0.0019800682547949843, 1.5020588934510617, -0.002807947521593494, 4.538095615215834E-4, 3.74069705276926E-4, 7.030408137860086, 0.4469171785676397, 4110.482428769374, 981.3053955465381, 5822.241485914956, 0.7059965545423299
0.0014, 0.4810833361218619, 3.342253804929803E-4, 3.8748027368987366, 3.214141905906481, 3.270856510765884, -0.001894261498271526, 1.5020071802583832, -0.002999174719602353, 5.427487361108763E-4, 5.621644852199504E-4, 7.033978106995883, 0.48129542307284273, 4116.747391414779, 982.8010452064915, 5831.1154139888195, 0.70599655454233
0.0015, 0.5153946024285333, 3.580986219567647E-4, 0.9657599473447647, 3.2666040337503124, 3.509789894458618, -0.0017932036020346645, 1.5019158554387317, -0.003188695233083918, 6.416676199554656E-4, 7.538240110937879E-4, 7.039272417695479, 0.5156736675780458, 4126.050128097254, 985.0219099974389, 5844.292159148017, 0.7059965545423299
0.0016, 0.5497013674049174, 3.8197186342054886E-4, -1.288001824610212, 2.4684318994219634, 3.766508985515891, -0.0018451838027468157, 1.5019310926806002, -0.0033766230161081877, 7.511395288280563E-4, 7.802996845333158E-4, 7.046260679012345, 0.5500519120832489, 4138.350781870347, 987.9584747743136, 5861.715266518659, 0.7059965545423298
