phi0, phi, rho, Z_fit_curve, F_id, F_fr, F_ex, F_total, mu_id, mu_fr, mu_ex, mu_kT, PV_id, PV_fr, PV_ex, PV_NkT, alpha
1.0000000000000005E-4, 0.034380052266560726, 2.387324146378431E-5, 1.072273721792629, -2.797158664675683E-4, 0.0016611075621792116, -3.94442975427286E-6, 0.00137744726595681, -10.310369041760069, -130.72598437743346, 0.6027203182289923, -140.43363310097143, 1.4063417740668083, -200.30629523296227, 0.7679442054106536, -198.13200925346817, 7.005263981481487
1.0581162324649302E-4, 0.036378116053707124, 2.5260664314385E-5, 1.0755274091588072, -2.9400194730259315E-4, 0.0014843309803402262, -3.1185947354910476E-6, 0.0011872104383015725, -10.28337552588205, -124.13455769881311, 0.5878441110638433, -133.83008911363817, 1.355350346230903, -182.89512558676668, 0.7113006716941638, -180.82847456882592, 7.005311853233221
1.1162324649298601E-4, 0.03837617984085352, 2.6648087164985692E-5, 1.0787359703285044, -3.082507863734935E-4, 0.0013165618284726455, -2.3129619202765678E-6, 0.0010059980801782956, -10.256683722820252, -117.74095938756577, 0.5735974081442397, -127.42404570224858, 1.3107801804996144, -167.14645030785007, 0.6603939540259901, -165.17527617330953, 7.005359724984954
1.1743486973947899E-4, 0.04037424362799993, 2.8035510015586382E-5, 1.0819073585374293, -3.2246280015844973E-4, 0.0011575282069195508, -1.526662070051591E-6, 8.33538744690461E-4, -10.23029057275846, -111.54148869777039, 0.5599742281660126, -121.21180504236956, 1.2716510712200535, -152.82941983496107, 0.6144288134117541, -150.94333995031502, 7.005407596736688
1.2324649298597198E-4, 0.042372307415146325, 2.9422932866187073E-5, 1.0850492964217393, -3.3663840090504115E-4, 0.001006963322425513, -7.588342405778908E-7, 6.695660872792969E-4, -10.204193036997996, -105.53248535381277, 0.5469685960146848, -115.18970979480277, 1.23716810929028, -139.7562429583009, 0.5727591670644508, -137.94631568193256, 7.005455468488421
1.2905811623246496E-4, 0.04437037120229272, 3.081035571678776E-5, 1.0881692794045965, -3.507779966594948E-4, 8.646054321266879E-4, -8.625773156795147E-9, 5.13818809693429E-4, -10.178388097886128, -99.71032934925535, 0.5345745430715825, -109.35414290407644, 1.2066799579287868, -127.77249909744772, 0.534854506511021, -126.03096463299477, 7.005503340240153
1.3486973947895794E-4, 0.04636843498943912, 3.2197778567388454E-5, 1.0912745790566007, -3.648819912958362E-4, 7.301977878199634E-4, 7.248077145956202E-7, 3.660406042381055E-4, -10.15287275874446, -94.07144074570634, 0.5227861075199463, -103.70152739693735, 1.1796479160019422, -116.74995523675092, 0.5002749981563411, -115.07003232257996, 7.005551211991887
1.4068136272545094E-4, 0.048366498776585526, 3.3585201417989144E-5, 1.0943722464302053, -3.789507845449394E-4, 6.034885805111669E-4, 1.4423023383979968E-6, 2.2598009830399968E-4, -10.127644043797362, -88.61227947168965, 0.511597334651046, -98.22832618084244, 1.155622649430298, -106.58116323690422, 0.4686527555655246, -104.95688783189625, 7.00559908374362
1.4649298597194392E-4, 0.050364562563731924, 3.4972624268589835E-5, 1.0974691153682106, -3.9298477202347827E-4, 4.8423088524232605E-4, 2.1446859573779044E-6, 9.33907991755917E-5, -10.102698998100378, -83.32934512151436, 0.5010022771702919, -92.93104184245087, 1.134226461234738, -97.17534310906692, 0.43967756956737625, -95.60143907825308, 7.0056469554953535
1.523046092184369E-4, 0.05236262635087832, 3.6360047119190525E-5, 1.1005718057864375, -4.0698434526277897E-4, 3.7218260619796973E-4, 2.8327781845707192E-6, -3.1968960880882595E-5, -10.078034687468609, -78.21917675414414, 0.49099499550334663, -87.8062164461157, 1.1151396208225375, -88.4552087641669, 0.41308590547151325, -86.92698323786144, 7.005694827247087
1.5811623246492988E-4, 0.05436069013802472, 3.7747469969791216E-5, 1.1036867269306767, -4.209498917375718E-4, 2.671064220904956E-4, 3.5073903978432737E-6, -1.50336079249885E-4, -10.053648198405158, -73.27835269206675, 0.48156955810223784, -82.85043133237593, 1.0980897081208227, -80.35449375011005, 0.3886523268109702, -78.86775171516724, 7.00574269899882
1.639278557114229E-4, 0.05635875392517113, 3.913489282039191E-5, 1.106820080608012, -4.348817948946458E-4, 1.6876973182458917E-4, 4.1693257512421235E-6, -2.619427373194755E-4, -10.029536638029516, -68.5034903201637, 0.4727200417514706, -78.06030691644801, 1.0828432243740689, -72.81600326351459, 0.3661827434285371, -71.36697729570135, 7.005790570750554
1.6973947895791589E-4, 0.05835681771231753, 4.0522315670992603E-5, 1.109977864392619, -4.487804341814008E-4, 7.694460044068736E-5, 4.819379186766607E-6, -3.670164545546154E-4, -10.005697134005972, -63.891245884580016, 0.4644405318741399, -73.432502486718, 1.0691989263555197, -65.79006630405983, 0.34550904666742216, -64.37535833102653, 7.005838442502287
1.7555110220440886E-4, 0.06035488149946393, 4.1909738521593294E-5, 1.1131658748061324, -4.626461850743041E-4, -8.592294662499033E-6, 5.458337446566548E-6, -4.65780142290915E-4, -9.98212683447204, -59.43831429159319, 0.4567251228380429, -68.96371600323329, 1.0569824846169662, -59.23329524433589, 0.3264848102253973, -57.849827949483455, 7.0058863142540195
1.8136272545090187E-4, 0.062352945286610326, 4.3297161372193984E-5, 1.1163897104726908, -4.764794191072446E-4, -8.805971722640753E-5, 6.0869790855647285E-6, -5.584521572487737E-4, -9.958822907966837, -55.14142890648324, 0.44956791826179066, -64.65068389619437, 1.0460421687826498, -53.10758385901182, 0.30898181763409766, -51.752559872585294, 7.005934186005753
1.8717434869739485E-4, 0.06435100907375672, 4.4684584222794675E-5, 1.1196547752487418, -4.902805038997894E-4, -1.6167192535199664E-4, 6.706074484503992E-6, -6.452463547679758E-4, -9.935782543359522, -50.997361352402166, 0.4429630313209216, -60.4901808644467, 1.0362453366646014, -47.3792919854386, 0.2928872367008373, -46.05015941206357, 7.005982057757486
1.9298597194388782E-4, 0.06634907286090314, 4.6072007073395365E-5, 1.1229662813277217, -5.040498031853396E-4, -2.2963872444006894E-4, 7.316385863419138E-6, -7.263721417626914E-4, -9.913002949777697, -47.00292130924312, 0.4369045850540127, -56.47901967397271, 1.0274755577542016, -42.01857747385863, 0.2781013045335068, -40.71300061156159, 7.00602992950922
1.987975951903808E-4, 0.06834713664804953, 4.7459429923996056E-5, 1.126329252319699, -5.177876768391888E-4, -2.921655198525351E-4, 7.918667295533438E-6, -8.020345293968996E-4, -9.890481356535794, -43.15495631251049, 0.4313867126687926, -52.61405095638328, 1.019630241273119, -36.99884528630508, 0.26453541866431773, -35.71467962635849, 7.006077801260953
2.046092184368738E-4, 0.07034513354009911, 4.8846852774596746E-5, 1.129750538969812, -5.314944809064806E-4, -3.4945336929461974E-4, 8.513664721579949E-6, -8.724341854802402E-4, -9.86821501306352, -39.45035155218905, 0.42640355784825384, -48.89216300741008, 1.0126186684646603, -32.2962904521389, 0.2521105535299171, -31.031561230135342, 7.006149327028537
2.1042084168336678E-4, 0.07234311298125387, 5.023427562519744E-5, 1.1332334385700922, -5.451705676300673E-4, -4.0169903491803736E-4, 9.10211596454743E-6, -9.377674865842845E-4, -9.84620118883424, -35.88602967161372, 0.42194927505676455, -45.31028158539693, 1.0063603509724675, -27.88951673460731, 0.24075593940564152, -26.642400444220456, 7.006227023408953
2.1623246492985976E-4, 0.07434109242240863, 5.162169847579813E-5, 1.1367819170967515, -5.588162854782688E-4, -4.4909503514508795E-4, 9.684750744851098E-6, -9.982265698792393E-4, -9.824437173293393, -32.45895056633899, 0.41801802984618186, -41.86536970979183, 1.0007836539573682, -23.759216764367366, 0.23040795441653258, -22.52802515598488, 7.006304719789369
2.2204408817635274E-4, 0.0763390718635634, 5.300912132639882E-5, 1.1404002741333505, -5.724319791725336E-4, -4.918296962137084E-4, 1.0262290695927932E-5, -0.0010539993846910573, -9.802920275786901, -29.166111183008443, 0.4146039991619631, -38.554427459638994, 0.9958246354489592, -19.88790237842721, 0.22100919058668392, -18.671068552383165, 7.006382416169784
2.2785571142284574E-4, 0.07833705130471816, 5.439654417699951E-5, 1.14409263570624, -5.860179897149994E-4, -5.300872034434863E-4, 1.083544938025685E-5, -0.0011052697437789788, -9.781647825489587, -26.004545318224352, 0.4117013716492792, -35.374491772070186, 0.9914260633253076, -16.259676200828785, 0.21250766285410908, -15.055742474641107, 7.0064601125502
2.3366733466933872E-4, 0.08033503074587292, 5.57839670276002E-5, 1.147862957216076, -5.995746544159531E-4, -5.640476522225957E-4, 1.1404932305803428E-5, -0.0011522173743335029, -9.760617171333568, -22.971323417417345, 0.4093043479591264, -32.322636240797266, 0.9875365789958411, -12.860037284906868, 0.20485613616091172, -11.667644569742015, 7.006537808930616
2.394789579158317E-4, 0.08233301018702767, 5.717138987820089E-5, 1.1517150263449845, -6.131023069211949E-4, -5.93887098715701E-4, 1.1971436942889501E-5, -0.0011950179686947729, -9.739825681936669, -20.063552373715655, 0.4074071410544383, -29.395970914603286, 0.9841099828663147, -9.675715030930562, 0.19801155056077188, -8.493593497495468, 7.006615505311031
2.4529058116232465E-4, 0.08433098962818243, 5.855881272880157E-5, 1.1556524659394842, -6.266012772392996E-4, -6.197776102927972E-4, 1.2535652741487297E-5, -0.0012338432347913802, -9.719270745530842, -17.27837532681494, 0.4060039765161989, -26.59164209583492, 0.9811046213883013, -6.694526689665816, 0.19193452808761488, -5.52148754018208, 7.006693201691447
2.511022044088177E-4, 0.0863289690693372, 5.994623557940227E-5, 1.1596787368692598, -6.400718917687808E-4, -6.418873156789914E-4, 1.3098261148938444E-5, -0.0012688609462996132, -9.698949769890564, -14.612971461847525, 0.4050890928495544, -23.906832138893858, 0.9784828592353844, -3.9052546306751297, 0.18658894813923255, -2.74018282329283, 7.006770898071863
2.5691382765531066E-4, 0.08832694851049196, 6.133365843000296E-5, 1.1637971408618897, -6.535144733251541E-4, -6.6038045482525E-4, 1.3659935628097496E-5, -0.001300234992523095, -9.678860182261257, -12.064555808252392, 0.4046567417899265, -21.33875924872896, 0.9762106231265785, -1.2975402456814884, 0.18194158052676954, -0.13938804202052424, 7.006848594452278
2.6272545090180364E-4, 0.09032492795164672, 6.272108128060365E-5, 1.1680108233136208, -6.669293411679029E-4, -6.754174285000795E-4, 1.4221341675900387E-5, -0.0013281254279928763, -9.658999429287677, -9.630379038644278, 0.4047011886091231, -18.884677279328038, 0.9742570062028437, 1.1382080888380197, 0.1779617672608769, 2.2904268623092, 7.006926290832694
2.685370741482966E-4, 0.09232290739280148, 6.410850413120434E-5, 1.1723227760762953, -6.803168110273437E-4, -6.871548476021496E-4, 1.4783136842357394E-5, -0.0013526885217879391, -9.639364976942344, -7.307727267683478, 0.4052167124214517, -16.54187553220949, 0.9725939237833471, 3.4108951196962023, 0.1746211456912991, 4.55811018917826, 7.00700398721311
2.743486973947896E-4, 0.09432088683395624, 6.549592698180503E-5, 1.176735840220523, -6.936771951313907E-4, -6.957455821938776E-4, 1.5345970749970913E-5, -0.0013740768065761053, -9.61995431045394, -5.093921850945295, 0.4061976064898324, -14.307678554914515, 0.9711958128826804, 5.528808664605051, 0.17189340686786092, 6.671897884362815, 7.007081683593525
2.8016032064128257E-4, 0.096318866275111, 6.688334983240572E-5, 1.1812527087751983, -7.070108022322249E-4, -7.013388102559539E-4, 1.591048511357797E-5, -0.001392439127375419, -9.600764934235725, -2.9863191837894543, 0.4076381785319079, -12.179445939498313, 0.9700393691347141, 7.499680874720587, 0.1697540840084431, 8.63947432787093, 7.007159379973941
2.859719438877756E-4, 0.09831684571626577, 6.827077268300641E-5, 1.1858759294434666, -7.203179376328601E-4, -7.040800661628132E-4, 1.6477313760617312E-5, -0.0014079206900358754, -9.581794371813935, -0.9823105002299408, 0.4095327510261589, -10.154572121022628, 0.9691033158016258, 9.330742047629517, 0.16818036679104167, 10.468025730229275, 7.0072370763543566
2.917835671342686E-4, 0.10031482515742052, 6.96581955336071E-5, 1.1906079072952271, -7.335989032136107E-4, -7.041112888790263E-4, 1.7047082651821325E-5, -0.0014206631094416467, -9.563040165756199, 0.9206783281957495, 0.41187566151801386, -8.230486176047307, 0.9683682003947783, 11.028768029418666, 0.1671509378694256, 12.16428716768993, 7.007314772734772
