#volume fraction,kT/epsilon_converted
0.22844974132161108,0.24517408591488063
0.2389531777042139,0.06777089586498178
0.24420489589551442,0.04571622813539429
0.2599600504694196,0.021928438151647935
0.2783410641389741,0.013080270505651238
0.2914703596172281,0.008649941500818508
0.3124772323824337,0.006511468999292371
0.32298066876503656,0.005422233138429912
0.35186511881719384,0.004334678127652832
0.36499441429544605,0.0038061285254799406
0.3965047234432545,0.0032549428973032784
0.4175115962084601,0.003037924321005132
0.42801503259106305,0.0029220766070482762
0.4358926098780165,0.002852849753284905
0.45164776445191984,0.0027685350157243055
0.45689948264322033,0.0027106611846236125
0.4726546372171255,0.0026426911035261143
0.4779063554084261,0.002601904023510831
0.49103565088668,0.0025353902700780925
0.5094166645562346,0.0024941544618708057
0.5251718191301397,0.002468612709592669
0.5488045509909965,0.002454279416630679
0.2678376277563712,0.016228306900403264
0.28621864142592573,0.010224009397448237
0.3019737959998309,0.007364955661410876
0.31772895057373424,0.005855467383174994
