#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 47.96334932711922
#Number of monomers: 2916666.666666667
#Number of chains: 145.83333333333334
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 5.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.2605145847499569, 6.330677325102881, 0.2788384795519115, 0.9337094230831416
0.0012, 0.27874227784110844, 6.330820360082303, 0.3041874322384489, 0.9989792915955589
0.0013, 0.3032013918607267, 6.330920174897127, 0.3295363849249863, 1.0614026924454587
0.0014, 0.31685108361949016, 6.3307192181069984, 0.35488533761152374, 1.106613901886478
0.0015, 0.3430587806302304, 6.331724516460901, 0.38023429029806116, 1.0944421243035196
0.0016, 0.3567166202264124, 6.331332448559673, 0.4055832429845986, 1.1809139356706884
0.0017, 0.3844362293935801, 6.332782582304529, 0.430932195671136, 1.0354476707356441
0.0018, 0.39102390782534596, 6.332621409465017, 0.4562811483576734, 1.145080775660157
0.0019, 0.4091176069756467, 6.332564969135806, 0.48163010104421083, 1.1716885583796717
0.002, 0.4326825736079631, 6.332847901234564, 0.5069790537307483, 1.173304622193718
0.0021, 0.44169381707152283, 6.33333043209877, 0.5323280064172856, 1.1732414541436103
0.0022, 0.45654021666580324, 6.3330854218107016, 0.557676959103823, 1.295792963539928
0.0023, 0.47761738819992683, 6.334532921810702, 0.5830259117903603, 1.1849697968993762
0.0024, 0.47988445067582647, 6.333584228395064, 0.6083748644768977, 1.3272862267637702
0.0025, 0.5253144660762983, 6.339090802469138, 0.6337238171634351, 1.0970448774263242
0.0026, 0.6011964175726262, 6.350355627572017, 0.6590727698499724, 0.712152163963491
0.0027, 0.6517000184283089, 6.357013076131684, 0.6844217225365098, 0.4577897700841173
0.0028, 0.7090520467657164, 6.3643069341563745, 0.7097706752230472, 0.13444397379165232
0.0029, 0.7342756421703612, 6.3681137345679035, 0.7351196279095845, 0.11679312712177572
0.003, 0.7594311044220764, 6.373647623456788, 0.7604685805961219, 0.10329445372920121
0.0031, 0.784521404490556, 6.3807367181069905, 0.7858175332826592, 0.09180573976624089
0.0032, 0.8094731637192015, 6.39047396090535, 0.8111664859691966, 0.08188194011100428
0.0033, 0.8342596124402868, 6.403916903292185, 0.836515438655734, 0.07280809097884294
0.0034, 0.8588643300891715, 6.42363560699589, 0.8618643913422713, 0.06581445362766362
0.0035, 0.8827668105770267, 6.450292304526751, 0.8872133440288087, 0.061185212781590496
0.0036, 0.9060517110791448, 6.486836347736622, 0.912562296715346, 0.056813848806635515
0.0037, 0.9279876394451861, 6.534338559670784, 0.9379112494018834, 0.05442310826878481
0.0038, 0.9473628872140397, 6.591835236625515, 0.9632602020884208, 0.05348499751219133
0.0039, 0.9619597771934857, 6.649239670781892, 0.9886091547749581, 0.05597496367086405
