This fits B3 to B9 into the virial expansion since maxPower is set to 7.
Number of particles: 108
dryVolFracMax: 0.0033
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 51.051810587630925
Number of monomers: 2916666.666666667
Number of chains: 116.66666666666669
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 4.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.0579183552784561, 4.774648292756861E-5, -9.253060464408174, 1.0251086919411891, 1.035553878645445, -4.935850776142475E-4, 1.5004937156514333, -5.213638970822166E-4, 3.732328269875446E-6, 2.4046491198093572E-5, 6.616151265432097, 0.05791228380962948, 3562.008190707368, 850.3668163273444, 4852.49256351061, 0.7340574239088331
3.0E-4, 0.08687559169030418, 7.161972439135293E-5, -8.789174004794763, 1.0813727969725135, 1.065800300064385, -7.085583758934157E-4, 1.5007091808565216, -7.530065463303081E-4, 6.94799791329351E-6, 3.750017252359887E-5, 6.616670349794239, 0.08686842571444423, 3562.8466515035952, 850.5669840978069, 4853.634791310396, 0.7340574239088329
4.0E-4, 0.11583346616419186, 9.549296585513724E-5, -8.414126668577143, 1.2729553820465536, 1.1361075287104245, -9.137424637383404E-4, 1.5009169948571206, -9.765371141186377E-4, 1.1915516738908934E-5, 5.08791336413883E-5, 6.61744958847737, 0.11582456761925897, 3564.105578469267, 850.8675307721744, 4855.349816490535, 0.734057423908833
5.0E-4, 0.14478114108636167, 1.1936620731892148E-4, -8.054694569420194, 1.1706903823810588, 1.2359487303087864, -0.0011104533618482826, 1.5011136010915158, -0.0011940355932402447, 1.976087759378086E-5, 6.382135379818129E-5, 6.617827808641979, 0.1447807095240737, 3564.716732492221, 851.0134330477898, 4856.182386263755, 0.734057423908833
6.0E-4, 0.17373876396926433, 1.4323944878270585E-4, -7.287220979568404, 1.35245000782527, 1.3479653110624725, -0.0012984114108994741, 1.5013050516710156, -0.001406727072591923, 3.1321802229813904E-5, 7.699385946263477E-5, 6.619019557613172, 0.17373685142888845, 3566.6428989165393, 851.4732714092617, 4858.806385914981, 0.7340574239088333
7.0E-4, 0.20268083912572524, 1.6711269024649017E-4, -7.245456280543996, 1.5809926087206305, 1.4567644883158546, -0.0014585245839580532, 1.5014719968134695, -0.0016154210498813184, 4.690649052254752E-5, 1.0998997540071775E-4, 6.619426718106997, 0.20269299333370322, 3567.3011317876703, 851.6304129319808, 4859.703090790776, 0.734057423908833
8.0E-4, 0.23165070317441874, 1.9098593171027449E-4, -7.191910314922282, 1.2601477020791725, 1.5552143084195817, -0.0016444705490152322, 1.5016511218638637, -0.0018206928681456847, 6.658196344596453E-5, 1.0964035568448793E-4, 6.620763930041153, 0.23164913523851796, 3569.463494888945, 852.1466390964719, 4862.648859106503, 0.734057423908833
9.0E-4, 0.26059165477946067, 2.148591731740588E-4, -6.099381537303682, 1.6928244403049881, 1.6443092098457928, -0.0018019757735493747, 1.501818991996359, -0.0020229727110088343, 9.012387553047771E-5, 1.3087306192898212E-4, 6.621487561728399, 0.2606052771433327, 3570.63402108866, 852.4260816425267, 4864.243456697359, 0.734057423908833
0.001, 0.2895658352257002, 2.38732414637843E-4, -5.98035859742942, 1.9739091473042278, 1.734029644046624, -0.001935554606908081, 1.5019675276470223, -0.0022225944863660013, 1.1761131556118493E-4, 1.6942856389673525E-4, 6.623466193415642, 0.2895614190481475, 3573.835906276087, 853.1904754247142, 4868.605356847316, 0.7340574239088333
0.0011, 0.31849514488871644, 2.626056561016274E-4, -6.057925975077943, 1.5460573948069682, 1.8384663126645546, -0.002087149883726467, 1.502105254642766, -0.0024198249427019227, 1.4914007352084205E-4, 1.8353498545461356E-4, 6.624946131687247, 0.31851756095296224, 3576.2320406778927, 853.7625103762541, 4871.869589758478, 0.7340574239088333
