This fits B3 to B3 into the virial expansion since maxPower is set to 1.
Number of particles: 108
dryVolFracMax: 0.0033
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 51.051810587630925
Number of monomers: 2916666.666666667
Number of chains: 116.66666666666669
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 4.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.05791752757041207, 4.774648292756861E-5, -8.979907174001085, 1.0208779940047397, 1.204390516049215, -4.891224815281506E-4, 1.500489224054024, -5.213638970822166E-4, 8.939576613284296E-6, 2.3301838940781685E-5, 6.616208683127568, 0.05791228380962948, 3562.1009292504978, 850.3889560236757, 4852.618900415748, 0.734057423908833
3.0E-4, 0.0868707613181557, 7.161972439135293E-5, -8.329402246244074, 1.0937462965758822, 1.3323374350507093, -6.940049699296026E-4, 1.500694710785275, -7.530065463303081E-4, 2.103746123182657E-5, 3.796411516887897E-5, 6.616460164609051, 0.08686842571444423, 3562.5071300725626, 850.4859293267551, 4853.172264238296, 0.7340574239088332
4.0E-4, 0.11583318625738727, 9.549296585513724E-5, -7.7160194942500935, 1.1915033473528591, 1.47760283042007, -8.875141276533205E-4, 1.5008897404284016, -9.765371141186377E-4, 3.905553727127494E-5, 4.996744919404224E-5, 6.617660627572019, 0.11582456761925897, 3564.446581264494, 850.9489391928771, 4855.8143616121, 0.7340574239088333
5.0E-4, 0.14479742279781846, 1.1936620731892148E-4, -7.167214969711906, 1.4186178837404944, 1.640014628218588, -0.0010626948028457284, 1.5010692263841117, -0.0011940355932402447, 6.359877245283604E-5, 6.774201794168033E-5, 6.618322695473248, 0.1447807095240737, 3565.5165100078975, 851.2043658652804, 4857.271916169218, 0.7340574239088331
6.0E-4, 0.17375035207130465, 1.4323944878270585E-4, -6.785743736381818, 1.2186415987860735, 1.819685616954304, -0.0012297994257760275, 1.501233230290152, -0.001406727072591923, 9.52992700249616E-5, 8.162837679093383E-5, 6.6192790123456815, 0.17373685142888845, 3567.062335048366, 851.573404409799, 4859.377780084109, 0.7340574239088333
7.0E-4, 0.20269105826455852, 1.6711269024649017E-4, -6.102009152322536, 1.4272935935408682, 2.01645609027609, -0.0013866674732186197, 1.501395557314407, -0.0016154210498813184, 1.347479039271165E-4, 9.400567273558212E-5, 6.619697098765436, 0.20269299333370322, 3567.738285336531, 851.7347756542678, 4860.2986212419655, 0.7340574239088332
8.0E-4, 0.23164399767763477, 1.9098593171027449E-4, -5.710214202452944, 1.833105822878954, 2.2305805960442573, -0.0015210332947506182, 1.5015431296996535, -0.0018206928681456847, 1.826093493711589E-4, 1.1705022402390759E-4, 6.620721162551448, 0.23164913523851796, 3569.394323411706, 852.1301256226865, 4862.554627408835, 0.7340574239088333
9.0E-4, 0.26059130393842495, 2.148591731740588E-4, -5.1320594471071015, 1.4045852251966575, 2.461868748454731, -0.0016591248966837183, 1.5016707897404147, -0.0020229727110088343, 2.3946609124314138E-4, 1.2438172308197465E-4, 6.621513415637862, 0.2606052771433327, 3570.6758463771466, 852.43606669464, 4864.300434921572, 0.7340574239088333
0.001, 0.289536148966779, 2.38732414637843E-4, -3.966424868708105, 1.602329168882644, 2.710641980189979, -0.001765779555774593, 1.501783268145747, -0.0022225944863660013, 3.0601280606834855E-4, 1.5080212452305954E-4, 6.623016882716055, 0.2895614190481475, 3573.108649396676, 853.0168556338305, 4867.61462116953, 0.7340574239088331
0.0011, 0.3185017031043094, 2.626056561016274E-4, -3.167355521387926, 2.0703336835749195, 2.9769688928210267, -0.0018480243394857648, 1.5018855213990807, -0.0024198249427019227, 3.8290843197236717E-4, 1.8889217124379095E-4, 6.6252216255144045, 0.31851756095296224, 3576.6782046780704, 853.869024185341, 4872.47739506859, 0.734057423908833
