phi0, phi, rho, Z_fit_curve, F_ex_fit_per_V, mu_kT, PV_NkT, alpha
1.0000000000000005E-4, 0.028957643768554767, 2.387324146378431E-5, 1.0636097397569797, 1.7622437837870568E-6, -37.98957728586569, -37.17013311675415, 6.615560689300411
1.0641282565130265E-4, 0.030814663083023684, 2.540419081617128E-5, 1.0664427342378806, 1.977951470310678E-6, -35.67098443390318, -32.68199375988375, 6.615587293290284
1.1282565130260525E-4, 0.0326716823974926, 2.6935140168558247E-5, 1.0691521615562956, 2.204036427411424E-6, -33.469406021952246, -28.685935751832602, 6.615613897280157
1.1923847695390786E-4, 0.03452870171196152, 2.8466089520945217E-5, 1.0717424412740668, 2.4402005114108684E-6, -31.380749937975985, -25.111169261288875, 6.61564050127003
1.2565130260521045E-4, 0.03638572102643044, 2.9997038873332187E-5, 1.0742179651144474, 2.686154630940914E-6, -29.401023949877246, -21.900826750186514, 6.615667105259902
1.3206412825651306E-4, 0.038242740340899355, 3.152798822571916E-5, 1.0765830965573018, 2.9416186938659445E-6, -27.5263340525233, -19.00860053803739, 6.615693709249776
1.3847695390781567E-4, 0.04009975965536827, 3.305893757810612E-5, 1.0788421704401, 3.2063215534611182E-6, -25.752882831624706, -16.396314280226502, 6.615720313239649
1.4488977955911825E-4, 0.04195677896983718, 3.458988693049309E-5, 1.0809994925647184, 3.4800009538571725E-6, -24.07696784438719, -14.032139019262045, 6.615746917229521
1.513026052104209E-4, 0.04381379828430611, 3.612083628288006E-5, 1.0830593393100458, 3.7624034747621034E-6, -22.494980016856026, -11.889262575627829, 6.615773521219395
1.5771543086172347E-4, 0.045670817598775025, 3.765178563526703E-5, 1.0850259572503833, 4.053284475470046E-6, -21.00340205787224, -9.944883250375034, 6.615800125209267
1.6412825651302606E-4, 0.04752783691324394, 3.9182734987653996E-5, 1.086903562779657, 4.352408038167817E-6, -19.59880688955998, -8.179439142622243, 6.61582672919914
1.705410821643287E-4, 0.04938485622771286, 4.071368434004097E-5, 1.0886963417414215, 4.659546910549339E-6, -18.277856094264408, -6.5760110671186, 6.615853333189014
1.7695390781563127E-4, 0.05124187554218178, 4.2244633692427936E-5, 1.090408449064679, 4.974482447748436E-6, -17.037298377859464, -5.119855036394264, 6.615879937178886
1.833667334669339E-4, 0.0530988948566507, 4.377558304481491E-5, 1.0920440084054868, 5.297004553600325E-6, -15.873968049344555, -3.798032592309488, 6.615906541168759
1.897795591182365E-4, 0.05495591417111961, 4.5306532397201875E-5, 1.093607111794379, 5.626911621242116E-6, -14.784783516650139, -2.599115845278969, 6.615933145158632
1.961923847695391E-4, 0.05681293348558853, 4.683748174958884E-5, 1.0951018192895816, 5.964010473062761E-6, -13.766745798570765, -1.5129501307874016, 6.615959749148505
2.0260521042084168E-4, 0.058670127007360365, 4.836843110197581E-5, 1.0965328531592773, 6.308149893012244E-6, -12.816937052745462, -0.5304615203319266, 6.6159952438209775
2.090180360721443E-4, 0.06052757513980569, 4.9899380454362775E-5, 1.0979046051720458, 6.659176362814292E-6, -11.932519119604644, 0.356500443500469, 6.616043732568019
2.154308617234469E-4, 0.062385023272251025, 5.143032980674975E-5, 1.099220054517847, 7.016876085310543E-6, -11.110732082202826, 1.155292124774083, 6.61609222131506
2.218436873747495E-4, 0.06424247140469636, 5.2961279159136715E-5, 1.1004831300176021, 7.3810894841951936E-6, -10.348892841856388, 1.8725829250239765, 6.616140710062101
2.2825651302605212E-4, 0.06609991953714169, 5.449222851152369E-5, 1.1016977268730561, 7.75166510279049E-6, -9.644393709505978, 2.5144445397312998, 6.616189198809142
2.3466933867735473E-4, 0.06795736766958702, 5.6023177863910654E-5, 1.1028677063548102, 8.128459540310789E-6, -8.99470101272286, 3.086425757130007, 6.616237687556183
2.4108216432865734E-4, 0.06981481580203235, 5.755412721629763E-5, 1.1039968954961548, 8.511337387548572E-6, -8.39735371827795, 3.593615488963456, 6.616286176303224
2.4749498997995995E-4, 0.07167226393447768, 5.9085076568684594E-5, 1.1050890867927103, 8.900171161992777E-6, -7.849962070194036, 4.0406961652972635, 6.616334665050265
2.539078156312625E-4, 0.07352971206692299, 6.061602592107156E-5, 1.1061480379078628, 9.29484124238985E-6, -7.350206243199418, 4.431989194715759, 6.616383153797306
2.6032064128256516E-4, 0.07538716019936834, 6.214697527345853E-5, 1.1071774713840106, 9.695235802757809E-6, -6.8958350115025455, 4.771493855952393, 6.616431642544347
2.667334669338677E-4, 0.07724460833181367, 6.36779246258455E-5, 1.1081810743596041, 1.0101250745863734E-5, -6.484664432807781, 5.062920724277231, 6.616480131291389
2.7314629258517033E-4, 0.079102056464259, 6.520887397823247E-5, 1.1091624982919963, 1.0512789636175046E-5, -6.114576547490237, 5.309720528751132, 6.616528620038429
2.7955911823647294E-4, 0.08095950459670431, 6.673982333061943E-5, 1.1101253586860895, 1.092976363229492E-5, -5.783518092850552, 5.515109172021028, 6.616577108785471
2.859719438877756E-4, 0.08281695272914966, 6.827077268300641E-5, 1.1110732348287877, 1.1352091418892183E-5, -5.489499232367615, 5.682089513083951, 6.6166255975325114
2.923847695390781E-4, 0.08467440086159497, 6.980172203539337E-5, 1.1120096695292487, 1.1779699138136107E-5, -5.230592299869361, 5.813470408106015, 6.616674086279552
2.9879759519038077E-4, 0.08653184899404032, 7.133267138778035E-5, 1.1129381688649425, 1.2212520320646452E-5, -5.004930558540547, 5.9118834193912635, 6.616722575026594
3.052104208416834E-4, 0.08838853390510046, 7.286362074016731E-5, 1.1138610699100955, 1.2650413332644469E-5, -4.810706974687591, 5.979797533672671, 6.61676144647319
3.11623246492986E-4, 0.09024504268814863, 7.439457009255428E-5, 1.1147826222351087, 1.3093381905465041E-5, -4.646173006178425, 6.019532174744988, 6.616798098542762
3.1803607214428854E-4, 0.09210155147119682, 7.592551944494125E-5, 1.1157064759984872, 1.3541399289749024E-5, -4.5096374054782356, 6.033268749489851, 6.616834750612334
3.2444889779559115E-4, 0.093958060254245, 7.745646879732821E-5, 1.1166359879252887, 1.3994427600830382E-5, -4.399465037199241, 6.023060928559796, 6.616871402681905
3.308617234468938E-4, 0.0958145690372932, 7.898741814971519E-5, 1.117574476826196, 1.4452435990321037E-5, -4.314075710084883, 5.99084383178629, 6.616908054751477
3.372745490981963E-4, 0.09767107782034136, 8.051836750210215E-5, 1.1185252233783871, 1.4915400574369727E-5, -4.25194302334625, 5.938442262524342, 6.616944706821048
3.43687374749499E-4, 0.09952758660338956, 8.204931685448913E-5, 1.1194914699122067, 1.5383304361509023E-5, -4.211593227272297, 5.8675781136242025, 6.6169813588906194
3.501002004008016E-4, 0.10138409538643774, 8.358026620687609E-5, 1.1204764202036424, 1.5856137180100106E-5, -4.191604098030589, 5.779877049758294, 6.617018010960191
3.565130260521042E-4, 0.10324060416948591, 8.511121555926306E-5, 1.1214832392725982, 1.6333895605386288E-5, -4.190603826580211, 5.676874555765669, 6.617054663029762
3.629258517034068E-4, 0.10509711295253411, 8.664216491165004E-5, 1.1225150531869776, 1.6816582886165417E-5, -4.207269921614741, 5.560021428016019, 6.6170913150993345
3.6933867735470936E-4, 0.10695362173558227, 8.817311426403699E-5, 1.1235749488725608, 1.7304208871091246E-5, -4.240328126455265, 5.430688775106649, 6.617127967168906
3.75751503006012E-4, 0.10881013051863048, 8.970406361642397E-5, 1.1246659739286928, 1.779678993461477E-5, -4.288551349812307, 5.290172585162545, 6.617164619238477
3.821643286573147E-4, 0.11066663930167868, 9.123501296881095E-5, 1.1257911364497655, 1.8294348902575208E-5, -4.350758610336443, 5.139697909331108, 6.617201271308049
3.885771543086172E-4, 0.11252314808472684, 9.27659623211979E-5, 1.1269534048525083, 1.8796914977451492E-5, -4.425813994877203, 4.98042270452324, 6.61723792337762
3.9498997995991985E-4, 0.11437965686777504, 9.429691167358488E-5, 1.1281557077090785, 1.9304523663284343E-5, -4.512625630368065, 4.81344137287439, 6.617274575447191
4.014028056112224E-4, 0.11623616699246767, 9.582786102597184E-5, 1.129401183830942, 1.9817240670721376E-5, -4.61014466925923, 4.639788030612216, 6.617312843773969
4.07815631262525E-4, 0.1180926819087477, 9.735881037835882E-5, 1.1306933474021168, 2.0335179849170236E-5, -4.717364288415355, 4.460439534920954, 6.61735688444791
4.1422845691382757E-4, 0.11994919682502769, 9.888975973074577E-5, 1.1320341270758698, 2.0858312393126432E-5, -4.83331870139887, 4.276318293855845, 6.61740092512185
4.2064128256513023E-4, 0.12180571174130772, 1.0042070908313275E-4, 1.1334262904943597, 2.1386698424024298E-5, -4.957082184057727, 4.088294881316278, 6.617444965795791
4.270541082164329E-4, 0.12366222665758775, 1.0195165843551973E-4, 1.1348725647076594, 2.1920403984901694E-5, -5.0877681133370585, 3.897190476450247, 6.617489006469731
4.334669338677354E-4, 0.12551874157386775, 1.0348260778790668E-4, 1.1363756360416626, 2.2459500963563855E-5, -5.22452801923363, 3.7037791445781902, 6.617533047143672
4.3987975951903806E-4, 0.12737525649014778, 1.0501355714029366E-4, 1.1379381499717907, 2.3004067015490598E-5, -5.366550649814035, 3.5087899747385416, 6.617577087817613
4.462925851703406E-4, 0.12923177140642778, 1.0654450649268062E-4, 1.1395627110025, 2.3554185486496766E-5, -5.513061049212798, 3.3129090872333764, 6.617621128491553
4.527054108216433E-4, 0.1310882863227078, 1.080754558450676E-4, 1.141251882552596, 2.410994533515715E-5, -5.66331964853363, 3.116781523037395, 6.617665169165494
