DryVolFrac  Lindemann   Calibration
0.0183      0.1013      0.006857064490691535
0.0163      0.1015      0.0034285322453457673
0.0156      0.1004      0.0022856881635638453
0.0151      0.1034      0.0017142661226728837
0.0149      0.1009      0.001371412898138307
0.0147      0.1031      0.0011428440817819227
0.0146      0.1002      0.0009795806415273621
0.0145      0.1010      0.0008571330613364418
0.0144      0.1014      0.0007618960545212818
0.0143      0.1009      0.0006857064490691535
0.0142      0.1012      0.000623369499153776
0.0142      0.1022      0.0005714220408909613
0.0142      0.1011      0.0005274664992839642
0.0141      0.1011      0.0004897903207636811
0.0140      0.1043      0.0004571376327127691
0.0140      0.1026      0.0004285665306682209
0.0140      0.1026      0.0004033567347465609
0.0139      0.1042      0.0003809480272606409
0.0139      0.1042      0.0003608981310890282
0.0139      0.1030      0.00034285322453457676
0.0139      0.1005      0.000311684749576888
0.0139      0.1012      0.00028571102044548067
0.0139      0.1001      0.0002637332496419821
0.0138      0.1014      0.00024489516038184053
0.0138      0.1041      0.00022856881635638455
0.0138      0.1002      0.00021428326533411046
0.0137      0.1018      0.00020167836737328045
0.0137      0.1007      0.00019047401363032044
0.0137      0.1011      0.0001804490655445141
0.0138      0.1000      0.00017142661226728838
0.0137      0.1055      0.00016326344025456037
0.0137      0.1044      0.000155842374788444
0.0136      0.1030      0.00014906661936285947
0.0136      0.1021      0.00014285551022274033
0.0137      0.1041      0.0001371412898138307
0.0136      0.1029      0.00013186662482099105
0.0136      0.1012      0.00012698267575354694
0.0137      0.1049      0.00012244758019092027
0.0136      0.1033      0.00011822524983950924
																			
