ConvertedDryVolFrac	Lindemann	Calibration
1.505574955138844	0.1013	0.006857064490691535
1.3410312441947079	0.1015	0.0034285322453457673
1.2834409453642603	0.1004	0.0022856881635638453
1.2423050176282264	0.1034	0.0017142661226728837
1.2258506465338128	0.1009	0.001371412898138307
1.2093962754393992	0.1031	0.0011428440817819227
1.2011690898921925	0.1002	0.0009795806415273621
1.1929419043449858	0.101	0.0008571330613364418
1.184714718797779	0.1014	0.0007618960545212818
1.1764875332505722	0.1009	0.0006857064490691535
1.1682603477033655	0.1012	0.000623369499153776
1.1682603477033655	0.1022	0.0005714220408909613
1.1682603477033655	0.1011	0.0005274664992839642
1.1600331621561586	0.1011	0.0004897903207636811
1.1518059766089517	0.1043	0.0004571376327127691
1.1518059766089517	0.1026	0.0004285665306682209
1.1518059766089517	0.1026	0.0004033567347465609
1.1435787910617448	0.1042	0.0003809480272606409
1.1435787910617448	0.1042	0.0003608981310890282
1.1435787910617448	0.103	0.00034285322453457676
1.1435787910617448	0.1005	0.000311684749576888
1.1435787910617448	0.1012	0.00028571102044548067
1.1435787910617448	0.1001	0.0002637332496419821
1.135351605514538	0.1014	0.00024489516038184053
1.135351605514538	0.1041	0.00022856881635638455
1.135351605514538	0.1002	0.00021428326533411046
1.1271244199673314	0.1018	0.00020167836737328045
1.1271244199673314	0.1007	0.00019047401363032044
1.1271244199673314	0.1011	0.0001804490655445141
1.135351605514538	0.1	0.00017142661226728838
1.1271244199673314	0.1055	0.00016326344025456037
1.1271244199673314	0.1044	0.000155842374788444
1.1188972344201245	0.103	0.00014906661936285947
1.1188972344201245	0.1021	0.00014285551022274033
1.1271244199673314	0.1041	0.0001371412898138307
1.1188972344201245	0.1029	0.00013186662482099105
1.1188972344201245	0.1012	0.00012698267575354694
1.1271244199673314	0.1049	0.00012244758019092027
1.1188972344201245	0.1033	0.00011822524983950924
