Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.55
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.5049268749999998
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6498925222208117
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.31587673994132753
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.008508859097841184, 0.0011973545547172525, 3.5051784375, 0.43511006786498935, 0.35263151689147315, 0.24639070625785492
0.0102, -0.008289121893955644, 0.0012382290086601952, 3.5051506250000006, 0.4394180883389001, 0.3841834200340711, 0.23683279583076158
0.0103, -0.008144933354095236, 0.0012628916273423943, 3.5051409374999998, 0.4437261088128108, 0.4091194085008433, 0.2302493753488063
0.0104, -0.008002039004449006, 0.0012687668424592863, 3.5051853124999997, 0.4480341292867216, 0.4349903941624192, 0.22401772043826768
0.0105, -0.007907479902333286, 0.0013301832729276425, 3.505209375, 0.45234214976063236, 0.45586706653700293, 0.21952724019462863
0.0106, -0.007743375071019761, 0.0012796693545439196, 3.5050584375000007, 0.45665017023454313, 0.4864356837093684, 0.2131900848661026
0.0107, -0.007556126742847887, 0.0013020272627961957, 3.505106875, 0.4609581907084539, 0.5216662471515998, 0.20651074372404096
0.0108, -0.008138634697739941, 0.0013078985796604124, 3.5050975000000006, 0.46526621118236466, 0.4549558338471249, 0.22182018329448852
0.0109, -0.007499592229294311, 0.0012787665629295417, 3.505120625, 0.46957423165627543, 0.5494578372125376, 0.2024662971737477
0.011, -0.0073058478060900696, 0.001357480442764396, 3.5050446875, 0.47388225213018614, 0.5884769419744119, 0.19623535869010064
0.0111, -0.007428865762183183, 0.0013405631669087242, 3.5050421875, 0.4781902726040969, 0.5797773315236028, 0.19829943245083423
0.0112, -0.006950823050832982, 0.0013817253566462135, 3.5050428125, 0.4824982930780077, 0.6669487161034285, 0.18544033973922228
0.0113, -0.007465055347188622, 0.0013757682113833898, 3.505085, 0.48680631355191845, 0.5941750334864823, 0.19705163467615794
0.0114, -0.00713871330734706, 0.001393668469303893, 3.5050775, 0.4911143340258292, 0.6560309801159087, 0.1880834301277666
0.0115, -0.006995040415450845, 0.001414948142345397, 3.5050909375000003, 0.49542235449974, 0.690716849467189, 0.18383449880735336
0.0116, -0.0054361080760841176, 0.0014193893754055734, 3.505102187499999, 0.49973037497365075, 1.032827011364757, 0.15077058844033842
0.0117, -0.007407623541436371, 0.001471232789425674, 3.5050731249999996, 0.5040383954475615, 0.6427017153531328, 0.191676256207413
0.0118, -0.0064488908395924065, 0.0014682608248141864, 3.50502875, 0.5083464159214722, 0.8248256742684832, 0.16967740394900946
0.0119, -0.006681112601002444, 0.0014549029869434715, 3.5050012500000007, 0.512654436395383, 0.7899555664742899, 0.17387030491909733
0.012, -0.007064782756996404, 0.0015073321291693396, 3.505029687499999, 0.5169624568692938, 0.7300545234315233, 0.1813679431211115
0.0121, -0.006310283182156007, 0.0015076766748151347, 3.5050003125000004, 0.5212704773432045, 0.8859958329265039, 0.16509111889442865
0.0122, -0.004846514625941285, 0.0015258250646605492, 3.5049884374999998, 0.5255784978171153, 1.2673910672107132, 0.13841262861159837
0.0123, -0.006094342919002237, 0.0015202243300950619, 3.5050931250000006, 0.5298865182910261, 0.9547134123975491, 0.15991024391155234
0.0124, -0.004586104625379298, 0.001515520885382782, 3.50513375, 0.5341945387649368, 1.3711060942699185, 0.13379794965616998
0.0125, -0.00508599015394939, 0.0014861364528143514, 3.5050453125000005, 0.5385025592388476, 1.2320705259622475, 0.1415239627777976
0.0126, -0.004666540777968037, 0.0015986776181752013, 3.505127499999999, 0.5428105797127584, 1.3686081054998012, 0.13463616159685107
0.0127, -0.0053054571327571555, 0.0015995539374757295, 3.5049965624999992, 0.547118600186669, 1.1936444975366045, 0.14454669537434292
0.0128, -0.005575921469336579, 0.0015536892414720043, 3.504981562500001, 0.5514266206605798, 1.1335348257775866, 0.1487180389081046
0.0129, -0.0042822777143607, 0.0016038941098090356, 3.505114375000001, 0.5557346411344906, 1.5280354132436331, 0.12842245095298235
0.013, -0.00385369849650457, 0.0015868308921169866, 3.5050446875, 0.5600426616084013, 1.6925062389670886, 0.12233772651582359
0.0131, -0.003430574611743943, 0.001593553328102602, 3.504989374999999, 0.5643506820823121, 1.869508462628147, 0.11670007666094966
0.0132, -0.0040727450903500564, 0.0016463755339463115, 3.5049162500000013, 0.5686587025562229, 1.6339395789601998, 0.12514622135904047
0.0133, -0.002722170910669249, 0.0016713364591420044, 3.504979062500001, 0.5729667230301336, 2.203923069285, 0.1080264469275625
0.0134, -0.0032409164782776743, 0.001684984211201927, 3.5049478125000006, 0.5772747435040444, 1.9795871160698197, 0.11426819940238134
0.0135, -0.0026667909019995363, 0.001661279839595776, 3.5049750000000004, 0.5815827639779552, 2.248995772993747, 0.10747184313435146
0.0136, -0.003228863035245729, 0.0016968251306184103, 3.504980625, 0.5858907844518659, 2.00446508163849, 0.11411905036605371
