ConvertedDryVolFrac	Lindemann	Calibration
1.3657128008363284	0.1005227905042246	0.006857064490691535
1.25875938872264	0.1062079395816479	0.0034285322453457673
1.2176234609866061	0.1041297718474518	0.0022856881635638453
1.1929419043449858	0.1062842086637734	0.0017142661226728837
1.1929419043449858	0.1033159380832901	0.001371412898138307
1.1682603477033655	0.10169033547158	0.0011428440817819227
1.1682603477033655	0.1001747116056796	0.0009795806415273621
1.1518059766089517	0.1015031718578182	0.0008571330613364418
1.1435787910617448	0.1002656063362664	0.0007618960545212818
1.1518059766089517	0.1002508910417709	0.0006857064490691535
1.1271244199673314	0.1014119262504797	0.000623369499153776
1.1435787910617448	0.100678869416597	0.0005714220408909613
1.1271244199673314	0.1036310383788229	0.0005274664992839642
1.1435787910617448	0.1004461906023191	0.0004897903207636811
1.135351605514538	0.1014769706166573	0.0004571376327127691
1.0859884922312972	0.1077952980009546	0.0004285665306682209
1.1188972344201245	0.1051805931944099	0.0004033567347465609
1.1188972344201245	0.1020980166809065	0.0003809480272606409
1.1106700488729178	0.1021561416006751	0.0003608981310890282
1.135351605514538	0.1004852704258427	0.00034285322453457676
1.094215677778504	0.1054489847746212	0.000311684749576888
1.1024428633257108	0.1018077462062473	0.00028571102044548067
1.1024428633257108	0.100486207681155	0.0002637332496419821
1.1024428633257108	0.1029491011107256	0.00024489516038184053
1.1106700488729178	0.1009389182892532	0.00022856881635638455
1.1024428633257108	0.1008209061775402	0.00021428326533411046
1.094215677778504	0.1064409361184571	0.00020167836737328045
1.094215677778504	0.1056614133337764	0.00019047401363032044
1.0695341211368836	0.1092038791130907	0.0001804490655445141
1.0859884922312972	0.1054530965834313	0.00017142661226728838
1.0777613066840905	0.1015355917662211	0.00016326344025456037
1.094215677778504	0.1018278090524041	0.000155842374788444
1.094215677778504	0.1001046829655562	0.00014906661936285947
1.0859884922312972	0.1040649164033163	0.00014285551022274033
1.0777613066840905	0.1040356506278436	0.0001371412898138307
1.061306935589677	0.1066785525967746	0.00013186662482099105
1.0695341211368836	0.1068604459358809	0.00012698267575354694
1.0777613066840905	0.10187048593817	0.00012244758019092027
1.0859884922312972	0.1023933979971216	0.00011822524983950924
1.0859884922312972	0.1001425648999225	0.00011428440817819227
