DryVolFrac,       Lindemann,   Calibration
0.0142,      0.15022616875185607,  0.05
0.0132,      0.15044093794192306,  0.10
0.013,       0.15424764732085397,  0.15
0.0127,      0.15257209765552138,  0.20
0.0127,      0.1512829892919219,   0.25
0.0126,      0.15063928139995367,  0.30
0.0126,      0.15103855724548101,  0.35
0.0124,      0.15177744209717292,  0.40
0.0121,      0.15295125103285928,  0.45
0.0121,      0.1546855577830431,   0.50
0.0116,      0.15077058844033842,  0.55
0.0119,      0.15038741025012867,  0.60
0.0123,      0.15917299396555867,  0.65
0.0122,      0.1557343947171951,   0.70
0.0123,      0.15442628907741185,  0.75
0.0124,      0.15353096067914407,  0.80
0.0122,      0.15167731106599402,  0.90
0.0121,	     0.1542819500037715,   0.95
0.0118,      0.15145471994437154,  1.00
0.0122,      0.15183191343600252,  1.10
0.0122,      0.15165585734665607,  1.20
0.0127,      0.1519156384706183,   1.30
0.012,       0.1511249289128693,   1.40
0.0123,      0.15138572957393567,  1.70
0.0119,      0.15561085436476657,  1.80
0.0111,      0.15383448285491977,  1.90
0.0117,      0.15161216748147338,  2.10
0.0133,      0.15286012996639103,  2.20
0.0119,      0.1505490889222833,   2.30
0.0123,      0.15145750657915308,  2.40
0.0118,      0.15204932929890386,  2.50
0.0121,      0.1542528121720002,   2.60
0.0119,      0.15574807627473147,  2.70
0.0118,      0.15090402039509573,  2.80
0.0117,      0.15252423630715065,  2.90








