#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.515431666374207
#Mean swelling ratio: 5.514938923611111
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.16777935664769653
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.013525676258917346
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0016, 0.5312099437526422, 6.923806527777774, 0.5317517409856761, 0.11763429382086944, 3.175E-5, 0.005399342669125785
0.0016, 0.5144666582781844, 6.850281076388889, 0.5149967793260105, 0.1362536783931809, 3.35E-5, 0.005117723903599835
0.0017, 0.5302327513952895, 6.781124340277777, 0.530809627806487, 0.11978442035492848, 3.525E-5, 0.004863379472995794
0.0017, 0.5152347609253463, 6.7165743055555565, 0.5156863138047604, 0.13052947728620792, 3.7000000000000005E-5, 0.004633253512551891
0.0018, 0.5306986228686575, 6.655092881944445, 0.5311743516799052, 0.1202389106790736, 3.875000000000001E-5, 0.004423996175344047
0.0018, 0.5170018323044814, 6.597336666666668, 0.5173629535189186, 0.1300607365870076, 4.050000000000001E-5, 0.004232920797712476
0.0018, 0.5041137037762725, 6.542048472222219, 0.504475083508835, 0.1377716944488877, 4.225000000000001E-5, 0.004057491183933368
0.0019, 0.51929268948929, 6.48905173611111, 0.5197692364189689, 0.12984278380653905, 4.400000000000001E-5, 0.003896104015254759
0.0019, 0.5073652746683947, 6.438982222222222, 0.5078219345975402, 0.14460716605621604, 4.5750000000000014E-5, 0.0037470770587222342
0.002, 0.5223096514450136, 6.391375729166668, 0.5227195997566594, 0.1330342774744913, 4.7500000000000016E-5, 0.003609069176992734
0.002, 0.5111868700861082, 6.345675659722218, 0.5115665000395012, 0.139567420596114, 4.925000000000002E-5, 0.0034809922166001268
0.0021, 0.5256764715913623, 6.301742951388888, 0.526081537352105, 0.11972989774890284, 5.100000000000002E-5, 0.003361367131517199
0.0021, 0.5152531008755992, 6.259813611111111, 0.5156095526096502, 0.1329456650896648, 5.275000000000002E-5, 0.0032498460913155287
0.0021, 0.505323062208944, 6.219337361111107, 0.5056779452495576, 0.14349168838479784, 5.4500000000000024E-5, 0.0031455762215457307
0.0022, 0.5194576127553789, 6.180207256944445, 0.5198747176211668, 0.12817435457313905, 5.6250000000000026E-5, 0.0030478285557933964
0.0022, 0.5101590139059689, 6.143106527777778, 0.5104716662659087, 0.13327771024613672, 5.800000000000003E-5, 0.002955665037090954
0.0023, 0.5239521204743401, 6.1068215625, 0.5243064179041876, 0.12627147818074477, 5.975000000000003E-5, 0.0028690994588114437
0.0023, 0.5150044586754626, 6.071855451388887, 0.5153677742973952, 0.1299577971356649, 6.150000000000003E-5, 0.002787537389067629
0.0023, 0.5065134641828154, 6.038294930555555, 0.5068259580330545, 0.1419013692450168, 6.325000000000003E-5, 0.002710333861013941
0.0024, 0.5200123310064276, 6.005661458333332, 0.520335912756089, 0.12685428159479795, 6.500000000000003E-5, 0.002637375576084485
0.0024, 0.5118746787439469, 5.9741635763888885, 0.5121678563350212, 0.13297373952016808, 6.675000000000004E-5, 0.002568225271838423
0.0024, 0.5040378800531814, 5.943520520833332, 0.5043355735572231, 0.14683252328253116, 6.850000000000004E-5, 0.0025026074738820022
0.0024, 0.49653054410744835, 5.913860902777778, 0.4968166360887077, 0.14664665504031313, 7.025000000000004E-5, 0.0024403153469129864
0.0025, 0.5096696262295195, 5.8849418402777784, 0.5099915097081972, 0.14363075370102266, 7.200000000000004E-5, 0.002381010564383739
0.0025, 0.5024274305027046, 5.856938437499998, 0.5027528661409791, 0.14960504798908644, 7.375000000000004E-5, 0.002324458778812298
0.0025, 0.49556493364040843, 5.830142881944445, 0.4957828846117149, 0.1490250868333237, 7.550000000000005E-5, 0.002270581912686733
0.0026, 0.5083792005227882, 5.803595902777777, 0.5086287556743122, 0.13583581058382704, 7.725000000000005E-5, 0.0022191438191788396
0.0026, 0.5016506426428625, 5.777877569444448, 0.5018936064965525, 0.14444581794377245, 7.900000000000005E-5, 0.0021699942326566905
0.0027, 0.5141102308470095, 5.752493541666668, 0.5144447988127598, 0.13337975471622507, 8.075000000000005E-5, 0.002122961932482339
0.0027, 0.5076227173958507, 5.728194652777775, 0.50792293448939, 0.13939597429789297, 8.250000000000005E-5, 0.0020779426139927067
0.0027, 0.5013755902615086, 5.704599479166664, 0.5016182553162677, 0.14215307282787995, 8.425000000000006E-5, 0.002034761745338287
0.0028, 0.5135707702813346, 5.6811879166666674, 0.5138729121698752, 0.1313182900775214, 8.600000000000006E-5, 0.001993355578767392
0.0028, 0.507448962326149, 5.658525868055555, 0.5077504686831645, 0.1431753598001788, 8.775000000000006E-5, 0.001953668409863891
0.0029, 0.5194478536607252, 5.636459548611109, 0.5197440005300672, 0.12706446384974632, 8.950000000000006E-5, 0.001915416550012121
0.0029, 0.5135255487910667, 5.6149545486111085, 0.5137914780142571, 0.12954844133280988, 9.125000000000006E-5, 0.0018786758696989906
