This fits B3 to B3 into the virial expansion since maxPower is set to 1.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876371270419017, 4.774648292756861E-5, -8.842142991481913, 1.0028866049066336, 1.245616877251539, -4.8681688960550156E-4, 1.5004868275281333, -5.213638970822166E-4, 1.0500726492145137E-5, 2.4046280984569965E-5, 7.006240483539097, 0.06875648901040608, 4068.2375340676317, 971.2201698282698, 5762.4042325601895, 0.7059965545423298
3.0E-4, 0.10314516139300352, 7.161972439135293E-5, -8.136341086380769, 1.122881722299208, 1.4071060663092765, -6.874897544143409E-4, 1.5006886756979498, -7.530065463303081E-4, 2.5017454661439128E-5, 4.049933725452804E-5, 7.0075027674897115, 0.10313473351560913, 4070.4368003704344, 971.7452059831695, 5765.519355840398, 0.7059965545423299
4.0E-4, 0.13753395501011595, 9.549296585513724E-5, -7.311580967487994, 1.2406000964189672, 1.594374090735509, -8.758828135219393E-4, 1.5008794056079688, -9.765371141186377E-4, 4.694749364989775E-5, 5.3706806946800705E-5, 7.008729979423871, 0.13751297802081217, 4072.575720746988, 972.2558356093822, 5768.5490028872455, 0.7059965545423299
5.0E-4, 0.1719031034711321, 1.1936620731892148E-4, -6.6763754646342806, 1.3488716393084297, 1.8074387405372718, -0.001036749185275331, 1.5010424417687596, -0.0011940355932402447, 7.721979422872187E-5, 8.006661373619154E-5, 7.010029454732514, 0.1718912225260152, 4074.8414063505575, 972.7967282043326, 5771.758204956282, 0.7059965545423299
6.0E-4, 0.20628107082232366, 1.4323944878270585E-4, -6.340011036582451, 1.764249544670818, 2.046410406328496, -0.001194587781438438, 1.5012088999321447, -0.001406727072591923, 1.1677811886521838E-4, 9.536117228826651E-5, 7.01180259259259, 0.20626946703121826, 4077.934296337667, 973.5351012991645, 5776.13909034051, 0.7059965545423298
7.0E-4, 0.2406481112381202, 1.6711269024649017E-4, -5.368861580818939, 1.5620848753692043, 2.31115374944359, -0.001339260263288587, 1.5013529651490864, -0.0016154210498813184, 1.6653325291465822E-4, 1.096275336780733E-4, 7.013329886831276, 0.24064771153642134, 4080.5996147857086, 974.1713992080442, 5779.914347359674, 0.7059965545423298
8.0E-4, 0.27501732839528353, 1.9098593171027449E-4, -5.292462295827184, 1.8145085112130799, 2.601752978932147, -0.0014506280191193752, 1.5014740439871939, -0.0018206928681456847, 2.274290536359952E-4, 1.4263579539031446E-4, 7.014997150205763, 0.2750259560416244, 4083.510522394651, 974.8663272103148, 5784.037466077766, 0.7059965545423299
9.0E-4, 0.3093801134968586, 2.148591731740588E-4, -3.09945989958313, 1.4283508541816676, 2.918456268841329, -0.0015914960799367655, 1.5016034040562292, -0.0020229727110088343, 3.0045346340560523E-4, 1.310231676664634E-4, 7.017448765432102, 0.30940420054682743, 4087.793359080007, 975.8887791537093, 5790.103836597283, 0.7059965545423299
0.001, 0.3437281100426977, 2.38732414637843E-4, -1.0352397240112698, 2.06442826215956, 3.260924196127159, -0.0015980389351261692, 1.5016371950265692, -0.0022225944863660013, 3.864716343192279E-4, 2.3808391692060419E-4, 7.019588899176959, 0.3437824450520305, 4091.534501954771, 976.7819112257068, 5795.402931685912, 0.7059965545423297
0.0011, 0.37808671216110995, 2.626056561016274E-4, -1.8374857282199626, 2.2594327960126845, 3.6298388482658956, -0.0016401119565149927, 1.5016914578799803, -0.0024198249427019227, 4.865915397265206E-4, 2.931214464604093E-4, 7.023018117283957, 0.3781606895572336, 4097.533836036847, 978.2141467373399, 5803.900613499621, 0.7059965545423299
