This fits B3 to B9 into the virial expansion since maxPower is set to 7.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876052915573498, 4.774648292756861E-5, -9.129962157408766, 1.1577508581748437, 1.0713705671176612, -4.923543387592331E-4, 1.5004933984160862, -5.213638970822166E-4, 4.596974712133264E-6, 2.441258361085035E-5, 7.006087705761312, 0.06875648901040608, 4067.9714044343486, 971.1566360583095, 5762.0272765657555, 0.70599655454233
3.0E-4, 0.10313955471215659, 7.161972439135293E-5, -8.437607346022578, 1.2391768593213146, 1.171187952833287, -7.008954954868722E-4, 1.5007035832292859, -7.530065463303081E-4, 1.0144225241538572E-5, 4.19668256018973E-5, 7.007424619341567, 0.10313473351560913, 4070.3006205238266, 971.7126954395638, 5765.3264655979, 0.70599655454233
4.0E-4, 0.13752028817497075, 9.549296585513724E-5, -8.049530765942297, 1.3386381159769682, 1.3395698549601018, -8.953524513662032E-4, 1.5009007662752276, -9.765371141186377E-4, 2.0316712440394196E-5, 6.086795031204038E-5, 7.00849817901235, 0.13751297802081217, 4072.1716560265704, 972.159372263007, 5767.9766704618, 0.7059965545423299
5.0E-4, 0.17190770867682462, 1.1936620731892148E-4, -7.578397436306788, 1.4503481458753338, 1.5462828285896273, -0.001085182033506397, 1.5010935083801416, -0.0011940355932402447, 3.707306579396897E-5, 7.178049393987886E-5, 7.009671841563788, 0.1718912225260152, 4074.2178101365093, 972.6478555743939, 5770.8749198891865, 0.7059965545423298
6.0E-4, 0.20627300510090177, 1.4323944878270585E-4, -7.00069660934421, 1.4281006357634936, 1.7562825008438083, -0.001257262828951212, 1.5012656835973015, -0.001406727072591923, 6.148267283755927E-5, 8.798157080315176E-5, 7.01100611111112, 0.20626946703121826, 4076.544797627943, 973.2033829170558, 5774.170952251472, 0.7059965545423298
7.0E-4, 0.2406366961856845, 1.6711269024649017E-4, -5.411186986260871, 1.8410368625175975, 1.94472196765242, -0.0014195790974200096, 1.5014387669857583, -0.0016154210498813184, 9.376161218497563E-5, 1.0208034027633312E-4, 7.013685308641974, 0.24064771153642134, 4081.2200365947024, 974.3195140045993, 5780.793136080386, 0.7059965545423299
8.0E-4, 0.27501871036043246, 1.9098593171027449E-4, -4.745346273598198, 2.404742217561708, 2.1013158088499195, -0.001515822606252174, 1.5015574611760096, -0.0018206928681456847, 1.3334763303331687E-4, 1.7152262886019402E-4, 7.015025771604939, 0.2750259560416244, 4083.5605051355087, 974.8782597107299, 5784.108263506643, 0.7059965545423299
9.0E-4, 0.3093742209261069, 2.148591731740588E-4, -5.930738555543099, 2.4550969810585532, 2.2325283728129666, -0.001646220610110275, 1.5016959412438657, -0.0020229727110088343, 1.7973948607457457E-4, 1.9701261482398485E-4, 7.017457654320989, 0.30940420054682743, 4087.808892924943, 975.8924875860195, 5790.125839317885, 0.7059965545423299
0.001, 0.3437354048943202, 2.38732414637843E-4, -2.85082612510207, 2.176682425724122, 2.3549593328275362, -0.0017987530077456313, 1.5018388046451854, -0.0022225944863660013, 2.3247875146938994E-4, 1.9136272715098007E-4, 7.020175318930036, 0.3437824450520305, 4092.5600137628426, 977.0267341358874, 5796.85550507522, 0.7059965545423298
0.0011, 0.37809164950515817, 2.626056561016274E-4, -3.624402269236895, 3.1363379808492735, 2.490399308056248, -0.0017817644415365184, 1.5018651812487425, -0.0024198249427019227, 2.9158268585371765E-4, 3.464778153116865E-4, 7.022995555555548, 0.3781606895572336, 4097.494345686536, 978.2047191106553, 5803.844677886256, 0.70599655454233
