phi0, phi, rho, Z_fit_curve, F_id, F_fr, F_ex, F_total, mu_id, mu_fr, mu_ex, mu_kT, PV_id, PV_fr, PV_ex, PV_NkT, alpha
1.0000000000000005E-4, 0.034380052266560726, 2.387324146378431E-5, 1.1099261907713482, -4.572310482860675E-4, -0.013133832657350667, -0.001201808019022664, -0.014792871724659398, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 11.166026910298802, 613.1488301377038, 59.143659435037826, 683.4585164830404, 7.005263981481487
1.0581162324649302E-4, 0.036378116053707124, 2.5260664314385E-5, 1.1171066660508917, -4.6831159329267335E-4, -0.013046424831468614, -0.0011895953086660854, -0.014704331733427372, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 10.55274134136194, 579.47209514908, 55.895238746370985, 645.920075236813, 7.005311853233221
1.1162324649298601E-4, 0.03837617984085352, 2.6648087164985692E-5, 1.1243741390784425, -4.793921382992792E-4, -0.012959017005586559, -0.0011773825983095068, -0.014615791742195345, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 10.003316747287435, 549.3020937858424, 52.985073712897446, 612.2904842460273, 7.005359724984954
1.1743486973947899E-4, 0.04037424362799993, 2.8035510015586382E-5, 1.1317286098587445, -4.90472683305885E-4, -0.012871609179704506, -0.0011651698879529282, -0.014527251750963319, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 9.508272061841472, 522.1182017725499, 50.362945491610716, 581.9894193260021, 7.005407596736688
1.2324649298597198E-4, 0.042372307415146325, 2.9422932866187073E-5, 1.13917007839654, -5.015532283124909E-4, -0.012784201353822452, -0.0011529571775963495, -0.014438711759731292, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 9.059914517461957, 497.49799388408826, 47.988107411518506, 554.5460158130687, 7.005455468488421
1.2905811623246496E-4, 0.04437037120229272, 3.081035571678776E-5, 1.1466985446965716, -5.126337733190968E-4, -0.0126967935279404, -0.0011407444672397707, -0.014350171768499266, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 8.651937000371278, 475.095133911047, 45.82715226410541, 529.5742231755237, 7.005503340240153
1.3486973947895794E-4, 0.04636843498943912, 3.2197778567388454E-5, 1.1543140087635828, -5.237143183257026E-4, -0.012609385702058346, -0.0011285317568831923, -0.01426163177726724, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 8.279119507041758, 454.6229810382085, 43.852430992695226, 506.75453153794547, 7.005551211991887
1.4068136272545094E-4, 0.048366498776585526, 3.3585201417989144E-5, 1.1620164706023166, -5.347948633323085E-4, -0.012521977876176291, -0.0011163190465266135, -0.014173091786035215, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 7.937104598631201, 435.8422595993081, 42.04086333060382, 485.82022752854306, 7.00559908374362
1.4649298597194392E-4, 0.050364562563731924, 3.4972624268589835E-5, 1.1698059302175159, -5.458754083389144E-4, -0.012434570050294238, -0.0011041063361700348, -0.014084551794803188, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 7.622226304020662, 418.55166380125075, 40.37303154320641, 466.5469216484778, 7.0056469554953535
1.523046092184369E-4, 0.05236262635087832, 3.6360047119190525E-5, 1.1776823876139237, -5.569559533455202E-4, -0.012347162224412185, -0.0010918936258134562, -0.013996011803571162, -7.986422453550115, 63.0001342735633, 8.802442853879134, 63.8161546738923, 7.331378195051451, 402.58061347199254, 38.832481655373535, 448.7444733224175, 7.005694827247087
