This fits B3 to B11 into the virial expansion since maxPower is set to 9.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06873490199105847, 4.774648292756861E-5, -9.830437217841245, 1.0571718529150194, 1.0296485683740488, -5.18530900583459E-4, 1.5005187969114284, -5.213638970822166E-4, 2.832996498757648E-6, 0.0, 7.005, 0.06875648901040608, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
3.0E-4, 0.10308072257461706, 7.161972439135293E-5, -9.32754593694089, 1.0730515133556566, 1.1029264826620895, -7.470275599635734E-4, 1.5007475514349404, -7.530065463303081E-4, 5.978986366734741E-6, 0.0, 7.005, 0.10313473351560913, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
4.0E-4, 0.13741971891649665, 9.549296585513724E-5, -8.89575817604336, 1.3281517648856618, 1.2037099336508472, -9.644281633540761E-4, 1.5009678422740464, -9.765371141186377E-4, 1.2108950764561588E-5, 0.0, 7.005, 0.13751297802081217, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
5.0E-4, 0.1717369656795519, 1.1936620731892148E-4, -8.530909373927658, 1.181754421988968, 1.2901446054342283, -0.0011723019653908302, 1.5011744477701283, -0.0011940355932402447, 2.173362784941443E-5, 0.0, 7.005, 0.1718912225260152, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
6.0E-4, 0.20599916460274395, 1.4323944878270585E-4, -8.235763650436319, 1.311927339179026, 1.3447651007817136, -0.0013723096573713361, 1.5013769317073462, -0.001406727072591923, 3.441741522058673E-5, 0.0, 7.005, 0.20626946703121826, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
7.0E-4, 0.2402500430820151, 1.6711269024649017E-4, -7.993972467168505, 1.3291188588805187, 1.3767065110506198, -0.0015659593734864302, 1.5015715975839063, -0.0016154210498813184, 4.94616763948883E-5, 0.0, 7.005, 0.24064771153642134, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
8.0E-4, 0.274482706563232, 1.9098593171027449E-4, -7.7746488069884645, 1.3672321174670419, 1.4101786876127118, -0.0017541728366545527, 1.5017613523431435, -0.0018206928681456847, 6.652003149113196E-5, 0.0, 7.005, 0.2750259560416244, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
9.0E-4, 0.30866990675443684, 2.148591731740588E-4, -7.545447041292927, 1.6592133064375534, 1.4701791546741825, -0.0019370899901118852, 1.5019515869385864, -0.0020229727110088343, 8.588272089694906E-5, 0.0, 7.005, 0.30940420054682743, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.001, 0.342786967773387, 2.38732414637843E-4, -7.284280871722192, 1.6130196613463283, 1.5715859193049029, -0.0021141824627329553, 1.5021290854957903, -0.0022225944863660013, 1.0841202363304617E-4, 0.0, 7.005, 0.3437824450520305, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0011, 0.3768774801667377, 2.626056561016274E-4, -6.985489574167746, 1.566260120378795, 1.714189380246864, -0.0022845848996975947, 1.5022994054970293, -0.0024198249427019227, 1.3524004300432798E-4, 0.0, 7.005, 0.3781606895572336, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
