#Minimum dry volume fraction: 0.001
#Maximum dry volume fraction: 0.004
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Number of particles: 108
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 47.96334932711922
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 50
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.002
#phi0,    phi,    <alpha>,    <alpha_tilde>,    zeta,    lindemannParameter
0.0011, 0.34294162864771766, 7.011831208847733, 7.0052104347573465, 0.3781606895572335, 0.9987896723237725
0.0012, 0.3646617176272167, 7.0119129783950624, 7.005251810039046, 0.4125389340624365, 1.0933172140072933
0.0013, 0.38318423109513616, 7.0113173662551445, 7.005279243956478, 0.44691717856763963, 1.1329200674839075
0.0014, 0.41352548084295443, 7.012430900205769, 7.005203452902314, 0.4812954230728427, 1.1627461367854348
0.0015, 0.43683697434403396, 7.0135379886831295, 7.005246183268893, 0.5156736675780457, 1.1633809435450597
0.0016, 0.4601530757583941, 7.015434038065835, 7.005039685174072, 0.5500519120832488, 1.1525305137607316
0.0017, 0.48032796703150243, 7.015047926954732, 7.00506758720398, 0.5844301565884519, 1.266386858479359
0.0018, 0.4927284661748218, 7.0158455349794115, 7.005091616156901, 0.6188084010936549, 1.2743627250714207
0.0019, 0.5273358095294906, 7.021817633744857, 7.004898057612709, 0.653186645598858, 1.1686376547033235
0.002, 0.5747400650413109, 7.032464593621394, 7.00424157446572, 0.687564890104061, 1.0266635170554492
0.0021, 0.6232186343628354, 7.043004382716048, 7.003734649532921, 0.721943134609264, 0.8645304621132077
0.0022, 0.7009351715879673, 7.0691506430041215, 7.002437730791396, 0.756321379114467, 0.5409483876540483
0.0023, 0.7892383433573877, 7.093785704732513, 7.000911999881098, 0.79069962361967, 0.12055136366683301
0.0024, 0.8231738802700461, 7.111624459876549, 6.999821179907791, 0.8250778681248729, 0.10257921144528338
0.0025, 0.8566733106759867, 7.137093096707815, 6.99764285921939, 0.8594561126300759, 0.08863214384289089
0.0026, 0.8894825080756528, 7.178127355967076, 6.993846497171751, 0.8938343571352789, 0.07808535766545598
0.0027, 0.9208665410779086, 7.242063477366253, 6.986719707617308, 0.9282126016404819, 0.07282411240988804
0.0028, 0.9484966712020468, 7.328876244855971, 6.970904221210902, 0.9625908461456849, 0.06774078759295143
0.0029, 0.9675645153111492, 7.422501568930036, 6.935688031312699, 0.9969690906508879, 0.09379416431191857
0.003, 0.5543197005662704, 7.010355210905356, 7.005413949630081, 1.031347335156091, 1.7875101258066275
0.0031, 0.5716526405355986, 7.010128431069961, 7.005230657329196, 1.0657255796612939, 1.766089519798175
0.0032, 0.5842345294254054, 7.0100305967078205, 7.0053564068936645, 1.1001038241664969, 1.8092230408220353
0.0033, 0.5839803427491748, 7.010267011316867, 7.005160693717501, 1.1344820686716999, 1.840006083679569
0.0034, 0.5699394750952667, 7.009934927983535, 7.005422768510955, 1.1688603131769029, 1.9339820675537331
0.0035, 0.566299203128645, 7.010368359053499, 7.005292186595125, 1.2032385576821059, 1.8712596082466526
0.0036, 0.5713664716026473, 7.009945432098764, 7.005401258092504, 1.2376168021873089, 1.9350685234291547
0.0037, 0.5670111198897294, 7.009934480452673, 7.005305918549196, 1.2719950466925118, 1.9500077202591213
0.0038, 0.5563871913259159, 7.010127628600823, 7.0052584678056435, 1.3063732911977146, 2.023500325126358
0.0039, 0.540800256731794, 7.009526599794238, 7.005304716843355, 1.3407515357029176, 2.0266458824569007
