# DryVolFrac, volume fraction, kT/epsilon
0.06437689863913502, 0.3389443713350459, 0.0098522167487684
0.0678103332332226, 0.3570214044729169, 0.0279146141215108
0.0695270505302661, 0.366059921041851, 0.0459770114942528
0.07038540917878786, 0.37057917932631806, 0.0623973727422003
0.07124376782730961, 0.3750984376107851, 0.0755336617405583
0.07296048512435314, 0.38413695417971927, 0.0985221674876848
0.07381884377287488, 0.38865621246418625, 0.111658456486043
0.07467720242139665, 0.39317547074865333, 0.129720853858785
0.07639391971844017, 0.4022139873175875, 0.146141215106732
0.07725227836696193, 0.40673324560205454, 0.164203612479475
0.07896899566400596, 0.4157717621709914, 0.175697865353038
0.07896899566400596, 0.4157717621709914, 0.198686371100164
0.08154407160957124, 0.4293295370243925, 0.220032840722496
0.08154407160957124, 0.4293295370243925, 0.243021346469622
0.08326078890661476, 0.43836805359332665, 0.266009852216749
0.08497750620365829, 0.4474065701622609, 0.279146141215107
0.08583586485218003, 0.45192582844672785, 0.303776683087028
0.08497750620365829, 0.4474065701622609, 0.32512315270936
0.08841094079774531, 0.465483603300129, 0.348111658456486
0.09012765809478934, 0.47452211986906584, 0.372742200328407
0.09098601674331112, 0.47904137815353304, 0.402298850574713
0.09184437539183288, 0.48356063643800007, 0.433497536945813
0.09356109268887637, 0.4925991530069341, 0.458128078817734
0.09441945133739814, 0.49711841129140116, 0.477832512315271
0.09699452728296343, 0.5106761861448024, 0.505747126436782
0.09785288593148517, 0.5151954444292693, 0.532019704433498
0.10042796187705098, 0.5287532192826734, 0.558292282430214
0.10128632052557274, 0.5332724775671405, 0.58128078817734
0.10214467917409449, 0.5377917358516074, 0.607553366174056
0.10471975511965977, 0.5513495107050086, 0.635467980295567
0.10729483106522504, 0.5649072855584099, 0.656814449917898
0.10815318971374681, 0.5694265438428769, 0.67816091954023
0.10986990701079032, 0.578465060411811, 0.701149425287356
0.11158662430783435, 0.5875035769807478, 0.722495894909688
0.11330334160487787, 0.5965420935496819, 0.742200328407225
0.11587841755044316, 0.6100998684030832, 0.763546798029557
0.11759513484748667, 0.6191383849720172, 0.786535303776683
0.1193118521445302, 0.6281769015409515, 0.811165845648604
0.12446200403566127, 0.6552924512477565, 0.835796387520525
0.1278954386297483, 0.6733694843856248, 0.862068965517241
0.13218723187235762, 0.6959657758079628, 0.894909688013136
0.13562066646644463, 0.7140428089458309, 0.919540229885058
0.14162917700609748, 0.7456776169371032, 0.954022988505747
0.14763768754574977, 0.7773124249283725, 0.972085385878489
