DryVolFrac,volume fraction,kT/epsilon
0.0643881742864061, 0.33900373761792807, 0.0131362889983579
0.06784134126321813, 0.3571846617508434, 0.0361247947454844
0.06957356257525994, 0.36630480695874357, 0.0541871921182266
0.0721683709035497, 0.37996647280718915, 0.0771756978653531
0.07218810328627419, 0.3800703638022336, 0.100164203612479
0.07478009270274685, 0.39371718807996214, 0.119868637110017
0.07565959318990219, 0.398347758144835, 0.144499178981938
0.07825862988591865, 0.4120316863493617, 0.172413793103448
0.0782699055331897, 0.41209105263224377, 0.185550082101806
0.08086330440557092, 0.42574529769533087, 0.206896551724138
0.08174280489272624, 0.43037586776020365, 0.231527093596059
0.08261807701215486, 0.4349841754689953, 0.251231527093596
0.08435593614783247, 0.44413400381833795, 0.275862068965517
0.08609802365123626, 0.45330609452375886, 0.305418719211823
0.08784433952236677, 0.462500447585261, 0.339901477832512
0.08786830027281799, 0.4626266009363867, 0.367816091954023
0.09046592751292591, 0.4763031083555549, 0.394088669950739
0.0922023771926939, 0.4854455159195334, 0.417077175697865
0.09393882687246242, 0.49458792348351466, 0.440065681444992
0.09567950491995715, 0.5037525934035744, 0.467980295566502
0.09484369756597803, 0.49935206768487433, 0.494252873563218
0.09829827399869863, 0.5175404126031482, 0.51888341543514
0.09917918394176305, 0.5221784034533824, 0.545155993431856
0.10091845253334869, 0.5313356525880808, 0.571428571428571
0.10265208330129959, 0.5404632185813423, 0.591133004926108
0.10266758731629734, 0.5405448472203055, 0.609195402298851
0.10612639211674467, 0.5587554544946607, 0.638752052545156
0.10786002288469504, 0.5678830204879194, 0.658456486042693
0.10873529500412364, 0.5724913281967109, 0.67816091954023
0.10961056712355226, 0.5770996359055026, 0.697865353037767
0.11220396599593345, 0.5907538809685896, 0.719211822660099
0.11308064757127116, 0.5953696094627426, 0.74055829228243
0.11567263698774329, 0.6090164337404683, 0.760262725779967
0.11740908666751182, 0.6181588413044496, 0.783251231527094
0.12000107608398396, 0.6318056655821755, 0.802955665024631
0.12173611630784338, 0.6409406523607953, 0.824302134646962
0.12518364546101965, 0.6590918933522684, 0.84072249589491
0.12691868568487855, 0.6682268801308855, 0.862068965517241
0.130369033749873, 0.6863929626930813, 0.881773399014778
0.13296243262225418, 0.7000472077561682, 0.90311986863711
0.13727536770349655, 0.7227548109589093, 0.927750410509031
