#Minimum dry volume fraction: 0.01
#Maximum dry volume fraction: 0.04
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Number of particles: 32
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 14.964407707272963
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 0.001
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 50
#Displacement tolerance: 0.0
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.002
#phi0,    phi,    <alpha>,    <alpha_tilde>,    zeta,    lindemannParameter
0.0101, 0.4351337336586363, 3.5051307812499988, 3.505631841113399, 0.43510994801583935, 0.0
0.0102, 0.4394355993847181, 3.505116371527778, 3.5056148533536327, 0.4394179673031249, 0.0
0.0103, 0.44373398222975924, 3.505090052083334, 3.505589001453854, 0.4437259865904104, 0.0
0.0104, 0.4480326743790004, 3.505061545138888, 3.5055644953237164, 0.44803400587769593, 0.0
0.0105, 0.4523555738557726, 3.5051025173611112, 3.5056029244240814, 0.4523420251649814, 0.0
0.0106, 0.45665928111326826, 3.5050908506944447, 3.5055915553700037, 0.4566500444522669, 0.0
0.0107, 0.4609797890495379, 3.5051240972222213, 3.505622988188231, 0.46095806373955245, 0.0
0.0108, 0.46527554957070677, 3.5050895138888887, 3.5055917153026837, 0.465266083026838, 0.0
0.0109, 0.4695873401960022, 3.5051016319444437, 3.505600871655412, 0.46957410231412344, 0.0
0.011, 0.4738954113242587, 3.5051004166666666, 3.5056007096473123, 0.47388212160140897, 0.0
0.0111, 0.47819624022032553, 3.505081666666666, 3.5055829207452844, 0.4781901408886945, 0.0
0.0112, 0.48250828413069086, 3.50509328125, 3.5055925498551694, 0.48249816017598, 0.0
0.0113, 0.48682157812948357, 3.505104461805555, 3.5056049100444753, 0.48680617946326554, 0.0
0.0114, 0.4911237375903314, 3.5050921354166666, 3.5055906454268237, 0.491114198750551, 0.0
0.0115, 0.49542953802313133, 3.5050838715277775, 3.505585232981509, 0.49542221803783654, 0.0
0.0116, 0.4997421234351495, 3.5050963368055554, 3.5055957779736335, 0.49973023732512206, 0.0
0.0117, 0.5040523100028328, 3.505099340277777, 3.5056005220560293, 0.5040382566124075, 0.0
0.0118, 0.5083356963146533, 3.505043611111112, 3.505543656133359, 0.5083462758996931, 0.0
0.0119, 0.5126697337040347, 3.5051011979166655, 3.5056032248534796, 0.5126542951869786, 0.0
0.012, 0.5169599140025097, 3.505060694444445, 3.5055626095910535, 0.5169623144742641, 0.0
0.0121, 0.521270266640387, 3.505065937499999, 3.505567819342149, 0.5212703337615496, 0.0
0.0122, 0.5256002807749706, 3.5051170486111127, 3.505616707994376, 0.5255783530488352, 0.0
0.0123, 0.5298979090039716, 3.5050934375, 3.505593446374591, 0.5298863723361207, 0.0
0.0124, 0.5342028668151356, 3.5050859201388884, 3.505586545779766, 0.5341943916234062, 0.0
0.0125, 0.5385166221706018, 3.5050989409722213, 3.505598778832479, 0.5385024109106916, 0.0
0.0126, 0.5428059677101903, 3.5050580034722225, 3.5055583387668094, 0.5428104301979771, 0.0
0.0127, 0.5471297264520184, 3.505092291666666, 3.505592003482086, 0.5471184494852627, 0.0
0.0128, 0.5514348348122905, 3.5050843750000005, 3.5055857012860354, 0.5514264687725482, 0.0
0.0129, 0.5557420734662455, 3.505083975694444, 3.50558394230955, 0.5557344880598337, 0.0
0.013, 0.560045742182492, 3.5050756944444443, 3.5055746431563204, 0.5600425073471192, 0.0
0.0131, 0.5643709444956948, 3.505109340277778, 3.505610303083168, 0.5643505266344048, 0.0
0.0132, 0.5686596247245401, 3.505072968749999, 3.505570244785239, 0.5686585459216903, 0.0
0.0133, 0.5729748051016978, 3.5050860590277773, 3.505584801420692, 0.5729665652089758, 0.0
0.0134, 0.577292157588781, 3.505102604166667, 3.505603617855619, 0.5772745844962612, 0.0
0.0135, 0.5815938716422085, 3.505087986111111, 3.505590585333757, 0.5815826037835468, 0.0
0.0136, 0.5859156073906945, 3.50511765625, 3.505617787707623, 0.5858906230708323, 0.0
0.0137, 0.5902152363856243, 3.505102065972221, 3.5056008510088272, 0.5901986423581178, 0.0
0.0138, 0.5945165565686207, 3.5050879861111115, 3.505587426540656, 0.5945066616454033, 0.0
0.0139, 0.5988165185065979, 3.505071475694444, 3.505571604524123, 0.5988146809326889, 0.0
0.014, 0.6031270219481993, 3.505075260416666, 3.5055763819145853, 0.6031227002199744, 0.0
0.0141, 0.607441685578832, 3.5050896875, 3.505589058873308, 0.6074307195072599, 0.0
0.0142, 0.6117412046014057, 3.5050736458333325, 3.5055726975657713, 0.6117387387945453, 0.0
0.0143, 0.6160687363856194, 3.505110711805557, 3.5056096818178766, 0.6160467580818308, 0.0
0.0144, 0.6203720921413026, 3.5050992013888895, 3.505600607341733, 0.6203547773691164, 0.0
0.0145, 0.6246577259020204, 3.5050597569444433, 3.505558457142878, 0.6246627966564019, 0.0
0.0146, 0.6289915784891126, 3.5051082291666655, 3.5056065512107013, 0.6289708159436874, 0.0
0.0147, 0.6332877733882883, 3.5050832986111105, 3.5055845059820756, 0.633278835230973, 0.0
0.0148, 0.6375963043631153, 3.5050851041666675, 3.505585305380153, 0.6375868545182585, 0.0
0.0149, 0.6419153199084584, 3.505102291666667, 3.5056052113292773, 0.641894873805544, 0.0
0.015, 0.6462122736308219, 3.505085659722223, 3.505584915303846, 0.6462028930928295, 0.0
0.0151, 0.6505076061354337, 3.505062725694444, 3.505562014343581, 0.6505109123801149, 0.0
0.0152, 0.6548120337064262, 3.5050573090277775, 3.50555565763924, 0.6548189316674005, 0.0
0.0153, 0.6591318807891526, 3.505076475694445, 3.5055767426206264, 0.659126950954686, 0.0
0.0154, 0.6634291308107498, 3.5050562673611103, 3.505557739401962, 0.6634349702419715, 0.0
0.0155, 0.6677501592901515, 3.5050797048611106, 3.505580530368578, 0.667742989529257, 0.0
0.0156, 0.6720871805392058, 3.5051307118055552, 3.505630861801613, 0.6720510088165426, 0.0
0.0157, 0.6763838630857465, 3.5051082986111104, 3.5056109056328366, 0.6763590281038281, 0.0
0.0158, 0.6806876022148376, 3.505102812499999, 3.5056033518400045, 0.6806670473911136, 0.0
0.0159, 0.6849784491399987, 3.5050754687500008, 3.5055737445809863, 0.6849750666783991, 0.0
0.016, 0.6893095795607604, 3.5051133333333326, 3.505612969447274, 0.6892830859656847, 0.0
0.0161, 0.6936009846789033, 3.505086197916666, 3.505584597975695, 0.6935911052529702, 0.0
0.0162, 0.6978944045389649, 3.505060711805556, 3.5055600649322645, 0.6978991245402557, 0.0
0.0163, 0.7022255661794403, 3.505098680555555, 3.5055985816517703, 0.7022071438275412, 0.0
0.0164, 0.7065400890211754, 3.5051108854166655, 3.5056091857170637, 0.7065151631148268, 0.0
0.0165, 0.7108314901162296, 3.5050813020833327, 3.5055815946754216, 0.7108231824021123, 0.0
0.0166, 0.7151459089242682, 3.50509220486111, 3.5055920003147967, 0.7151312016893977, 0.0
0.0167, 0.719453491175603, 3.505090590277778, 3.505591169545373, 0.7194392209766832, 0.0
0.0168, 0.7237911692743507, 3.5051399305555555, 3.505638850424548, 0.7237472402639687, 0.0
0.0169, 0.7280637342329728, 3.5050822916666653, 3.505581513914759, 0.7280552595512543, 0.0
0.017, 0.7323719708662384, 3.5050792534722217, 3.5055818095873494, 0.7323632788385398, 0.0
0.0171, 0.7366980803132516, 3.5051112673611113, 3.5056104317471486, 0.7366712981258253, 0.0
0.0172, 0.7409883053513505, 3.50509217013889, 3.5055822250821667, 0.7409793174131108, 0.0
0.0173, 0.7452783659112017, 3.5051116493055554, 3.5055538140843447, 0.7452873367003964, 0.0
0.0174, 0.7495209748281785, 3.505137621527778, 3.5054518618415917, 0.7495953559876819, 0.0
0.0175, 0.7537388528626974, 3.505200989583334, 3.505313054945014, 0.7539033752749673, 0.0
0.0176, 0.7579681567818405, 3.5053650694444447, 3.505192756367558, 0.7582113945622528, 0.0
0.0177, 0.7621669261733218, 3.5055580034722227, 3.5050279707274368, 0.7625194138495384, 0.0
0.0178, 0.766347900243969, 3.5058055902777783, 3.5048372626111175, 0.7668274331368239, 0.0
0.0179, 0.7705432938324545, 3.5061588368055556, 3.5046709554979967, 0.7711354524241094, 0.0
0.018, 0.7746449348989488, 3.5064400694444444, 3.5043638237480876, 0.7754434717113949, 0.0
0.0181, 0.7787867916068535, 3.506867482638889, 3.5041217997406, 0.7797514909986805, 0.0
0.0182, 0.7829163450519125, 3.5073614583333343, 3.5038633173461644, 0.784059510285966, 0.0
0.0183, 0.7870135888374422, 3.5078878645833336, 3.5035600799267237, 0.7883675295732515, 0.0
0.0184, 0.7911042039602427, 3.5084897569444435, 3.503250521976805, 0.7926755488605369, 0.0
0.0185, 0.7951824198811629, 3.509158333333333, 3.5029247447605782, 0.7969835681478225, 0.0
0.0186, 0.7992450546336378, 3.5098855381944434, 3.5025813980411913, 0.801291587435108, 0.0
0.0187, 0.803301864831336, 3.510697395833333, 3.502231271490384, 0.8055996067223935, 0.0
0.0188, 0.8073318539914227, 3.511551493055555, 3.5018481181402943, 0.809907626009679, 0.0
0.0189, 0.8113280940642725, 3.512442690972222, 3.501417320019074, 0.8142156452969646, 0.0
0.019, 0.8153200141215611, 3.5134154340277783, 3.5009876878980055, 0.8185236645842501, 0.0
0.0191, 0.8193218967975692, 3.5145053472222205, 3.500580530454218, 0.8228316838715356, 0.0
0.0192, 0.8232668228076763, 3.5155891145833342, 3.500090014196339, 0.8271397031588211, 0.0
0.0193, 0.8271741170288328, 3.5167044270833334, 3.499547838037933, 0.8314477224461065, 0.0
0.0194, 0.8310981045558063, 3.5179503645833328, 3.4990425389903095, 0.8357557417333921, 0.0
0.0195, 0.8349989502748316, 3.5192567013888896, 3.498505606185786, 0.8400637610206776, 0.0
0.0196, 0.8388652982442069, 3.5206034548611105, 3.497931315254729, 0.8443717803079631, 0.0
0.0197, 0.8427154712271139, 3.5220291666666665, 3.4973351189768893, 0.8486797995952486, 0.0
0.0198, 0.8465317389128628, 3.5234976388888897, 3.49669873138189, 0.8529878188825342, 0.0
0.0199, 0.8503012849264039, 3.5249902777777784, 3.496010193313295, 0.8572958381698197, 0.0
0.02, 0.854104629684174, 3.526659114583334, 3.4953640992479174, 0.8616038574571052, 0.0
0.0201, 0.8578547016980556, 3.528342760416666, 3.4946614144660977, 0.8659118767443906, 0.0
0.0202, 0.8615397959026226, 3.530015763888889, 3.4938783127749597, 0.8702198960316762, 0.0
0.0203, 0.8652273735342745, 3.531817204861111, 3.49309404154357, 0.8745279153189617, 0.0
0.0204, 0.8689059897965634, 3.533725902777778, 3.4923168512749276, 0.8788359346062472, 0.0
0.0205, 0.8725297438445521, 3.5356464930555545, 3.49146764686617, 0.8831439538935327, 0.0
