phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
1.7698492462e-03, 6.0792524247e-01, -1.1554080444e-03, 1.1861329254e+01, 1.4595890917e+01
1.7809045226e-03, 6.1171371055e-01, -1.1235852735e-03, 1.2254860370e+01, 1.4897597770e+01
1.7919597990e-03, 6.1550217863e-01, -1.0907142973e-03, 1.2655663297e+01, 1.5205259202e+01
1.8030150754e-03, 6.1928998345e-01, -1.0567758103e-03, 1.3063823944e+01, 1.5518940501e+01
1.8140703518e-03, 6.2307601958e-01, -1.0217502803e-03, 1.3479428220e+01, 1.5838706934e+01
1.8251256281e-03, 6.2686205571e-01, -9.8561794817e-04, 1.3902562034e+01, 1.6164623748e+01
1.8361809045e-03, 6.3064809185e-01, -9.4835882832e-04, 1.4333311294e+01, 1.6496756171e+01
1.8472361809e-03, 6.3443412798e-01, -9.0995270825e-04, 1.4771761909e+01, 1.6835169410e+01
1.8582914573e-03, 6.3822016411e-01, -8.7037914876e-04, 1.5217999788e+01, 1.7179928655e+01
1.8693467337e-03, 6.4200620024e-01, -8.2961748395e-04, 1.5672110839e+01, 1.7531099077e+01
1.8804020101e-03, 6.4579223638e-01, -7.8764682114e-04, 1.6134180972e+01, 1.7888745832e+01
1.8914572864e-03, 6.4957827251e-01, -7.4444604094e-04, 1.6604296095e+01, 1.8252934056e+01
1.9025125628e-03, 6.5336226717e-01, -6.9999379722e-04, 1.7082542116e+01, 1.8623728870e+01
1.9135678392e-03, 6.5713932084e-01, -6.5426851711e-04, 1.7569004945e+01, 1.9001195380e+01
1.9246231156e-03, 6.6091637451e-01, -6.0724840102e-04, 1.8063770491e+01, 1.9385398676e+01
1.9356783920e-03, 6.6469342818e-01, -5.5891142261e-04, 1.8566924662e+01, 1.9776403830e+01
1.9467336683e-03, 6.6847048185e-01, -5.0923532881e-04, 1.9078553366e+01, 2.0174275905e+01
1.9577889447e-03, 6.7224753552e-01, -4.5819763981e-04, 1.9598742513e+01, 2.0579079945e+01
1.9688442211e-03, 6.7602458919e-01, -4.0577564908e-04, 2.0127578012e+01, 2.0990880982e+01
1.9798994975e-03, 6.7980164286e-01, -3.5194642333e-04, 2.0665145770e+01, 2.1409744035e+01
1.9909547739e-03, 6.8357869653e-01, -2.9668680257e-04, 2.1211531698e+01, 2.1835734110e+01
2.0020100503e-03, 6.8736025375e-01, -2.3997340005e-04, 2.1766821703e+01, 2.2268916199e+01
2.0130653266e-03, 6.9116207694e-01, -1.8178260228e-04, 2.2331101694e+01, 2.2709355283e+01
2.0241206030e-03, 6.9496390013e-01, -1.2209056905e-04, 2.2904457581e+01, 2.3157116330e+01
2.0351758794e-03, 6.9876572332e-01, -6.0873233414e-05, 2.3486975271e+01, 2.3612264297e+01
2.0462311558e-03, 7.0256754652e-01, 1.8936983124e-06, 2.4078740674e+01, 2.4074864130e+01
2.0572864322e-03, 7.0636936971e-01, 6.6234746549e-05, 2.4679839699e+01, 2.4544980764e+01
2.0683417085e-03, 7.1017119290e-01, 1.3217465845e-04, 2.5290358254e+01, 2.5022679121e+01
2.0793969849e-03, 7.1397301609e-01, 1.9973840791e-04, 2.5910382247e+01, 2.5508024115e+01
2.0904522613e-03, 7.1777483929e-01, 2.6895119554e-04, 2.6539997588e+01, 2.6001080650e+01
2.1015075377e-03, 7.2157386411e-01, 3.3983844871e-04, 2.7179290186e+01, 2.6501913617e+01
2.1125628141e-03, 7.2535516595e-01, 4.1242582151e-04, 2.7828345949e+01, 2.7010587902e+01
2.1236180905e-03, 7.2913646779e-01, 4.8673919477e-04, 2.8487250786e+01, 2.7527168377e+01
2.1346733668e-03, 7.3291776963e-01, 5.6280467606e-04, 2.9156090605e+01, 2.8051719908e+01
2.1457286432e-03, 7.3669907147e-01, 6.4064859966e-04, 2.9834951316e+01, 2.8584307351e+01
