Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 31.97556621807948
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	phi, 	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter, 		kT/E
0.0016, 0.5397387132426097-334.58222886586543, -325.44162839957926, 4.693571463886552, -333.34208862004056, 7.900460220461323, -0.009457865446185878, 1.5096598681190716, -0.0019651006313014334, 5.658052643584414E-4, 7.041629999999995, 0.5500519120832487, 0.0, 0.12068083008940916, 0.22789350277435047, 0.005714316861386013
0.0017, 0.5825685576861194-398.286458695511, -353.47556275239725, 5.998550733727026, -360.36385660740984, 6.888293855012602, -0.018843331932630925, 1.519147724416957, -0.0023241001015535797, 8.828130343812782E-4, 7.046902187499998, 0.5844301565884518, 0.0, 0.08075059300018865, 0.28428538986794866, 0.005714384385003068
0.0018, 0.6086775867411578-476.1440375775579, -421.1134002548084, 6.481652468806851, -430.2641744119707, 9.150774157162296, -0.028474643046572854, 1.528828042219449, -0.0021612242704680887, 9.985574262929091E-4, 7.051759062499998, 0.6188084010936549, 0.0, 0.13030923761517246, 0.22809424451360075, 0.005714336296947795
0.0019, 0.6499217279846065-575.279952013668, -483.47835463671936, 7.381936533625105, -502.01845715155554, 18.540102514836175, -0.04157753509389138, 1.5420237353309498, -0.0020279062896324802, 0.0014306811415939205, 7.065231250000004, 0.6531866455988579, 0.0, 0.19117233778899936, 0.19174163895400764, 0.005719254359806564
0.002, 0.6861680005345459-647.4744749656921, -540.2360213501387, 8.922072356676107, -551.4227532946652, 11.186731944526539, -0.05594223745396594, 1.5565443921991797, -0.002381308850849163, 0.0020343801293975293, 7.067514062500003, 0.6875648901040609, 0.0, 0.13382658189125982, 0.23312198526066247, 0.005714598567290723
0.0021, 0.7201486830437518-836.400409595934, -712.369695276414, 9.08941479599947, -713.7319751640186, 1.3622798876046707, -0.07249216405887725, 1.5731084619125995, -0.0017920724240546911, 0.002168246260338296, 7.080261875, 0.7219431346092638, 7.147358776110854E-6, 0.35345660363046294, 0.14579729797846575, 0.005714301917703317
0.0022, 0.7551139512340705-987.9638924236003, -817.3041931175153, 9.636376989570504, -832.2087266109069, 14.904533493391513, -0.0958774153313496, 1.5965313143289734, -0.0015699971741409855, 0.0023059238466353583, 7.085862500000003, 0.7563213791144668, 0.006387131155867657, 0.5282422833952288, 0.12112545086699401, 0.005714552679778062
0.0023, 0.7893133759364139-929.6488536197197, -722.2010450642714, 11.213657192738607, -761.241420376083, 39.04037531181161, -0.11966396518153491, 1.6204570940925491, -0.001367071192741352, 0.003089514754927103, 7.092423749999998, 0.7906996236196698, 0.03446878853098514, 0.7442435232975165, 0.10356893423034175, 0.005714288851022982
0.0024, 0.8232753533395707-781.8223128597056, -548.9796716732968, 13.455228248260486, -617.243708069625, 68.26403639632814, -0.14026487844933727, 1.6412851017275483, -0.0011882139898870552, 0.0044386179168968256, 7.109118437499994, 0.8250778681248728, 0.09274265729392904, 0.9899615582925432, 0.09108335287544857, 0.005714407522003164
0.0025, 0.8567069065854159-676.714837907602, -423.3210935602542, 16.402976128278603, -574.5085417573825, 151.18744819712833, -0.15699323089488304, 1.6583011801401315, -8.947663466706729E-4, 0.006718767229699374, 7.133312187500003, 0.8594561126300758, 0.18883979917148283, 1.4688454921762748, 0.07580008733060756, 0.005715203888233652
