Starting dry volume fraction: 0.0015
Maximum dry volume fraction: 0.0032
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.093970786780424
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 4.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00151, 0.3813899300132314, -4.351906691416898, 5.453301049245008, 5.7088791728184995, 1.9489248203094773, 7.657803993127977, 0.2555781235734972, 4.411990572517691, 1.0413104767273162, -0.0036267719108100246, -3.1326082937643894E-4, 1.5036718324954241, -0.003541435580508204, 2.2792449907461853E-4, 6.620617777777776, 0.4372377427627026, 0.0, 0.004641589799202207, 1.139821114460101, 0.004285790729508575
0.00152, 0.3843498871092406, -14.948444788441522, 3.130145828686249, -4.927867414316746, 1.8793810959584087, -3.0484863183583375, -8.058013243003058, 4.760360688561348, -1.6302148598750985, -0.00363619968153702, -3.0939031110530785E-4, 1.5036781584329557, -0.0035516935668869188, 2.2488419645520658E-4, 6.620320833333339, 0.44013335695318406, 0.0, 0.004756368700243398, 1.1284644105295245, 0.004285770284793688
0.00153, 0.38734638767104956, -7.783096653572467, 5.975349742157373, 2.341580176992424, 1.8356342571088051, 4.177214434101229, -3.63376956516495, 4.540395678939057, 1.434954063218316, -0.003698145477198527, -2.946027064880151E-4, 1.5037377552210527, -0.003626642569772538, 2.2309979906202595E-4, 6.620614897119342, 0.4430289711436656, 0.0, 0.004325017496589763, 1.1859898431414664, 0.0042857199690421914
0.00154, 0.3933179417992941, -15.810553511666233, -13.57946719641048, -5.819034328717459, 1.9594596137324367, -3.859574714985022, 7.760432867693014, -13.94702094099699, 0.3675537445865115, -0.0036733612306863615, -2.91562534399506E-4, 1.5037201595446905, -0.0036164506309528327, 2.346519346659773E-4, 6.620862201646088, 0.44592458533414703, 0.0, 0.00460164428024818, 1.152289167127314, 0.004285732302092426
0.00155, 0.38446991355680726, -15.899936272979248, -1.617168857636783, -5.70189329169047, 1.8525596534217175, -3.8493336382687526, -4.084724434053732, -0.10527972464054226, -1.5118891329962407, -0.0037736353095305453, -3.649813526337634E-4, 1.503814757026784, -0.003636556123540829, 2.279021666440471E-4, 6.620748106995885, 0.44882019952462854, 0.0, 0.004629811079713951, 1.151259848072144, 0.004285770545353535
0.00156, 0.38566824410963807, 0.002085788586127822, 11.936210113544693, 10.06935390858657, 1.8825384296297132, 11.951892338216284, -1.866856204958185, 10.673433635680775, 1.2627764778639188, -0.0037492778342670847, -2.967746448652005E-4, 1.5037918666336956, -0.0036828770583181513, 2.3037386891626684E-4, 6.619989547325101, 0.45171581371511, 0.0, 0.004442305918771491, 1.177827604302162, 0.004285720833978487
0.00157, 0.39375652254416993, -16.076015809177107, -19.207225473589215, -6.007910774001389, 1.9428791166186237, -4.065031657382765, 13.199314699587902, -20.110333210298904, 0.9031077367096907, -0.0037736253506236335, -3.1782426408660396E-4, 1.5038203259239202, -0.0036926860778751956, 2.3688499133816572E-4, 6.620822685185184, 0.4546114279055915, 0.0, 0.004553551425842979, 1.1658316868971916, 0.0042857224522506
0.00158, 0.39746810840657293, -19.500134410830007, -28.099958726114565, -9.356806193498215, 1.9334897711336247, -7.423316422364591, 18.74315253261638, -30.556267110462706, 2.456308384348142, -0.0038260351557047045, -3.9684312973448246E-4, 1.5038719922971713, -0.0036668955599015052, 2.3770353393128335E-4, 6.620322150205765, 0.45750704209607296, 0.0, 0.004972065916613753, 1.118051179195448, 0.004285732491910985
0.00159, 0.39763915894560853, -5.246878597448963, 20.37461011716187, 4.939868316665805, 2.103086523322088, 7.042954839987893, -15.434741800496013, 20.410964683462925, -0.036354566301057815, -0.0038667316340968323, -4.6874302343473005E-4, 1.503921990416777, -0.0036496105161268814, 2.51621905464779E-4, 6.620715761316874, 0.46040265628655447, 0.0, 0.005341888884456125, 1.0809261998285176, 0.004285815769280954
0.0016, 0.3968883215763552, -3.9142729378129113, 28.804561191659488, 6.167849659270349, 1.933524697288511, 8.10137435655886, -22.636711532389178, 32.14007846281162, -3.335517271152134, -0.0038510871556423167, -3.0528409071462197E-4, 1.5038982121774211, -0.0037864980740057058, 2.406950090780114E-4, 6.621027037037037, 0.4632982704770359, 0.0, 0.004370290214417524, 1.197556325786107, 0.004285898840385668
