Starting dry volume fraction: 0.0022
Maximum dry volume fraction: 0.0028
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 54.465075645095865
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00237, 0.4968877733099119, -3.9998128215743995, 25.33672019999728, 5.571574689832664, 3.0358982497383673, 22.207472262869608, 3.1292479371276736, -0.005415451071317508, 1.505556562352764, -0.005356103797174812, 4.507076120554998E-4, 6.336770977366246, 0.6007701786709367, 0.0, 0.005887622667311654, 1.176135137331, 0.0034285936174337137
0.00238, 0.4842072946002659, -20.94556226121089, -6.481197109513769, -11.294102230622432, 2.7734442022097276, -6.485787478201254, 0.004590368687485238, -0.005483796931761571, 1.5056073360143298, -0.005503473467723993, 4.2635981451532277E-4, 6.334747006172845, 0.6033050739395904, 0.0, 0.005078730460840446, 1.2681165307920588, 0.003428600895845688
0.00239, 0.48555539542677134, -13.51583367749642, 6.808325315314567, -3.8492647874299135, 3.002940963942137, 9.837122511530358, -3.0287971962157916, -0.005515458764408831, 1.5056562756941922, -0.005425331402593876, 4.54312385035679E-4, 6.3360082510288125, 0.6058399692082442, 0.0, 0.005722823125513104, 1.1962957662471292, 0.0034285722250324015
0.0024, 0.5010364817609054, 6.256919133168572, 6.828635600370184, 15.940582277481262, 2.5752830247520686, 6.991802805229053, -0.1631672048588694, -0.005548330283955015, 1.5056594689531348, -0.005599759974896177, 4.1570015043393757E-4, 6.335331965020578, 0.6083748644768979, 0.0, 0.0047886197633553755, 1.3096130606059868, 0.003428624116311747
0.00241, 0.5066209160029661, -2.672332587716356, -37.41601740870342, 6.862091173526625, 2.961165313970227, -50.16983088093783, 12.75381347223441, -0.00548558417615173, 1.50562431472907, -0.005428489728405784, 4.569974869398485E-4, 6.338006635802474, 0.6109097597455517, 0.0, 0.006012343120087111, 1.1703836044517384, 0.003428616264180225
0.00242, 0.5060536048931399, -15.893923400258643, -31.92581922698575, -6.268205136578985, 3.230542412243972, -40.99231287442217, 9.066493647436415, -0.005561089732182633, 1.5057181949286567, -0.005433397286637204, 4.8038763442034203E-4, 6.336003539094648, 0.6134446550142054, 0.0, 0.006136827900343444, 1.1600523201989774, 0.003428576745119922
0.00243, 0.4906782055789957, -7.8909149989925504, -22.970574226342592, 1.6958503230653739, 3.4118331122255956, -27.897460825702495, 4.926886599359904, -0.0055614720703799836, 1.5057346706081687, -0.005350887754899728, 5.042569510938828E-4, 6.334860596707814, 0.6159795502828592, 0.0, 0.006931180719075029, 1.0930572447902918, 0.0034286470067393876
0.00244, 0.5083954215472807, -9.510927048262797, 33.0495870663055, 0.10057151652598459, 3.3876201249631985, 40.40062579327647, -7.351038726970969, -0.005598766076010862, 1.5057698342040347, -0.005359664013209346, 5.080620480825486E-4, 6.336716224279829, 0.6185144455515129, 0.0, 0.007037855804756564, 1.086227650165357, 0.0034286018064840526
0.00245, 0.5078576095945865, -15.735599424828504, 52.368562001340365, -6.149453190719929, 3.0846317881607703, 67.4848203601121, -15.116258358771734, -0.005606883401973507, 1.5057556070327767, -0.005552139387981924, 4.733227696032314E-4, 6.336992633744859, 0.6210493408201667, 0.0, 0.0057841058798073115, 1.1998169826607357, 0.003428571447851447
0.00246, 0.5229108655391349, -11.202961370563512, -42.844337037054785, -1.541673367888228, 2.702114642134135, -61.72113204286396, 18.87679500580917, -0.005673898028940126, 1.5057975193379485, -0.005684390541382305, 4.397510902606673E-4, 6.3396515020576185, 0.6235842360888204, 0.0, 0.0051014398838678055, 1.2793118113686228, 0.0034285970133172013
