Starting dry volume fraction: 0.0028
Maximum dry volume fraction: 0.0039
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 48.769606624490535
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00337, 0.8516019483601919, 154.26266919095656, 128.28462321313324, 143.98108072728124, 23.17626437195028, 167.15734509923152, 15.696457514147786, 15.821137234417895, 112.46348597871535, 0.008271828243628397, 0.0012574465777982421, 1.4938849706666621, -4.5807613260282626E-4, 0.007472457798432982, 6.416947170781887, 0.854259705536311, 0.2511867156349259, 2.339069435419193, 0.0663538566819317, 0.0034286742623437657
0.00338, 0.85403756536758, 192.34470748473052, 171.5694214718337, 181.61740357258915, 23.596178634406208, 205.21358220699537, 10.047982100755412, 34.06460819630181, 137.5048132755319, 0.008656028459388293, 0.0013122316816968854, 1.493554760108471, -4.1924927136219027E-4, 0.007763046049053597, 6.4190265329218095, 0.8567946008049647, 0.26392420353701734, 2.418739280237425, 0.06531638372295342, 0.003428956955331242
0.00339, 0.8564890318264797, 207.84364834116428, 189.56195882024383, 196.48794118119952, 24.121579957480687, 220.6095211386802, 6.925982360955539, 35.5560201235584, 154.00593869668543, 0.009190206572841184, 0.0014278577856732281, 1.49309658158328, -4.1258131693910585E-4, 0.008174930104107062, 6.421209413580242, 0.8593294960736185, 0.27806967903260493, 2.434651070746829, 0.06516673503561365, 0.0034288988368105216
0.0034, 0.8589384796015681, 211.4920210379458, 192.12391665896655, 199.6052092173984, 24.593860409675713, 224.1990696270741, 7.481292558431868, 30.667151326799935, 161.4567653321666, 0.00964840878010079, 0.0014904231122155472, 1.4927022861475463, -3.8861424957132727E-4, 0.00854659991745657, 6.4233411008230465, 0.8618643913422722, 0.29214191732486167, 2.4859699863043683, 0.06455394566181943, 0.0034286015434914067
0.00341, 0.8613406738069227, 222.01356023865029, 199.5085681308144, 209.48403305594073, 25.13412681072095, 234.61815986666167, 9.975464925126388, 28.4861197170884, 171.022448413726, 0.01020000659002171, 0.0015830498421771882, 1.4922308819771664, -3.791467423713235E-4, 0.008996103490215845, 6.4255195987654306, 0.864399286610926, 0.30730223729600964, 2.507822888218352, 0.06433502231595874, 0.0034285765931112624
0.00342, 0.8637777993802337, 235.14305163728773, 210.84079086995155, 222.02742842248242, 25.639461431637486, 247.66688985411992, 11.186637552530804, 34.49067492319423, 176.3501159467573, 0.010708445446463134, 0.0016357190648975018, 1.4917905704312995, -3.432086475564792E-4, 0.009415935029122111, 6.428011162551439, 0.8669341818795797, 0.32239002706386544, 2.5855334023072336, 0.06342269894834003, 0.0034286100202175693
0.00343, 0.8661886012420182, 230.66830869377597, 205.5045631036375, 216.8407434675995, 26.16613523860058, 243.0068787062001, 11.336180363962093, 32.98210635012801, 172.5224567535095, 0.011322731960075324, 0.0017572962928819014, 1.4912550044965025, -3.277415505938079E-4, 0.00989317721778723, 6.4306601954732425, 0.8694690771482335, 0.3382616411226713, 2.6207184310028326, 0.0630568520106363, 0.0034289886282714314
0.00344, 0.8686181381032021, 245.3152021972007, 220.3291481209852, 230.93473778775024, 26.673677452648857, 257.6084152403991, 10.605589666765143, 29.80492053154887, 190.52422758943632, 0.011809805492760984, 0.0018034436482881374, 1.4908356375315623, -2.909934027848303E-4, 0.010297355247257677, 6.433193930041151, 0.8720039724168872, 0.35389317900125, 2.702895264338794, 0.06215116866184767, 0.003428583900464552
0.00345, 0.8710032737361388, 280.3910457913042, 258.3233725517811, 265.2215232493537, 27.2570233902266, 292.4785466395803, 6.898150697572563, 37.70639107811156, 220.61698147366957, 0.012494025771433492, 0.0019100894433036625, 1.4902422719752682, -2.78795412106922E-4, 0.010862731740236753, 6.435663713991768, 0.874538867685541, 0.37131903210034933, 2.7318040271862483, 0.06188128949597852, 0.0034285748076308474
0.00346, 0.8734634025602868, 272.3832093815748, 245.04706573869373, 256.46511155373213, 27.81955450068765, 284.2846660544198, 11.418045815038264, 32.95349469298474, 212.09357104570898, 0.013148574120852746, 0.0019945513863552865, 1.4896735811511879, -2.5967336462106227E-4, 0.011413696099118522, 6.438598384773669, 0.8770737629541947, 0.38876714685497166, 2.7764687948318847, 0.061440781116013796, 0.0034286206912349823
0.00347, 0.8758252957793378, 280.64764014284697, 246.10433605871026, 263.99561796493316, 28.37641373610965, 292.37203170104283, 17.891281906223018, 27.465227892359618, 218.63910816635064, 0.013794559797082863, 0.0020789599892449538, 1.4891113553165645, -2.2577926125716616E-4, 0.011941379069095075, 6.441390987654324, 0.8796086582228485, 0.40647471329270024, 2.855660532295944, 0.06064117798880014, 0.0034286363844459413
0.00348, 0.8782591224751568, 329.0751563292473, 304.73288822375093, 311.635624350169, 28.947728133092806, 340.5833524832618, 6.902736126417902, 49.593220449396476, 255.13966777435448, 0.014488567896727032, 0.002137670668145898, 1.488500885976849, -1.7555010740281403E-4, 0.012526447335983949, 6.4443918827160545, 0.8821435534915022, 0.42485866824086455, 2.9757477157670635, 0.059461991981963044, 0.0034285909516387912
0.00349, 0.8805936902714585, 347.72243894843643, 325.89759774794203, 329.28002631693334, 29.586943091262565, 358.8669694081959, 3.382428568991054, 50.035781957297516, 275.8618157906445, 0.015365777930439, 0.002328035638206013, 1.4877333346038495, -1.9383003265904838E-4, 0.013231572324892036, 6.447154732510285, 0.884678448760156, 0.4447380130885851, 2.9332806623156005, 0.05994819250277598, 0.0034285740449124156
0.0035, 0.8830220021256274, 341.9490009469855, 311.8884352770383, 322.62213807093946, 30.189610066807973, 352.81174813774743, 10.733702793901116, 35.08124568619548, 276.8071895908428, 0.016148820246205436, 0.0023899151074875044, 1.4870444691446514, -1.6051097443663522E-4, 0.013919416113154566, 6.450474413580248, 0.8872133440288097, 0.46454995313119435, 3.014347738498836, 0.059193011110964575, 0.0034286826713519607
0.00351, 0.8853907874302892, 368.72652311129303, 340.12877669043223, 348.44076809622595, 30.813893724832983, 379.25466182105896, 8.311991405793972, 50.30472922283244, 289.82404746759977, 0.01699846414402044, 0.002509192905786462, 1.4862998644264456, -1.4349758250739822E-4, 0.014632768820741375, 6.453663497942385, 0.8897482392974635, 0.4850287943291527, 3.0568842473300673, 0.05883566082227383, 0.0034286031021834302
0.00352, 0.8877187716069592, 407.6638886349065, 380.4187351677767, 386.35180041661454, 31.45796786668471, 417.80976828329926, 5.9330652488379565, 55.037746574879115, 325.38098859289755, 0.017909359710272944, 0.002644399892463464, 1.4854955503390632, -1.2164178890432854E-4, 0.01538660160671381, 6.456856491769542, 0.8922831345661172, 0.5063367614144005, 3.1118168491837266, 0.05836936486522412, 0.0034285729503775028
0.00353, 0.8900975972318526, 405.29518383511873, 372.88004015657856, 382.81465185903267, 32.13603042859598, 414.95068228762864, 9.934611702453983, 42.49318141814405, 330.3868587384345, 0.01894491583390972, 0.00278700378789639, 1.4845824843471593, -1.158604291740845E-4, 0.016273772475187413, 6.460262860082309, 0.894818029834771, 0.5289849032320433, 3.1270225620351804, 0.05828236345703972, 0.003428597893932432
0.00354, 0.892426417274312, 426.7838947796305, 394.93496403277396, 403.30241054090465, 32.77934224888986, 436.0817527897945, 8.367446508130826, 51.36132766702645, 343.5736363657475, 0.019844501667833872, 0.0028630802783085373, 1.483790334737641, -7.486394512648634E-5, 0.01705628533465182, 6.463976851851844, 0.8973529251034247, 0.5509187767250953, 3.23156744308264, 0.05738594914159215, 0.0034289058503412183
0.00355, 0.8947682973046186, 464.46895740272504, 431.4223213779741, 439.71066000239375, 33.46754586183291, 473.17820586422664, 8.288338624420001, 57.739643091213075, 373.682678286761, 0.020982658828495405, 0.0030484116581481874, 1.4827777378782014, -7.633177513126084E-5, 0.01801057894547848, 6.467594588477374, 0.8998878203720785, 0.5748602784730978, 3.228288772657781, 0.05746909485129429, 0.003428709501964584
0.00356, 0.8970791873815602, 494.70396266074835, 464.0494210847212, 468.745020707618, 34.15385846683345, 502.89887917445145, 4.695599622896386, 63.63715962282391, 400.4122614618973, 0.022062177582335352, 0.0031559409168051386, 1.4818162696436503, -3.572008143336222E-5, 0.018941956746963577, 6.471082674897121, 0.9024227156407322, 0.598861986686631, 3.3342880342892167, 0.05660127352138778, 0.003428650403066028
0.00357, 0.8994294323966886, 524.5151608290522, 496.88969651128036, 497.1241146037326, 34.87496563512935, 531.999080238862, 0.23441809245184583, 71.81681130361338, 425.07288520766696, 0.0233446962592336, 0.00336998671884779, 1.4806767587499414, -5.411261302312302E-5, 0.020028822153408933, 6.475084794238688, 0.904957610909386, 0.6245595550469949, 3.2864220319144923, 0.05706530802393901, 0.0034290799970982033
0.00358, 0.9017639561471995, 536.2460320560303, 494.2212992778701, 507.50185982985, 35.57987488194923, 543.0817347117992, 13.280560551980594, 53.30750417383582, 440.9137951040343, 0.024566552999512877, 0.003517720409703692, 1.4795891535118044, -3.490396938213266E-5, 0.021083736559191317, 6.479330751028815, 0.9074925061780397, 0.6501014068414019, 3.336841866177211, 0.05668536617890857, 0.0034286588217410587
0.00359, 0.9040521113976708, 568.3131109932799, 526.2097571341221, 538.0872180502405, 36.32829123324772, 574.4155092834882, 11.87746091611846, 60.36311250537744, 465.8466446287447, 0.025905082460687567, 0.003644163371970478, 1.4783882856578745, 9.102398500886954E-6, 0.022251816690216204, 6.483075689300412, 0.9100274014466935, 0.6772570159675401, 3.4543517152889898, 0.055764690919581146, 0.003428884944382269
0.0036, 0.9063900489524344, 603.5137138088828, 568.6946306423683, 571.77193636733, 37.05335868441439, 608.8252950517444, 3.077305724961033, 75.36635784633576, 493.3282727960326, 0.02728004822466828, 0.0038262347875778323, 1.4771515510565119, 2.1857438844250714E-5, 0.0234319559982462, 6.487706358024688, 0.9125622967153472, 0.7046144088261866, 3.488891965482562, 0.05553944044223876, 0.0034288421527288427
0.00361, 0.9085603669118925, 622.5769924509611, 582.7038549832716, 589.1749896970307, 37.81583394079615, 626.9908236378269, 6.471134713759007, 71.48957578120257, 511.2142792020691, 0.028786648183980502, 0.0040252680837237756, 1.4758061488491443, 2.3916881242664452E-5, 0.02473746321901406, 6.4914675, 0.915097191984001, 0.7331796089758733, 3.4942804891315786, 0.05554793851929837, 0.0034286948511512787
0.00362, 0.9108545220051422, 653.9571209337296, 610.5263664966697, 618.9510605363233, 38.570987297959576, 657.522047834283, 8.424694039654332, 66.10062596080746, 544.4257405358622, 0.030252634398783965, 0.004189873022734919, 1.4744884437499404, 5.2887334654689076E-5, 0.026009874041394355, 6.49610546296296, 0.9176320872526547, 0.7620774220500036, 3.5737512202086883, 0.05497751752643052, 0.0034286528891763245
0.00363, 0.9131988238130072, 694.2838205104856, 650.4291260611452, 657.4627812927545, 39.35697752607261, 696.819758818827, 7.033655231609537, 70.03769309190746, 580.3914329692377, 0.031909063434982926, 0.004364023794356572, 1.4729955947874824, 6.443402747518559E-5, 0.02748060561315117, 6.500949763374484, 0.9201669825213085, 0.7926969597645566, 3.605465762161714, 0.05478554011446293, 0.0034285880322461717
0.00364, 0.9153450889412238, 728.6910702760568, 682.6945219719782, 690.0626046033041, 40.13831834472981, 730.2009229480338, 7.368082631325653, 76.86606740257027, 605.828454569408, 0.033567595457073066, 0.004548322582718194, 1.471500454500198, 8.682557301397516E-5, 0.028932447301340897, 6.505170946502054, 0.9227018777899622, 0.8237061852154569, 3.667958389136551, 0.05436666440611514, 0.0034285955951260357
0.00365, 0.917620158600914, 775.1966453728793, 731.5225245266623, 734.5845374918148, 40.94853828114349, 775.5330757729582, 3.062012965152849, 87.35387293938399, 644.1686515872783, 0.03538830700962367, 0.004756023015272716, 1.4698567513717555, 1.0009109421972497E-4, 0.03053219290013123, 6.510193549382721, 0.925236773058616, 0.8559659587924072, 3.7049801370307045, 0.05414384660622161, 0.003428580066395942
0.00366, 0.9198334856741543, 800.9236858580094, 751.4606513648753, 758.2702574546548, 41.76011045228829, 800.0303679069431, 6.809606089779779, 87.67875711213543, 663.7818942527398, 0.03726888679645353, 0.004991467003097609, 1.4681563075345159, 1.0199405234233049E-4, 0.03217542574101359, 6.51521564814815, 0.9277716683272696, 0.8890251374689785, 3.709567032190255, 0.05415973250087416, 0.0034293279929164693
0.00367, 0.9220143959720023, 879.4621580301762, 829.1201696943323, 834.7066628031885, 42.57735897586518, 877.2840217790537, 5.586493108855698, 95.82302450474847, 733.2971451895838, 0.03921243591893415, 0.005201934019202428, 1.4663944720440338, 1.3316191285895747E-4, 0.03387733998687276, 6.520205853909466, 0.9303065635959235, 0.9228365407966872, 3.798558345597893, 0.053570255099457814, 0.0034290544795942952
0.00368, 0.9241678652680648, 916.7870552134438, 869.8320210481149, 869.5857532795089, 43.445618100676135, 913.0313713801851, -0.24626776860574895, 103.71717958484723, 766.1148414632677, 0.041468009287836574, 0.005477336657729588, 1.4643425663532386, 1.2939327012625768E-4, 0.03586127935998073, 6.525310504115225, 0.9328414588645771, 0.9594417350550238, 3.7864928801655293, 0.05370422591428153, 0.003428732706385014
0.00369, 0.9263003860947605, 922.155727267968, 862.6306604876131, 872.6737737212705, 44.28282756412569, 916.9566012853962, 10.043113233657547, 87.58800677054597, 775.0426537170671, 0.04358977166693061, 0.005726915207646175, 1.4624200978720383, 1.3268929517218744E-4, 0.03773016716411225, 6.530363806584354, 0.935376354133231, 0.9952643314883564, 3.794954518255921, 0.053692867070731586, 0.003428608854002751
0.0037, 0.9284063483331998, 968.3718879165885, 906.5528440986178, 916.4411026024698, 45.14555810897001, 961.5866607114398, 9.888258503851496, 93.25457956379469, 813.2982645348231, 0.04587097855669254, 0.005926578775549902, 1.4603346580392043, 1.780647867529695E-4, 0.03976633499438967, 6.535812181069955, 0.9379112494018846, 1.032519568462258, 3.927284629455878, 0.0528281594000577, 0.0034286719949122844
0.00371, 0.9304965728209554, 1033.2056579543985, 977.6014020875898, 978.7701198558417, 46.004946730402445, 1024.775066586244, 1.1687177682509013, 111.96001841360349, 865.6413836739863, 0.048213406848325285, 0.006204208587701125, 1.4582060472260885, 1.8086476411676735E-4, 0.04182833349650739, 6.541077808641977, 0.9404461446705384, 1.0705812337550982, 3.9341429461458435, 0.05282960081016057, 0.0034286909706097413
0.00372, 0.9325672408519761, 1103.4087524482945, 1044.434404654149, 1046.2022957758948, 46.90213370783959, 1093.1044294837343, 1.7678911217454447, 117.0647792406776, 927.3696254134712, 0.05080417218751124, 0.006494594354722751, 1.4558381012724277, 1.846200152553445E-4, 0.04412495781753314, 6.546769938271606, 0.9429810399391921, 1.1107112797784509, 3.943829627794838, 0.052812047002696115, 0.0034286500344804516
0.00373, 0.9345879119743866, 1115.9112814739124, 1052.5351217260034, 1055.8512221187882, 47.79319942018397, 1103.6444215389722, 3.3161003927867316, 120.2007288916301, 932.3343928343731, 0.05348179556441551, 0.006798068909994707, 1.4533892882214974, 1.9029840317016851E-4, 0.046493428251250635, 6.5522805246913585, 0.9455159352078459, 1.151522816275853, 3.9592374126282435, 0.052756373233846125, 0.003428755712124249
0.00374, 0.9366169076245181, 1154.1510458642215, 1086.366653506391, 1091.2830660645407, 48.678831385491286, 1139.961897450032, 4.916412558149677, 123.6210721245513, 962.7455813818398, 0.05613225608246877, 0.007104961331348664, 1.450964107951097, 2.014735951074044E-4, 0.04882582115601271, 6.558315236625517, 0.9480508304764996, 1.1923600114526636, 3.9911218737663896, 0.05259213477734783, 0.0034288793595401777
0.00375, 0.9386358047497549, 1281.974430100857, 1213.0948807256757, 1216.0792188176845, 49.58567328921773, 1265.6648921069022, 2.984338092008213, 129.54698926154393, 1083.5478914641317, 0.058992460885134664, 0.007426310496585154, 1.4483452111000283, 2.1484994290174394E-4, 0.051351300445647764, 6.564453004115223, 0.9505857257451534, 1.2350262424036529, 4.029752383859333, 0.05238605195065996, 0.0034286137825464435
0.00376, 0.940573121236683, 1318.0540353958181, 1241.8942917415511, 1248.7014468179395, 50.54962879961285, 1299.2510756175525, 6.807155076388371, 124.98108727925707, 1116.913204462294, 0.06225323310650778, 0.0077631096317732065, 1.445344494320983, 2.1686862624556333E-4, 0.05427325484848901, 6.5702191049382765, 0.9531206210138071, 1.2812705405444544, 4.0340551963505416, 0.05240460566691053, 0.003429015669413101
0.00377, 0.9425100644203959, 1334.0606584994375, 1259.5575166351377, 1261.522694833705, 51.46923634525789, 1312.991931178963, 1.9651781985687382, 136.89693805072372, 1122.660578584414, 0.0652857053349986, 0.008064344367929174, 1.4425591304511431, 2.4850527078833565E-4, 0.056972855696281084, 6.576569578189299, 0.9556555162824609, 1.3256091956064548, 4.128760977470369, 0.05184597027466707, 0.0034287176075091822
0.00378, 0.9443691979419778, 1407.8769444290472, 1340.6218985699197, 1331.8327787616365, 52.4064337498156, 1384.239212511452, -8.789119808282804, 159.43453123037045, 1181.1873673395492, 0.06862290355204621, 0.008459526031055108, 1.4394947440543093, 2.275699913253323E-4, 0.05993580752966578, 6.5827619444444485, 0.9581904115511146, 1.372436071303569, 4.062743826208207, 0.05231167677350868, 0.0034289957406448035
0.00379, 0.9462267481948285, 1441.9840376363481, 1361.2246856091924, 1362.3994302726564, 53.3403540607128, 1415.7397843333692, 1.174744663462245, 149.3148955789876, 1211.909790030205, 0.0720078225841285, 0.008870347577264463, 1.436383092655294, 2.07744388929059E-4, 0.06292973061793497, 6.589252345679014, 0.9607253068197684, 1.4196546441119549, 4.001423033755611, 0.052757425773222844, 0.003428671887335424
0.0038, 0.947951337964306, 1471.6902445805824, 1382.7035370649003, 1388.4569216922823, 54.29650551676199, 1442.7534272090443, 5.753384627380579, 145.08820405619352, 1237.6153330087068, 0.07550787017552925, 0.009219261364358102, 1.4331570173328727, 2.3427526038588607E-4, 0.06605433355078526, 6.595365915637858, 0.9632602020884221, 1.4681809604287828, 4.0792214994183675, 0.05229782755890082, 0.0034288334619268527
0.00381, 0.9497253754453192, 1522.9071365824225, 1438.4520984784076, 1436.0148880784845, 55.2313380842088, 1491.2462261626933, -2.4372103999227233, 155.98175801966414, 1282.4703404587435, 0.0790346258978821, 0.00961161515129399, 1.4299087407651625, 2.3644780470399678E-4, 0.0691865629418841, 6.601856820987659, 0.9657950973570759, 1.5167027287189563, 4.083853111201151, 0.052313972038554014, 0.0034285720738511916
0.00382, 0.951409845102066, 1596.166357582895, 1510.120461179934, 1505.3954754605948, 56.188607039224294, 1561.584082499819, -4.724985719336673, 163.17864353897417, 1346.9418176409597, 0.08277921613523975, 0.01001447407169811, 1.4264584947675976, 2.238796337360236E-4, 0.07254086242980562, 6.608299701646091, 0.9683299926257296, 1.5672947534859352, 4.0442379356458495, 0.05261551982794478, 0.00342870023167837
0.00383, 0.9531052299441349, 1580.8654656041815, 1484.402792424395, 1486.0918901598832, 57.146145808643624, 1543.238035968527, 1.689097735487802, 159.31827799814673, 1325.0845144262485, 0.0866557588720712, 0.010443167584504236, 1.4228862960141189, 2.1505980438511158E-4, 0.07599753148318186, 6.615253621399179, 0.9708648878943834, 1.6190183739966595, 4.016274490587657, 0.05284440249198312, 0.0034285931009357786
0.00384, 0.9546882883251727, 1602.5638813121502, 1508.1979855407176, 1504.0320899008818, 58.07546841262111, 1562.107558313503, -4.165895639836646, 158.34805084640115, 1349.8499346943165, 0.09032729273166504, 0.010829696327937547, 1.4195034279647645, 2.3306750905420888E-4, 0.07926452889467328, 6.621714351851856, 0.9733997831630371, 1.669037914648166, 4.067970730151193, 0.05255321128239652, 0.003428653449920295
0.00385, 0.9561753240321162, 1652.6910905728466, 1551.404418843802, 1550.0848382149486, 59.01756405335333, 1609.1024022683018, -1.3195806288525684, 143.14671838036526, 1408.2577004634368, 0.09430743777201207, 0.011255628503514057, 1.4158370971742618, 1.963830111568863E-4, 0.08285542625734113, 6.6276526543209915, 0.9759346784316909, 1.721992800806783, 3.958347431914055, 0.05332215771608824, 0.00342859066801725
0.00386, 0.9576710214004088, 1631.3866235630576, 1523.7225592572709, 1524.8021932960296, 59.97359022470684, 1584.7757835207365, 1.079634038759022, 125.27779801701848, 1398.4447612402523, 0.09821831142572315, 0.011571642359886957, 1.4122348255105335, 2.2778714714403222E-4, 0.08641888191869217, 6.634691625514405, 0.9784695737003446, 1.7748002995728422, 4.0485942493426235, 0.052770118378414006, 0.003428737120594587
0.00387, 0.9590110889235317, 1331.2159486689932, 1233.134036957866, 1220.7090225580966, 60.892647427968264, 1281.601669986065, -12.425014399771438, -198.79103822050558, 1431.9250751783718, 0.1020967351290338, 0.01191374262410157, 1.4086710561537212, 2.0271812826256963E-4, 0.08998027437666967, 6.640448240740741, 0.9810044689689984, 1.8276668605275244, 3.973571682444783, 0.05331190761767547, 0.003428639076087756
0.00388, 0.9602798581882901, 939.9281327336854, 856.3366850561134, 827.0311688666472, 61.82207239769312, 888.8532412643403, -29.305516189465806, -565.5144513343411, 1421.8511363904545, 0.10457439938232627, 0.010684054797955578, 1.406521840722913, 1.6950971225843383E-4, 0.09372083487211225, 6.646200504115226, 0.9835393642376521, 1.882080275558678, 3.8773212053880184, 0.05401600309594752, 0.003428758573074711
