Starting dry volume fraction: 0.0028
Maximum dry volume fraction: 0.0039
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 48.769606624490535
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00294, 0.744397060529726, 138.53977716241053, 131.81248681803314, 145.95011240976496, 11.809373701568079, 157.75948611133305, 14.137625591731853, 118.4316903397742, 13.380796478258926, -0.005201116447017888, -0.00562047265555844, 1.5060834534776233, -0.001564064200374331, 0.001983420408914883, 6.370323415637863, 0.7452592089841998, 0.0019683782216531583, 0.7666225328707226, 0.11074804808301941, 0.0034287348688414967
0.00295, 0.7468339310421424, 214.86187676583825, 218.84562673983064, 222.47875963991444, 11.984417956208862, 234.4631775961233, 3.633132900083741, 199.89469691034077, 18.950929829489862, -0.005364270679598499, -0.005833236207682499, 1.5062641629580338, -0.0015652149580009508, 0.002034180486084951, 6.371113693415641, 0.7477941042528536, 0.00275598531398144, 0.7696661951986861, 0.1106540276850486, 0.0034286747921567465
0.00296, 0.7494411883790083, 480.41012817342335, 475.50573883300734, 486.3186241504184, 12.16548153070337, 498.4841056811217, 10.81288531741093, 457.6625120208409, 17.843226812166463, -0.004175226553939344, -0.004705593146344212, 1.505091723728074, -0.0015573288954094922, 0.0020876954878143606, 6.371997448559673, 0.7503289995215073, 0.0036979272955261094, 0.7793791429614931, 0.11008646876776206, 0.0034285949620414496
0.00297, 0.7518955975144579, 260.7534490182882, 248.44545729102475, 265.0839547135934, 12.29076276763028, 277.3747174812237, 16.638497422568744, 234.77848867302617, 13.666968617998565, -0.0030704812812921583, -0.0036798532242894844, 1.5039995480933972, -0.0015241097261169496, 0.0021334816691142753, 6.372676728395064, 0.7528638947901611, 0.004785705030835426, 0.8083505117856996, 0.1082173059663432, 0.003428676125219445
0.00298, 0.7544251205311907, 30.211365568200353, 16.465830473861722, 34.33018406200552, 12.433793086530205, 46.76397714853573, 17.86435358814394, 5.4859483786861025, 10.979882095175618, -0.0029302205437537108, -0.0036093885926180335, 1.5038740652373601, -0.0014881492872558216, 0.0021673173361201445, 6.372916707818933, 0.7553987900588148, 0.006020404594736328, 0.8403695188404418, 0.10625467224770838, 0.0034287104567882827
0.00299, 0.7568893911146322, 121.11573929608743, 107.86427769210678, 125.2151956852823, 12.529321502801677, 137.74451718808396, 17.350917993175425, 95.08537108402825, 12.778906608078527, -0.002926232636260097, -0.0036778838347432535, 1.5038778947628888, -0.0014488012998652127, 0.0022004524983483694, 6.373695349794237, 0.7579336853274686, 0.007408411711841704, 0.8762234249207735, 0.10417433262069486, 0.0034287006555368043
0.003, 0.759467948231296, 170.07997137385976, 161.8463784939791, 173.3638928157323, 12.678228585119555, 186.04212140085184, 11.517514321753147, 137.24563282928034, 24.60074566469876, -0.002351935485897662, -0.00317999061756936, 1.503318331394313, -0.0014149957348763584, 0.0022430508665480563, 6.374094670781892, 0.7604685805961223, 0.008997592332445637, 0.9086087513021642, 0.10241487855500814, 0.003429031209579166
0.00301, 0.7619827373465725, 115.3240033552047, 111.30097958901956, 118.26612135394736, 12.890289959364345, 131.1564113133117, 6.9651417649278144, 84.56446647342189, 26.736513115597674, -0.0021141605913077618, -0.0030437841457170577, 1.5031013542657907, -0.0014032425246712271, 0.002332866079080523, 6.374785185185177, 0.7630034758647761, 0.010892952377841696, 0.9227114513385145, 0.10174200778436018, 0.003428581704538721
0.00302, 0.7645433319712086, 154.96401959674697, 139.21569335919895, 157.46245809294354, 13.054453917829335, 170.51691201077287, 18.246764733744655, 134.17929588176833, 5.036397477430615, -0.0018013039301638472, -0.0027964495114676767, 1.5028071761025459, -0.0013910635032354584, 0.0023862090845392877, 6.3759306584362125, 0.7655383711334298, 0.012890293715540483, 0.9373098353979954, 0.10105826108474823, 0.0034288126474384673
0.00303, 0.7670111836530865, 220.65110449770964, 212.05371177785995, 222.55093775984844, 13.098995603564981, 235.64993336341342, 10.497225981988576, 192.78683931451292, 19.266872463347017, -0.001374261899701413, -0.0024216447329003825, 1.5023770382059278, -0.0013253329816679466, 0.002372715814866916, 6.3760433127572, 0.7680732664020836, 0.0148508565476143, 1.0006682000610556, 0.09791447973290372, 0.003428594156090556
0.00304, 0.7695501160600484, -76.08787802086505, -85.42958288827718, -75.05752862331265, 13.429473077099104, -61.628055546213545, 10.37205426496445, -108.45884312176848, 23.0292602334913, -7.47772510778942E-4, -0.001891944611951157, 1.5017899715044198, -0.0013496910136081308, 0.002493863114780346, 6.37660730452675, 0.7706081616707373, 0.01748322307764957, 0.9822776218778103, 0.0989354264206522, 0.003428803936435972
0.00305, 0.7720358133856516, -41.77569897091019, -52.04227814728195, -39.389386726747006, 13.485021849063344, -25.904364877683662, 12.652891420534889, -72.79445756798596, 20.752179420704014, -0.0017375547565932287, -0.002951944567072113, 1.5027803737365157, -0.0012846896166215113, 0.0024990794271003954, 6.377640236625522, 0.7731430569393911, 0.019886915802339766, 1.0473587932239856, 0.095917230823917, 0.003428956574763648
0.00306, 0.7745548830291525, 3.385095808867977, -5.123468377655172, 4.68175468075607, 13.778174164030352, 18.459928844786422, 9.805223058411379, -33.435041780845694, 28.311573403190522, -9.472367805491229E-4, -0.002258869558054874, 1.502026632201292, -0.00129770210139599, 0.0026093348789017414, 6.378331841563787, 0.7756779522080448, 0.022911230267384605, 1.0388818164823563, 0.0964129038507479, 0.0034286383198554515
0.00307, 0.7770418115498999, 289.2567796453813, 274.1815931514815, 291.6054931400134, 13.908931495635503, 305.5144246356489, 17.42389998853193, 252.68505795743633, 21.49653519404513, -0.0017213921146685988, -0.0031263489855499023, 1.502810338360476, -0.0012463548381665868, 0.0026513117090478907, 6.379373765432097, 0.7782128474766986, 0.025878637281547608, 1.0932568057835013, 0.09408696455616423, 0.0034293700848355515
0.00308, 0.7795976925076352, 204.92420283425622, 195.07705092746505, 204.33415106642173, 14.115525219829335, 218.44967628625105, 9.257100138956694, 166.71117629632928, 28.36587463113577, 4.3386260855304446E-4, -0.0010727543718416356, 1.5006776518752245, -0.0012226286825555218, 0.002729245662950202, 6.379831820987653, 0.7807477427453523, 0.029197279019987032, 1.121389844528736, 0.0930000160012374, 0.003428591902723826
0.00309, 0.7821034643432648, -74.5717233178608, -85.83024549304886, -73.56458209720216, 14.328225488395763, -59.2363566088064, 12.265663395846657, -113.59397653053163, 27.763731037482767, -7.429511194614567E-4, -0.002337327689742637, 1.5018744542965674, -0.0012100945880815595, 0.00280447115836274, 6.380815298353907, 0.7832826380140061, 0.032723976824774965, 1.1383762551987793, 0.09240334069674477, 0.003428572214671069
0.0031, 0.7846540971420297, 45.2827950429309, 31.99345409105238, 45.17765795306871, 14.518759086223573, 59.696417039292285, 13.184203862016275, -1.4394120886213433, 33.432866179673724, 7.780885712548339E-5, -0.0016302539925120423, 1.501073818278048, -0.0011718967811939608, 0.0028799596308314865, 6.38144541152263, 0.7858175332826598, 0.036437678247545895, 1.18278784156817, 0.09074963758251207, 0.0034291242160401788
0.00311, 0.7871386409035775, 160.3281747037027, 152.0320202423314, 161.03763144678197, 14.768443426238015, 175.80607487301998, 9.00561120445058, 115.61337339144535, 36.41864685088606, -5.267416994184679E-4, -0.0023547181439077724, 1.501708066210825, -0.0011547052760152248, 0.0029826817205045294, 6.38186791152263, 0.7883524285513136, 0.04057223439737439, 1.2054598815365725, 0.08998874107130982, 0.003428942633206651
0.00312, 0.7896224891736069, 238.75499425986322, 221.8238171091096, 237.6227864160661, 15.016537929328521, 252.63932434539464, 15.798969306956486, 201.8480841428691, 19.975732966240482, 8.433195027553412E-4, -0.001093383678583107, 1.5003643191876819, -0.001136323912433426, 0.0030730270937718743, 6.383220534979427, 0.7908873238199673, 0.04486657245779739, 1.229738071880418, 0.08919140031799977, 0.0034285714328459852
0.00313, 0.7920757516958941, 110.06348651922923, 95.84058122558554, 109.24281897474981, 15.131249990507902, 124.3740689652577, 13.402237749164287, 66.98783227302836, 28.85274895255718, 6.132294263115623E-4, -0.001397973403293286, 1.5006005292700506, -0.001086554881830251, 0.0030977577114350992, 6.383638333333334, 0.7934222190886211, 0.04903543411198966, 1.2903054545776222, 0.08716583063568782, 0.003428572160471016
0.00314, 0.7946426197900487, 220.70032897312785, 208.1421385220896, 218.87429132885032, 15.45590679065364, 234.33019811950396, 10.732152806760757, 166.70515398802473, 41.43698453406487, 0.0013688339407592468, -7.824730769864443E-4, 1.4998815393786942, -0.0010792757835406581, 0.0032305828012863494, 6.38505572016461, 0.7959571143572748, 0.054143697852009086, 1.3027915664597656, 0.08683940529076338, 0.003428662256294552
0.00315, 0.7970600182653315, 224.66686384891136, 213.28632996681256, 222.45013496202785, 15.666316130858482, 238.11645109288634, 9.163804995215242, 168.06441203150735, 45.22191793530521, 0.0016669958752539848, -6.069988293595525E-4, 1.4996051243922202, -0.0010421869948018746, 0.003316181699415412, 6.385825740740737, 0.7984920096259286, 0.0590568994521759, 1.3508745765944796, 0.08537035700386959, 0.003428779796552186
0.00316, 0.7995816970422926, 259.58464236099815, 245.52040657807405, 256.3482197407419, 15.985411600955386, 272.3336313416973, 10.827813162667788, 202.24812107666452, 43.272285501409534, 0.0024415391986744896, 1.6121420171647303E-5, 1.498868443135618, -0.0010421388979495532, 0.0034675566764523955, 6.386818899176952, 0.8010269048945823, 0.06472827089687837, 1.354898413107997, 0.08533360390420587, 0.0034286127553415273
0.00317, 0.8020700612828258, -0.5162745795670465, -24.122604666670984, -4.356775791208424, 16.173688034409057, 11.816912243200633, 19.76582887546254, -51.87922809744014, 27.756623430769157, 0.002906421244728825, 3.587668509573106E-4, 1.4984214257464636, -9.9708381098026E-4, 0.003544738204751774, 6.387128168724285, 0.8035618001632361, 0.07007611376408085, 1.4143925696906239, 0.08360762076113608, 0.003428571549892183
0.00318, 0.8045939912023108, 43.12006344465245, 25.604782956156214, 39.90724269357749, 16.402792780096714, 56.310035473674205, 14.302459737421273, -14.750907986876777, 40.35569094303299, 0.002439074169134566, -2.2932013443808787E-4, 1.498910155782221, -9.540547664504917E-4, 0.0036224490700231455, 6.388831368312756, 0.8060966954318898, 0.07570244006140081, 1.4734516354101446, 0.08200094510893366, 0.0034286553241033393
0.00319, 0.8071138558481833, 235.76061852252946, 221.9094863579362, 231.67385046303224, 16.704708120359633, 248.37855858339188, 9.764364105095977, 167.06413143505563, 54.84535492288059, 0.0031123043820384024, 2.868941883246899E-4, 1.4982692367950563, -9.347949404558425E-4, 0.0037602051341695548, 6.389798724279834, 0.8086315907005436, 0.08206643715385087, 1.5026897389434501, 0.08128429832012998, 0.003428576784889591
0.0032, 0.8095901805898518, 48.192597333552534, 37.62975073282326, 43.52635284640598, 16.99717423462397, 60.52352708102995, 5.896602113582769, -11.927575136905785, 49.55732586972905, 0.003564748203862463, 5.701510451438773E-4, 1.4978527209953016, -9.132941453719808E-4, 0.003907891304090566, 6.390869814814812, 0.8111664859691973, 0.08863143861353662, 1.535347358583623, 0.08049911333934401, 0.003428571750710829
0.00321, 0.8120588386035568, 60.70716402583644, 47.57862219213664, 56.3455932917345, 17.295110131737598, 73.6407034234721, 8.766971099597882, -1.0029373493096605, 48.5815595414463, 0.003342407084620568, 2.3350765609268272E-4, 1.4981087361754886, -9.123488276497329E-4, 0.004021248256177618, 6.392000380658434, 0.8137013812378511, 0.09528234137678819, 1.5404480837878511, 0.08044935591903103, 0.0034285857554499344
0.00322, 0.8145429740887424, 79.85213327617038, 47.05867321622456, 74.83780854344188, 17.57359869861365, 92.41140724205553, 27.779135327217364, 11.392799267113636, 35.665873949110924, 0.0038546035609365336, 5.66817248403202E-4, 1.4976274791885587, -8.771193581502864E-4, 0.004164905670683618, 6.392857119341565, 0.8162362765065048, 0.10243409043676258, 1.5926192367795151, 0.07920277641021596, 0.0034286120226236553
