Starting dry volume fraction: 0.0014
Maximum dry volume fraction: 0.0029
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 53.83170338213784
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00141, 0.4127487175966449, -6.57160676662411, 17.224474928664964, 3.437986940850576, 2.0235094354982355, 5.461496376348812, -13.786487987814413, 18.889210795187644, -1.6647358665226801, -0.0033693564102141595, -2.7768980070642056E-4, 1.503420640108779, -0.0033402717642177305, 2.486051547099916E-4, 7.012845257201653, 0.4847332475233629, 0.0, 0.004343931029031462, 1.151620368290705, 0.005714285722395791
0.00142, 0.4079754025626072, -18.133720591116337, -23.785705239771307, -8.105527985411767, 1.9492488251578997, -6.156279160253867, 15.680177254359576, -28.53042095682349, 4.744715717052185, -0.0033995575820027655, -2.4441276684092654E-4, 1.503448248160044, -0.0033977649696790967, 2.4262015451725755E-4, 7.012683168724283, 0.4881710719738832, 0.0, 0.004061847155048831, 1.1937464325141591, 0.0057146802972414985
0.00143, 0.4208718607765327, -15.873972968054222, -7.7442719376329245, -5.75075510836077, 2.2373911290227824, -3.5133639793379876, 1.993516829272261, -6.2134756968353155, -1.5307962407976088, -0.003455938548275863, -4.173549597553401E-4, 1.503519687554156, -0.003313260277303445, 2.746766887829224E-4, 7.013331687242805, 0.49160889642440353, 0.0, 0.0050295072263212524, 1.075293584612058, 0.005714719610569661
0.00144, 0.4200843371672563, -7.192171645691126, 28.60958012883028, 2.9172123539349655, 1.8836312889508284, 4.800843642885794, -25.692367774895335, 37.421478065258924, -8.811897936428643, -0.003475350219933954, -2.79917060273178E-4, 1.5035203543449667, -0.0034345859325313004, 2.391527728705246E-4, 7.013724094650209, 0.49504672087492385, 0.0, 0.004150173473563181, 1.1864937806354983, 0.005714335260962505
0.00145, 0.4228545349529152, -4.546547994425026, -7.501711480644174, 5.5362416416270115, 1.8502861988529777, 7.386527840479989, 13.037953122271084, -17.157814892757667, 9.656103412113493, -0.0034902786383451765, -2.425683003468518E-4, 1.5035336724295336, -0.0034836348796329986, 2.3592454163467408E-4, 7.0130923456790075, 0.4984845453254442, 0.0, 0.003951620749228841, 1.2187448662253726, 0.005714293587172276
0.00146, 0.41956149232459894, -2.540270316353248, -12.96799279073769, 7.492910450324883, 2.300493657393874, 9.793404107718757, 20.460903241062553, -19.213089518794416, 6.245096728056726, -0.0034970583875534728, -3.651853615182782E-4, 1.5035660448088697, -0.003420384428185805, 2.885114021506101E-4, 7.013618662551435, 0.5019223697759645, 0.0, 0.004676612718654496, 1.1228705093979177, 0.005714461783224455
0.00147, 0.4235627068091568, -12.382710555494056, 0.49127614893690197, -2.402540229914111, 2.1145863861353007, -0.2879538437788103, -2.8938163788509774, 6.826195429930966, -6.334919280994064, -0.0035024075356742935, -3.3930658461522883E-4, 1.5035607316581154, -0.0034327958441128206, 2.696948930537561E-4, 7.012952304526749, 0.5053601942264848, 0.0, 0.0047762405065002005, 1.1136287772338525, 0.005714468856846465
0.00148, 0.4282125718672557, -11.166869293380952, 3.5921360941759213, -1.1019381241512516, 1.9830129559488463, 0.8810748317975947, -4.694074218327116, 4.6731242401125295, -1.080988145936608, -0.003556181475366965, -3.3720909527994766E-4, 1.5036089568922697, -0.0034809060889807166, 2.619337088936995E-4, 7.013310689300414, 0.5087980186770051, 0.0, 0.004556071175474334, 1.142798729584103, 0.005714288296755958
0.00149, 0.4308669885355483, -1.3282609515778077, 10.886726949795372, 8.66783821920752, 2.062176680007214, 10.730014899214734, -2.2188887305878517, 7.71093511984035, 3.175791829955022, -0.003555725409081374, -3.215509396062801E-4, 1.503611904359972, -0.0035022476690381426, 2.680731995630492E-4, 7.014831903292184, 0.5122358431275255, 0.0, 0.004574689958237846, 1.1430336530754213, 0.005714296364219487
0.0015, 0.4317353798967955, -15.635244247719013, -2.788161172038827, -5.686802014724672, 2.165445075297715, -3.5213569394269575, -2.8986408426859924, -3.79289178583769, 1.0047306137988632, -0.0035625234542517514, -3.047082120691582E-4, 1.5036251117857715, -0.0035385105380960507, 2.806952959134575E-4, 7.012963652263374, 0.5156736675780457, 0.0, 0.004466138588196487, 1.1594234565399952, 0.005714497981570633
0.00151, 0.43885485303707983, -9.301416585458961, -5.49066291242557, 0.7693732485970104, 2.0986522570115183, 2.8680255056085286, 6.260036161022572, -8.563053413848902, 3.0723905014233317, -0.003630378201335582, -3.4372344005706364E-4, 1.5036900188001183, -0.003563267800096936, 2.766130388184173E-4, 7.013507613168729, 0.519111492028566, 0.0, 0.004456234201342028, 1.1632848510388543, 0.005714417387771464
