DryVolFrac,  Lindemann,   Calibration
0.0183,      0.10128932576632584,      0.05
0.0163,      0.10145060040379811,      0.10
0.0156,      0.10037075944298549,      0.15
0.0151,      0.10335974613316116,      0.20
0.0149,      0.10087022545287558,      0.25
0.0147,      0.10310579362197324,      0.30
0.0146,      0.10023120143185218,      0.35
0.0145,      0.10095630980359525,      0.40
0.0144,      0.1014488551624187,       0.45
0.0143,      0.10094150925638931,      0.50
0.0142,      0.10120409412878481,      0.55
0.0142,      0.10222407191212876,      0.60
0.0142,      0.10112583468323492,      0.65
0.0141,      0.10111649376612067,      0.70
0.0140,      0.1042548378797647,       0.75
0.0140,      0.10258379168058583,      0.80
0.0140,      0.10259240622982164,      0.85
0.0139,      0.10416435146849759,      0.90
0.0139,      0.10304019758549202,      1.00
0.0139,      0.10047635291188789,      1.10
0.0139,      0.10122812477436145,      1.20
0.0139,      0.10008750636178343,      1.30
0.0138,      0.10141021561521127,      1.40
0.0137,      0.10171047984832443,      1.50
0.0138,      0.10016988833199046,      1.60
0.0137,      0.10181072414570258,      1.70
0.0137,      0.1007404808324442,       1.80
0.0137,      0.1011387529677654,       1.90
0.0138,      0.10004751666868819,      2.00
0.0136,      0.10411042108181379,      2.10
0.0136,      0.10261123309419637,      2.20
0.0136,      0.10304943395902025,      2.30
0.0136,      0.10208718506344225,      2.40
0.0137,      0.10414707904540219,      2.50
0.0136,      0.1028878975188784,       2.60
0.0136,      0.10121438332587337,      2.70
0.0137,      0.10329841917043014,      2.80
0.0136,      0.10325138024526574,      2.90




