DryVolFrac,	rhosigma^3,	Lindemann,	young calibration	kT/epsilon
0.0161	1.3245768731002945	0.1501264578297953	0.05	0.006857064490691535
0.0145	1.1929419043449858	0.1523304982981713	0.1	0.0034285322453457673
0.014	1.1518059766089517	0.1536715182169824	0.15	0.0022856881635638453
0.0137	1.1271244199673314	0.1509082339774599	0.2	0.0017142661226728837
0.0135	1.1106700488729178	0.1506488511498804	0.25	0.001371412898138307
0.0132	1.0859884922312972	0.1518376167000115	0.3	0.0011428440817819227
0.0132	1.0859884922312972	0.1526969069869732	0.35	0.0009795806415273621
0.0131	1.0777613066840905	0.1513435134551197	0.4	0.0008571330613364418
0.013	1.0695341211368836	0.1508714548988815	0.45	0.0007618960545212818
0.0131	1.0777613066840905	0.1549148905797087	0.5	0.0006857064490691535
0.0127	1.0448525644952633	0.1514321189131889	0.55	0.000623369499153776
0.0129	1.061306935589677	0.1524642240351832	0.6	0.0005714220408909613
0.0126	1.0366253789480566	0.1548858220349146	0.65	0.0005274664992839642
0.0126	1.0366253789480566	0.1599454392927292	0.7	0.0004897903207636811
0.0127	1.0448525644952633	0.1500214145958542	0.75	0.0004571376327127691
0.0127	1.0448525644952633	0.1507082019610707	0.8	0.0004285665306682209
0.0123	1.011943822306436	0.1591602635531339	1.0	0.00034285322453457676
0.0125	1.02839819340085	0.1511582753074694	1.1	0.000311684749576888
0.0125	1.02839819340085	0.1527104952731563	1.2	0.00028571102044548067
0.0125	1.02839819340085	0.150371059391193	1.3	0.0002637332496419821
0.0124	1.020171007853643	0.1514948860149835	1.4	0.00024489516038184053
0.0123	1.011943822306436	0.1540688638201172	1.7	0.00020167836737328045
0.0126	1.0366253789480566	0.1528798667810694	1.8	0.00019047401363032044
0.0122	1.0037166367592294	0.1502782448391616	2.1	0.00016326344025456037
0.0122	1.0037166367592294	0.1570483430265144	2.2	0.000155842374788444
0.0126	1.0366253789480566	0.1518927924292176	2.3	0.00014906661936285947
0.0123	1.011943822306436	0.1522856498790827	2.4	0.00014285551022274033
0.0122	1.0037166367592294	0.1527239796464833	2.5	0.0001371412898138307
0.0124	1.020171007853643	0.1535091806030444	2.6	0.00013186662482099105
0.0122	1.0037166367592294	0.1523623000017637	2.7	0.00012698267575354694
0.0121	0.9954894512120225	0.1581860434100157	2.9	0.00011822524983950924




range from 0.03 to 0.1
