DryVolFrac	rhosigma^3	Lindemann	young calibration	kT/epsilon
0.0155	1.2752137598170536	0.100866963217598	0.1	0.0034285322453457673
#0.0145	1.1929419043449858	0.1043572723248354	0.2	0.0017142661226728837
0.0143	1.1764875332505722	0.102203722608884	0.3	0.0011428440817819227
0.014	1.1518059766089517	0.1004399213622718	0.4	0.0008571330613364418
0.0139	1.1435787910617448	0.1046208197019269	0.5	0.0006857064490691535
0.0139	1.1435787910617448	0.1005583680682696	0.6	0.0005714220408909613
0.0137	1.1271244199673314	0.1040571005999213	0.7	0.0004897903207636811
0.0137	1.1271244199673314	0.1043697701858837	0.8	0.0004285665306682209
0.0137	1.1271244199673314	0.1029564175316598	0.9	0.0003809480272606409
0.0137	1.1271244199673314	0.1001364673854728	1.0	0.00034285322453457676
