DryVolFrac	rhosigma^3	Lindemann	young calibration	kT/epsilon
0.0142	1.1682603477033655	0.150226168751856	0.05	0.006857064490691535
0.0132	1.0859884922312972	0.150440937941923	0.1	0.0034285322453457673
0.013	1.0695341211368836	0.1542476473208539	0.15	0.0022856881635638453
0.0127	1.0448525644952633	0.1525720976555213	0.2	0.0017142661226728837
0.0127	1.0448525644952633	0.1512829892919219	0.25	0.001371412898138307
0.0126	1.0366253789480566	0.1506392813999536	0.3	0.0011428440817819227
0.0126	1.0366253789480566	0.151038557245481	0.35	0.0009795806415273621
0.0124	1.020171007853643	0.1517774420971729	0.4	0.0008571330613364418
0.0121	0.9954894512120225	0.1529512510328592	0.45	0.0007618960545212818
0.0121	0.9954894512120225	0.1546855577830431	0.5	0.0006857064490691535
0.0116	0.9543535234759885	0.1507705884403384	0.55	0.000623369499153776
0.0119	0.9790350801176091	0.1503874102501286	0.6	0.0005714220408909613
0.0123	1.011943822306436	0.1591729939655586	0.65	0.0005274664992839642
0.0122	1.0037166367592294	0.1557343947171951	0.7	0.0004897903207636811
0.0123	1.011943822306436	0.1544262890774118	0.75	0.0004571376327127691
0.0124	1.020171007853643	0.153530960679144	0.8	0.0004285665306682209
0.0118	0.9708078945704022	0.1514547199443715	1.0	0.00034285322453457676
0.0122	1.0037166367592294	0.1518319134360025	1.1	0.000311684749576888
0.0122	1.0037166367592294	0.151655857346656	1.2	0.00028571102044548067
0.0127	1.0448525644952633	0.1519156384706183	1.3	0.0002637332496419821
0.012	0.9872622656648158	0.1511249289128693	1.4	0.00024489516038184053
0.0123	1.011943822306436	0.1513857295739356	1.7	0.00020167836737328045
0.0119	0.9790350801176091	0.1556108543647665	1.8	0.00019047401363032044
0.0117	0.9625807090231954	0.1516121674814733	2.1	0.00016326344025456037
0.0133	1.094215677778504	0.152860129966391	2.2	0.000155842374788444
0.0119	0.9790350801176091	0.1505490889222833	2.3	0.00014906661936285947
0.0123	1.011943822306436	0.151457506579153	2.4	0.00014285551022274033
0.0118	0.9708078945704022	0.1520493292989038	2.5	0.0001371412898138307
0.0121	0.9954894512120225	0.1542528121720002	2.6	0.00013186662482099105
0.0119	0.9790350801176091	0.1557480762747314	2.7	0.00012698267575354694
0.0118	0.9708078945704022	0.1509040203950957	2.8	0.00012244758019092027
0.0117	0.9625807090231954	0.1525242363071506	2.9	0.00011822524983950924
