DryVolFrac,  Lindemann,   Calibration
0.0166,      0.10052279050422466,  0.05
0.0153,      0.10620793958164794,  0.10
0.0148,      0.10412977184745184,  0.15
0.0145,      0.10628420866377346,  0.20
0.0145,      0.10331593808329012,  0.25
0.0142,      0.10169033547158009,  0.30
0.0142,      0.10017471160567966,  0.35
0.014,       0.10150317185781825,  0.40
0.0139,      0.1002656063362664,   0.45
0.014,       0.10025089104177096,  0.50
0.0137,      0.10141192625047972,  0.55
0.0139,      0.10067886941659704,  0.60
0.0137,      0.10363103837882298,  0.65
0.0139,      0.10044619060231917,  0.70
0.0138,      0.10147697061665732,  0.75
0.0132,      0.10779529800095462,  0.80
0.0136,      0.10518059319440996,  0.85
0.0136,      0.10209801668090654,  0.90
0.0138,      0.10048527042584277,  1.00
0.0133,      0.10544898477462127,  1.10
0.0134,      0.10180774620624738,  1.20
0.0134,      0.10048620768115504,  1.30
0.0134,      0.10294910111072567,  1.40
0.0135,      0.10093891828925322,  1.50
0.0134,      0.10082090617754028,  1.60
0.0133,      0.10644093611845715,  1.70
0.0133,      0.10566141333377646,  1.80
0.013,       0.1092038791130907,   1.90
0.0132,      0.10545309658343133,  2.00
0.0131,      0.10153559176622115,  2.10
0.0133,      0.10182780905240414,  2.20
0.0133,      0.10010468296555625,  2.30
0.0132,      0.10406491640331637,  2.40
0.0131,      0.10403565062784363,  2.50
0.0129,      0.10667855259677461,  2.60
0.013,       0.1068604459358809,   2.70
0.0131,      0.10187048593817004,  2.80
0.0132,      0.10239339799712162,  2.90

