This fits B3 to B7 into the virial expansion since maxPower is set to 5.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06872374164756498, 4.774648292756861E-5, -14.597452505310578, 1.1634205574208085, 1.1864131553358814, -4.886928741001433E-4, 1.5004898260434147, -5.213638970822166E-4, 8.968233921021736E-6, 2.3702789061051644E-5, 7.004948971193419, 0.06875648901040608, 4065.98816343994, 970.6831721469055, 5759.21813963492, 0.7059965545423298
3.0E-4, 0.10303345471653792, 7.161972439135293E-5, -8.451664312927479, 1.290838495582487, 1.2894670370319532, -6.969770168308051E-4, 1.5006999741746487, -7.530065463303081E-4, 2.022499911889557E-5, 3.5804530380607487E-5, 7.00481333333333, 0.10313473351560913, 4065.75197702781, 970.6267867944331, 5758.8835963420215, 0.7059965545423301
4.0E-4, 0.13730827525394862, 9.549296585513724E-5, -7.942341592078504, 1.456845417790564, 1.4114590107913407, -8.92230119926876E-4, 1.500898456629903, -9.765371141186377E-4, 3.646424262791051E-5, 4.784275156385117E-5, 7.004985668724286, 0.13751297802081217, 4066.052066478396, 970.6984278735788, 5759.308654295428, 0.7059965545423301
5.0E-4, 0.17154273829038194, 1.1936620731892148E-4, -7.458459629755613, 1.5854552324401099, 1.5599383229953023, -0.0010761958940618994, 1.5010863758927502, -0.0011940355932402447, 5.8373990275010395E-5, 5.946570890333479E-5, 7.004827654320986, 0.1718912225260152, 4065.7769137535197, 970.6327399991749, 5758.918917655631, 0.70599655454233
6.0E-4, 0.2056703625467893, 1.4323944878270585E-4, -6.971923385187112, 1.812021925987286, 1.7412858766037025, -0.001248345335304962, 1.501265691367753, -0.001406727072591923, 8.688792828883326E-5, 7.149380899812751E-5, 7.004744012345684, 0.20626946703121826, 4065.6312718184026, 970.5979705483319, 5758.71262495607, 0.7059965545423301
7.0E-4, 0.23975378816147494, 1.6711269024649017E-4, -6.459024359787248, 2.0272490040613125, 1.9604810419460343, -0.0014090807149450522, 1.5014342408107217, -0.0016154210498813184, 1.23122840750645E-4, 8.321749418562115E-5, 7.004580113168727, 0.24064771153642134, 4065.3458917845296, 970.529841083756, 5758.308401972211, 0.7059965545423298
8.0E-4, 0.2737187613218301, 1.9098593171027449E-4, -5.91532473287905, 2.3128371739268445, 2.2213838716832783, -0.0015567410316282937, 1.5015941871174268, -0.0018206928681456847, 1.6837101537488025E-4, 9.558082114251087E-5, 7.004634742798356, 0.2750259560416244, 4065.4410110074796, 970.5525491255293, 5758.443132407278, 0.7059965545423298
9.0E-4, 0.307637347015177, 2.148591731740588E-4, -5.334906467294227, 2.5617490010039834, 2.5265277316775214, -0.0016915166663144861, 1.5017422060344614, -0.0020229727110088343, 2.2401149801716476E-4, 1.0744454667718361E-4, 7.004567746913579, 0.30940420054682743, 4065.324360294421, 970.5247008191316, 5758.277903962028, 0.7059965545423298
0.001, 0.34149520236128544, 2.38732414637843E-4, -4.717882990406736, 2.8217091581799996, 2.877619424948295, -0.0018114640521891328, 1.5018770029767023, -0.0022225944863660013, 2.9153784208808044E-4, 1.1959259208878814E-4, 7.004555956790126, 0.3437824450520305, 4065.303832006108, 970.5198000512943, 5758.248826924498, 0.7059965545423299
0.0011, 0.3750578671749982, 2.626056561016274E-4, -4.046153991363628, 3.1897133866165355, 3.275344697256679, -0.0019167789859702077, 1.5020049435741096, -0.0024198249427019227, 3.724460623136963E-4, 1.3059989441801878E-4, 7.004200195473247, 0.3781606895572336, 4064.6844332611277, 970.3719294932814, 5757.371487310025, 0.70599655454233
