Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 5.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.164093606817634
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.498520185185184
Dry volume fraction: 0.020250000000000015
Reservoir volume fraction: 0.8723741459669347
Actual volume fraction: 0.8465172826847158
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
DryVolFrac, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta
0.01125, 4.7382105615301615, 7.508836694536373, 7.4354432622518765, 7.7920523000584305, 0.07339343228449624, -0.008398054820432231, 1.508998130483561, -0.01850370928538408, 0.008779168085973087, 0.0013264863789787622, 3.504990370370371, 0.4846523033149637
0.01175, 5.9318524894591835, 8.559453663809817, 8.4346810384095, 8.565401811420994, 0.12477262540031635, -0.007736538062270487, 1.508452261956224, -0.019204116021887978, 0.010056803012419404, 0.0014107749471980885, 3.5049852777777777, 0.5061924056845176
0.01225, 6.641562336918802, 8.98179531461199, 9.012491990322227, 9.059952101893744, -0.030696675710236866, -0.00698192935234814, 1.5077787927533857, -0.019899441811258127, 0.011441172856835677, 0.0014763396020743115, 3.5047847222222233, 0.5277325080540716
0.01275, 7.737457099613116, 9.417328270115238, 9.434452702866162, 9.775635806870223, -0.01712443275092461, -0.006150981848610106, 1.507030858817231, -0.020589894156836635, 0.01291494813400542, 0.0015239641742211072, 3.504948796296296, 0.5492726104236255
0.01325, 8.90229042001497, 10.501488588103365, 10.447581761967072, 10.471895003720492, 0.05390682613629311, -0.005134747535800779, 1.5061663467717996, -0.021275664274136418, 0.014549138691541565, 0.0015917780467940745, 3.5049274074074073, 0.5708127127931795
0.01375, 10.31849534401425, 10.96568556908552, 10.852720764793355, 11.43214243813326, 0.11296480429216545, -0.004025716560832594, 1.505123145036581, -0.0219569289366085, 0.016274244702574946, 0.0016569676732009603, 3.5048264814814827, 0.5923528151627334
0.01425, 12.294027610091366, 12.334692954942488, 12.36984486655655, 13.114639865227904, -0.03515191161406105, -0.0026713882268949163, 1.5039891610063179, -0.022633852052613486, 0.018223210678557575, 0.0017392531471609953, 3.504846296296295, 0.6138929175322874
0.01475, 14.523600978998116, 14.204856354698338, 14.258376789041636, 14.887065841834314, -0.053520434343297216, -0.001090733663851172, 1.5026588648827022, -0.023306586020818438, 0.020445223732072717, 0.00177062862489455, 3.5047894444444445, 0.6354330199018413
0.01525, 17.390472429957935, 16.102440817277902, 15.965191395950411, 17.0347978926318, 0.13724942132748982, 7.958661040578449E-4, 1.5010444231737567, -0.02397527290162159, 0.02292462030240476, 0.0018465187032746723, 3.504761666666668, 0.6569731222713953
0.01575, 21.157800239202004, 18.422366119546858, 18.595066402295163, 20.51659756068629, -0.1727002827483062, 0.003060935811045523, 1.4991503101660046, -0.024640045434799668, 0.025776503541532127, 0.0019244777043130638, 3.504757685185186, 0.6785132246409492
0.01625, 26.993821384938194, 22.907715533663296, 22.996702255658175, 25.575795703915063, -0.08898672199487967, 0.0058469188435876715, 1.496997501702407, -0.025301027927813958, 0.029220468163044792, 0.0019274786083568365, 3.5046257407407406, 0.7000533270105032
0.01675, 36.44055095652744, 29.062535746692767, 28.83171076003837, 33.83283336687135, 0.23082498665439757, 0.009505235970574462, 1.4941506309243993, -0.025958337034694103, 0.03344172524776147, 0.002021847757507094, 3.5044572222222223, 0.7215934293800571
0.01725, 52.447204165349724, 39.87465077353121, 39.66475330982483, 48.70515300490504, 0.20989746370637546, 0.014546459564172828, 1.4907303482552603, -0.0266120824418472, 0.039055250662434045, 0.0021032913435859823, 3.5043188888888888, 0.743133531749611
0.01775, 80.77768862384269, 59.839479275559924, 58.86627018722643, 74.60671640783451, 0.9732090883334998, 0.02202608366197234, 1.486388046960484, -0.02726236747429353, 0.04709456411746029, 0.0021938870188055824, 3.5039404629629636, 0.764673634119165
0.01825, 125.3610031762197, 94.55772999617075, 91.9771984083645, 115.01567858341357, 2.5805315878062514, 0.03383071221820662, 1.4809499375553528, -0.027909289633546053, 0.05928077468389623, 0.002459227167856436, 3.5032762037037033, 0.786213736488719
0.01875, 183.62888629045221, 145.14853343038183, 140.54668474225315, 167.4205616571055, 4.601848688128676, 0.05195381865165358, 1.4751653426002251, -0.02855294107650506, 0.07756206399876567, 0.0029446957293929703, 3.502335555555555, 0.8077538388582729
0.01925, 251.27143843161537, 205.53298793822006, 198.01568349841776, 226.85353776788412, 7.517304439802293, 0.07766887963958419, 1.4687828594635037, -0.02919340904323873, 0.10314740062695057, 0.0037148880558723436, 3.5011759259259256, 0.8292939412278268
