This fits B3 to B9 into the virial expansion since maxPower is set to 7.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.0687160623249866, 4.774648292756861E-5, -14.66721930473792, 1.1835963943402328, 1.148024707451516, -4.903469617588955E-4, 1.5004915937003191, -5.213638970822166E-4, 7.144130538845752E-6, 2.3872804784475414E-5, 7.004840555555558, 0.06875648901040608, 4065.799378391141, 970.6381030363582, 5758.950737410951, 0.7059965545423299
3.0E-4, 0.10303783080592474, 7.161972439135293E-5, -8.507253108423628, 1.2980621931239429, 1.277682791863794, -7.003081361285738E-4, 1.500703373492593, -7.530065463303081E-4, 1.66371177028917E-5, 3.606129249884264E-5, 7.004962860082303, 0.10313473351560913, 4066.0123486995367, 970.6889459523277, 5759.252396543739, 0.70599655454233
4.0E-4, 0.13729113910339244, 9.549296585513724E-5, -7.937877869877802, 1.4618756792975727, 1.4573569785609695, -8.965383770607493E-4, 1.5009029524936424, -9.765371141186377E-4, 3.206177777312439E-5, 4.7936959284763966E-5, 7.004772376543217, 0.13751297802081217, 4065.68066070481, 970.6097612764403, 5758.78258122723, 0.70599655454233
5.0E-4, 0.17150613940089754, 1.1936620731892148E-4, -7.38615280383945, 1.650740112882576, 1.6688284577036427, -0.001079313886323819, 1.50109085061775, -0.0011940355932402447, 5.492713418609292E-5, 5.979457273033283E-5, 7.0049269753086465, 0.1718912225260152, 4065.9498613509463, 970.6740281967144, 5759.163887119454, 0.7059965545423299
6.0E-4, 0.20560609391151832, 1.4323944878270585E-4, -6.830514615499349, 1.8790752084152738, 1.8927872488740052, -0.0012492011958096826, 1.5012678833640445, -0.001406727072591923, 8.619182258925466E-5, 7.133405419298553E-5, 7.004557530864194, 0.20626946703121826, 4065.306572689807, 970.5204543413315, 5758.252708931685, 0.7059965545423298
7.0E-4, 0.2397230024525873, 1.6711269024649017E-4, -6.273157795150591, 2.059848825572736, 2.1183861013188503, -0.0014054469357992665, 1.5014321333346556, -0.0016154210498813184, 1.263935176945972E-4, 8.358059638745481E-5, 7.004680226337444, 0.24064771153642134, 4065.5202065055814, 970.5714556580195, 5758.555307881213, 0.7059965545423298
8.0E-4, 0.2737448367880763, 1.9098593171027449E-4, -5.770543248794332, 2.290806609530435, 2.345702984141862, -0.0015487224173777842, 1.5015855580880784, -0.0018206928681456847, 1.7579383060914309E-4, 9.617662015875736E-5, 7.00467556584362, 0.2750259560416244, 4065.5120916515425, 970.5695183793205, 5758.543813697584, 0.7059965545423299
9.0E-4, 0.3075939494826811, 2.148591731740588E-4, -5.24173355638759, 2.615869498454515, 2.5855840220318695, -0.0016809700805106213, 1.5017332364525091, -0.0020229727110088343, 2.347565301835009E-4, 1.0724610031471215E-4, 7.004686975308645, 0.30940420054682743, 4065.5319578365516, 970.5742610816372, 5758.571952907161, 0.7059965545423299
0.001, 0.3413538774739093, 2.38732414637843E-4, -4.669649509007479, 2.9293722291350432, 2.85617176178907, -0.0017989967591387078, 1.5018691076346806, -0.0022225944863660013, 3.039705502266224E-4, 1.1962717700067125E-4, 7.004589187242802, 0.3437824450520305, 4065.3616911459276, 970.5336129034522, 5758.330780780289, 0.7059965545423297
0.0011, 0.37508700512524, 2.626056561016274E-4, -4.039022682831366, 3.2029744316675894, 3.1785902545421783, -0.001903929421070176, 1.5019913883829805, -0.0024198249427019227, 3.846409474365411E-4, 1.3125457419520565E-4, 7.004364989711933, 0.3781606895572336, 4064.9713406815154, 970.440423594528, 5757.777873741436, 0.7059965545423297
