This fits B3 to B3 into the virial expansion since maxPower is set to 1.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06871596779613459, 4.774648292756861E-5, -14.453658313209987, 1.187149150468859, 1.2681469761648487, -4.865174775485132E-4, 1.5004878145378662, -5.213638970822166E-4, 1.1036075486869746E-5, 2.381034404683366E-5, 7.004882078189306, 0.06875648901040608, 4065.8716814069826, 970.6553641099157, 5759.053150114491, 0.70599655454233
3.0E-4, 0.10302404322244658, 7.161972439135293E-5, -8.190471636996158, 1.304620534706142, 1.457712362663363, -6.901113498925907E-4, 1.5006932772215578, -7.530065463303081E-4, 2.681760984172286E-5, 3.607758659599452E-5, 7.004721471193419, 0.10313473351560913, 4065.5920225388504, 970.5886004730515, 5758.657030804373, 0.7059965545423298
4.0E-4, 0.13732460769086638, 9.549296585513724E-5, -7.509034402683006, 1.424860675200167, 1.6843494632493372, -8.775836917330851E-4, 1.5008834646934128, -9.765371141186377E-4, 5.1214563665735656E-5, 4.773885871981694E-5, 7.005024629629632, 0.13751297802081217, 4066.1199115640025, 970.714624694687, 5759.40475261938, 0.70599655454233
5.0E-4, 0.1715250003984057, 1.1936620731892148E-4, -6.837550457021031, 1.635244981087135, 1.9479601191372509, -0.0010486413328028201, 1.5010598511620306, -0.0011940355932402447, 8.554503641312616E-5, 5.984922402429831E-5, 7.005041039094647, 0.1718912225260152, 4066.148486627873, 970.7214464886832, 5759.445227411626, 0.7059965545423298
6.0E-4, 0.20560413064553196, 1.4323944878270585E-4, -6.1440935210687435, 1.9027923714637496, 2.2484988640352817, -0.0012040526778956287, 1.5012232228121534, -0.001406727072591923, 1.3112530170831074E-4, 7.15490929879835E-5, 7.004731790123457, 0.20626946703121826, 4065.6099901146995, 970.5928899158192, 5758.682480752723, 0.7059965545423299
7.0E-4, 0.23977456097418065, 1.6711269024649017E-4, -5.447463949391955, 2.0151760449144964, 2.58610050478479, -0.0013420001892119138, 1.5013670245025548, -0.0016154210498813184, 1.8929741739291835E-4, 8.412344327648633E-5, 7.004699711934155, 0.24064771153642134, 4065.5541349526957, 970.5795554781241, 5758.603365406273, 0.7059965545423301
8.0E-4, 0.27375675012648243, 1.9098593171027449E-4, -4.704356595363894, 2.2816444142541465, 2.9607288201592326, -0.0014641499223538171, 1.5015009572597608, -0.0018206928681456847, 2.613836504587799E-4, 9.515929533308777E-5, 7.004731954732511, 0.2750259560416244, 4065.6102767364805, 970.5929583417291, 5758.682886734563, 0.70599655454233
9.0E-4, 0.30762804227373375, 2.148591731740588E-4, -3.8826929432298996, 2.542527026686122, 3.3722225534332897, -0.0015666166710776508, 1.5016169629168687, -0.0020229727110088343, 3.486759440014922E-4, 1.0768009592969153E-4, 7.004376028806584, 0.30940420054682743, 4064.990560271375, 970.4450119336237, 5757.805097089392, 0.7059965545423298
0.001, 0.3413813976984855, 2.38732414637843E-4, -3.093958850410498, 2.8881597656093208, 3.8208829247630733, -0.0016495348546807346, 1.5017185465690217, -0.0022225944863660013, 4.5256125045630585E-4, 1.2049838122896068E-4, 7.004473055555557, 0.3437824450520305, 4065.159491071464, 970.4853411914355, 5758.044377010804, 0.7059965545423299
0.0011, 0.3749587311062222, 2.626056561016274E-4, -2.221050724053308, 3.2737226101665717, 4.3064493517175375, -0.0017143423245073754, 1.5018060429858446, -0.0024198249427019227, 5.743077541275532E-4, 1.3117486406699413E-4, 7.004329578189301, 0.3781606895572336, 4064.9096879419344, 970.4257050871389, 5757.690546488653, 0.70599655454233
