This fits B3 to B6 into the virial expansion since maxPower is set to 4.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.068724123574798, 4.774648292756861E-5, -14.595797036190474, 1.1585381579105254, 1.1877929047328992, -4.884965326216887E-4, 1.5004895824531765, -5.213638970822166E-4, 8.976841372424441E-6, 2.3890523088103472E-5, 7.0049107921810725, 0.06875648901040608, 4065.921681342704, 970.6673007153022, 5759.123971898817, 0.70599655454233
3.0E-4, 0.10302253642878445, 7.161972439135293E-5, -8.44452964187347, 1.3152898003426614, 1.2948673700697877, -6.96897974002725E-4, 1.5007001921899898, -7.530065463303081E-4, 2.032579895456191E-5, 3.578277337302122E-5, 7.004782016460907, 0.10313473351560913, 4065.697446209929, 970.6137685206081, 5758.806356846262, 0.70599655454233
4.0E-4, 0.13729138102010993, 9.549296585513724E-5, -7.930833490000282, 1.46666599617474, 1.4234388160529337, -8.916931229987473E-4, 1.5008982230370658, -9.765371141186377E-4, 3.6826080504393214E-5, 4.8017910615497196E-5, 7.004827273662553, 0.13751297802081217, 4065.77625092257, 970.6325817599418, 5758.917978797014, 0.7059965545423298
5.0E-4, 0.17151812903986613, 1.1936620731892148E-4, -7.419963177879211, 1.6391954478984663, 1.580323307770678, -0.0010755673798344128, 1.5010865970048848, -0.0011940355932402447, 5.925606338843573E-5, 5.9212150017396124E-5, 7.004918045267482, 0.1718912225260152, 4065.934311273062, 970.6703158890733, 5759.141861405895, 0.7059965545423299
6.0E-4, 0.20564872190129593, 1.4323944878270585E-4, -6.916836687294201, 1.8450462519500772, 1.7704798173158816, -0.0012459702681945448, 1.5012639082711918, -0.001406727072591923, 8.858799694675491E-5, 7.21688074506232E-5, 7.004746162551443, 0.20626946703121826, 4065.6350158295086, 970.5988643651436, 5758.71792811383, 0.7059965545423299
7.0E-4, 0.2397261869607885, 1.6711269024649017E-4, -6.424662283090598, 2.0488996989419905, 1.9974919774223112, -0.0014058220046370856, 1.5014319684274693, -0.0016154210498813184, 1.2595965487052085E-4, 8.363939037371212E-5, 7.004571430041152, 0.24064771153642134, 4065.330773159566, 970.5262317779124, 5758.28698738475, 0.7059965545423298
8.0E-4, 0.2737602955477697, 1.9098593171027449E-4, -5.863312432073134, 2.271066126373717, 2.263791243379057, -0.001552725296209524, 1.5015889136930693, -0.0018206928681456847, 1.7263105244896043E-4, 9.533651948720031E-5, 7.004630997942384, 0.2750259560416244, 4065.4344905463263, 970.5509924800936, 5758.433896581536, 0.7059965545423297
9.0E-4, 0.30765230007565725, 2.148591731740588E-4, -5.262240364524921, 2.5388427286977167, 2.5706902151896345, -0.0016857745515740663, 1.501735316381531, -0.0020229727110088343, 2.2989778671808067E-4, 1.0730037271668738E-4, 7.004434969135808, 0.30940420054682743, 4065.0931792186075, 970.469510402684, 5757.95045041523, 0.7059965545423297
0.001, 0.3414497186103624, 2.38732414637843E-4, -4.612861608812638, 2.844090943236063, 2.919231522369863, -0.0018039787659350755, 1.5018704432044576, -0.0022225944863660013, 2.9916929702016065E-4, 1.1944642341076541E-4, 7.004446707818929, 0.3437824450520305, 4065.113617235753, 970.4743896198676, 5757.9793995892915, 0.7059965545423298
0.0011, 0.37492196932049554, 2.626056561016274E-4, -3.9084795486692627, 3.292451925246191, 3.309862060041384, -0.0019060224696264756, 1.5019987015701617, -0.0024198249427019227, 3.818256960850978E-4, 1.3197677699034935E-4, 7.004277572016463, 0.3781606895572336, 4064.8191444471577, 970.4040894200011, 5757.562297286596, 0.7059965545423298
