This fits B3 to B10 into the virial expansion since maxPower is set to 8.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06872559942289078, 4.774648292756861E-5, -14.67121840490677, 1.1619687163832364, 1.146623207920043, -4.900694821830108E-4, 1.5004911905154719, -5.213638970822166E-4, 7.211664864015724E-6, 2.4082750035190044E-5, 7.004997674897119, 0.06875648901040608, 4066.07297350512, 970.7034190585515, 5759.338267792251, 0.7059965545423299
3.0E-4, 0.10302677693038735, 7.161972439135293E-5, -8.521558160602865, 1.328325535492287, 1.2683348280812958, -7.004990790965115E-4, 1.5007039205282084, -7.530065463303081E-4, 1.6598742260826075E-5, 3.590872497297047E-5, 7.004984176954736, 0.10313473351560913, 4066.049468780844, 970.6978077189698, 5759.304974819184, 0.7059965545423299
4.0E-4, 0.13731852506797565, 9.549296585513724E-5, -7.957218980300315, 1.421277327318308, 1.438272629364513, -8.969439134145185E-4, 1.5009027728229962, -9.765371141186377E-4, 3.1626922245253715E-5, 4.7966278458865484E-5, 7.004884783950621, 0.13751297802081217, 4065.876392956342, 970.6564889094709, 5759.059823729724, 0.7059965545423298
5.0E-4, 0.17151963131790215, 1.1936620731892148E-4, -7.407764256030517, 1.627974036540006, 1.6421954556708265, -0.0010804282992903454, 1.5010915206010633, -0.0011940355932402447, 5.376704280918682E-5, 5.984025114071239E-5, 7.004908755144034, 0.1718912225260152, 4065.9181342180223, 970.6664539016618, 5759.118947618376, 0.7059965545423298
6.0E-4, 0.20562320565139233, 1.4323944878270585E-4, -6.857253734678148, 1.8734991221666788, 1.8633521969382407, -0.0012506386029965326, 1.5012690022672261, -0.001406727072591923, 8.406151138121978E-5, 7.202695821417044E-5, 7.004668034979424, 0.20626946703121826, 4065.4989789300867, 970.5663879476648, 5758.525240347087, 0.7059965545423301
7.0E-4, 0.23972813147621388, 1.6711269024649017E-4, -6.341986740364574, 2.0317957154331645, 2.091015225615239, -0.0014078380476631616, 1.5014335256734375, -0.0016154210498813184, 1.2315012700070695E-4, 8.443287521744985E-5, 7.004435185185185, 0.24064771153642134, 4065.0935553778054, 970.4696002040777, 5757.950983221225, 0.7059965545423298
8.0E-4, 0.27378477513901295, 1.9098593171027449E-4, -5.821564504603716, 2.2589138591316282, 2.32405055169781, -0.0015534461646222162, 1.5015889092097188, -0.0018206928681456847, 1.7147057090304368E-4, 9.57761326204247E-5, 7.004685534979422, 0.2750259560416244, 4065.529449928646, 970.5736623627273, 5758.568400612337, 0.70599655454233
9.0E-4, 0.30759880809769286, 2.148591731740588E-4, -5.283915481497099, 2.5888870089896034, 2.570463504313777, -0.0016857972778939623, 1.501737501790986, -0.0020229727110088343, 2.29414302670233E-4, 1.0776113044463913E-4, 7.004531543209872, 0.30940420054682743, 4065.261324696842, 970.5096521787134, 5758.188617977313, 0.7059965545423297
0.001, 0.3414469143398674, 2.38732414637843E-4, -4.726516913806125, 2.8462255481756484, 2.8459431239495077, -0.001805734544950233, 1.501871880648553, -0.0022225944863660013, 2.977176291692927E-4, 1.1914231224647575E-4, 7.004400092592592, 0.3437824450520305, 4065.032456679545, 970.4550139643106, 5757.864440733352, 0.7059965545423297
0.0011, 0.3750255826311073, 2.626056561016274E-4, -4.082952941819674, 3.2327689750920845, 3.169711757998469, -0.0019114718370258708, 1.502000951685134, -0.0024198249427019227, 3.775488873766143E-4, 1.3080421829943768E-4, 7.0043218518518495, 0.3781606895572336, 4064.896236192285, 970.422493718464, 5757.671492925909, 0.70599655454233
0.0012, 0.408361541040019, 2.864788975654117E-4, -3.3852061223528334, 3.678306058189435, 3.5603823265293144, -0.002000681187880892, 1.5021196178284708, -0.00261488210504646, 4.7055431276504876E-4, 1.4364660440051888E-4, 7.004003991769553, 0.41253893406243664, 4064.342859443361, 970.2903847509889, 5756.88766934297, 0.7059965545423299
0.0013, 0.44173494324453694, 3.10352139029196E-4, -2.6572726109321945, 4.083165445937679, 4.032775577771866, -0.002073103523353091, 1.5022214379888694, -0.002807947521593494, 5.789901430568468E-4, 1.5585385518355587E-4, 7.0040645884773625, 0.4469171785676397, 4064.4483510712002, 970.315569022027, 5757.037091641367, 0.7059965545423299
0.0014, 0.47477640574191365, 3.342253804929803E-4, -1.7604834547598047, 4.577608902017107, 4.594016807139271, -0.0021275566092326618, 1.5023144796031458, -0.002999174719602353, 7.05291723470098E-4, 1.6632638689959334E-4, 7.003887458847737, 0.48129542307284273, 4064.139994681006, 970.241954356427, 5756.600324084626, 0.70599655454233
0.0015, 0.50739998704375, 3.580986219567647E-4, -0.7177051600365194, 5.179815193714079, 5.243077241919368, -0.002157160416570047, 1.5023958606217602, -0.003188695233083918, 8.521563635541939E-4, 1.7937845295967698E-4, 7.003611224279836, 0.5156736675780458, 4063.659142432273, 970.1271593380029, 5755.9192269239675, 0.70599655454233
0.0016, 0.5395691397999047, 3.8197186342054886E-4, 0.3077640119718536, 5.9121067375419285, 5.970685645204601, -0.0021618245064033734, 1.5024669042649068, -0.0033766230161081877, 0.0010222357347037967, 1.9256277500101783E-4, 7.003384043209872, 0.5500519120832489, 4063.2637079385545, 970.0327563064864, 5755.359118675318, 0.7059965545423298
0.0017, 0.5716632114301492, 4.0584510488433315E-4, 1.4885302082313314, 6.5977194001491295, 6.761236931350107, -0.002142465767426713, 1.5025154246767667, -0.0035630577486152858, 0.0012178815740822321, 2.0271040710634103E-4, 7.003167520576135, 0.5844301565884519, 4062.8868495423153, 969.9427879915756, 5754.825322307877, 0.70599655454233
0.0018, 0.6028377769624896, 4.297183463481176E-4, 2.727195330554363, 7.531404736978862, 7.596550297576923, -0.002090752424228886, 1.5025610483696583, -0.003748087361811589, 0.0014410051804337415, 2.163297571489615E-4, 7.00281257201646, 0.618808401093655, 4062.269110751904, 969.7953137185253, 5753.95033391532, 0.7059965545423298
0.0019, 0.6337503464324241, 4.535915878119019E-4, 4.029305963229495, 8.482194846071412, 8.461384461496953, -0.0020122517821362543, 1.5025891380046785, -0.003931790000723226, 0.0016932207639326958, 2.263174546542761E-4, 7.002590565843621, 0.6531866455988581, 4061.882771598081, 969.703082039464, 5753.403108647239, 0.70599655454233
0.002, 0.663794593864056, 4.7746482927568624E-4, 5.436072191616557, 9.575554091073506, 9.348561395908863, -0.0018983672358455985, 1.5026094585086072, -0.004114235572503025, 0.001975603350986735, 2.402649856706914E-4, 7.00209227366255, 0.687564890104061, 4061.0157237311805, 969.4960896085922, 5752.174989527789, 0.7059965545423297
