This fits B3 to B12 into the virial expansion since maxPower is set to 10.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06872566795739099, 4.774648292756861E-5, -14.720988220269133, 1.1609833148523556, 1.1418718689506453, -4.92153968521577E-4, 1.5004932665655566, -5.213638970822166E-4, 5.317443420351753E-6, 2.3892485140287834E-5, 7.004992150205761, 0.06875648901040608, 4066.0633530391856, 970.701122341489, 5759.3246410034635, 0.7059965545423298
3.0E-4, 0.1030324655006971, 7.161972439135293E-5, -8.504894976402703, 1.3048131277849375, 1.318642421960084, -7.028754127360187E-4, 1.500706080891971, -7.530065463303081E-4, 1.4379121859651006E-5, 3.5752011734638495E-5, 7.004928528806585, 0.10313473351560913, 4065.9525664952607, 970.6746740023485, 5759.167718787325, 0.7059965545423298
4.0E-4, 0.13728136494723908, 9.549296585513724E-5, -7.899471213016494, 1.4946083342967345, 1.5106437295248532, -8.982327913131527E-4, 1.500905163612578, -9.765371141186377E-4, 3.0456703059183697E-5, 4.784761974630129E-5, 7.004892757201645, 0.13751297802081217, 4065.890276820681, 970.6598034379291, 5759.07948935592, 0.70599655454233
5.0E-4, 0.17146077960713876, 1.1936620731892148E-4, -7.38347493809693, 1.7061429510562114, 1.687188355032345, -0.0010800473801451304, 1.5010924818086495, -0.0011940355932402447, 5.3968244486323645E-5, 6.0019968608790535E-5, 7.004759927983544, 0.1718912225260152, 4065.658984720644, 970.6045865164007, 5758.751878550249, 0.7059965545423297
6.0E-4, 0.2056391282430276, 1.4323944878270585E-4, -6.855736706480388, 1.8551050885501958, 1.8592346131143134, -0.0012507677513911284, 1.5012688798856948, -0.001406727072591923, 8.486595619715028E-5, 7.109336500364431E-5, 7.004719732510287, 0.20626946703121826, 4065.5889951060485, 970.5878777267086, 5758.652742634999, 0.70599655454233
7.0E-4, 0.23973796080969786, 1.6711269024649017E-4, -6.373637779109692, 2.0505874159342152, 2.0548336885936753, -0.0014073846957570017, 1.5014334026719804, -0.0016154210498813184, 1.2351801889244268E-4, 8.451833523187384E-5, 7.0046743312757185, 0.24064771153642134, 4065.5099420231404, 970.5690051933415, 5758.540768883289, 0.7059965545423297
8.0E-4, 0.2737186220967845, 1.9098593171027449E-4, -5.843132813078336, 2.315707490493948, 2.295355831965188, -0.0015550865387978956, 1.5015928146365924, -0.0018206928681456847, 1.7095751237391937E-4, 9.46488169738697E-5, 7.004694002057619, 0.2750259560416244, 4065.5441928591604, 970.5771819781279, 5758.589283052089, 0.7059965545423299
9.0E-4, 0.3076014819877924, 2.148591731740588E-4, -5.2418359605218905, 2.588282623829363, 2.5850796972398977, -0.0016863737368601624, 1.501737592471618, -0.0020229727110088343, 2.2858865002307093E-4, 1.080103241256008E-4, 7.004480699588479, 0.30940420054682743, 4065.17280010127, 970.4885184882576, 5758.063228419809, 0.7059965545423299
0.001, 0.34137132228580824, 2.38732414637843E-4, -4.64880022021301, 2.880809032349153, 2.9149724533655474, -0.0018053657699960693, 1.5018738263470641, -0.0022225944863660013, 2.978453558023336E-4, 1.1938336056759877E-4, 7.004301306584358, 0.3437824450520305, 4064.860466504384, 970.4139543345005, 5757.620827398336, 0.7059965545423299
0.0011, 0.3748999182157906, 2.626056561016274E-4, -4.0203684411650995, 3.2978097507927533, 3.273610934399401, -0.00190833759720824, 1.502001471097535, -0.0024198249427019227, 3.7991546427862725E-4, 1.315718812150552E-4, 7.004223148148152, 0.3781606895572336, 4064.724393149556, 970.3814692139346, 5757.428087994791, 0.7059965545423298
