This fits B3 to B5 into the virial expansion since maxPower is set to 3.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
0.0018, 0.6030837341919716, 4.297183463481176E-4, 2.405084424993608, 7.450740669709171, 7.1840520594812185, -0.002064892786364024, 1.5025265749234524, -0.003748087361811589, 0.0014652324855591906, 2.1796208988837426E-4, 7.002831532921816, 0.618808401093655, 4062.302107997468, 969.8031912306352, 5753.99707245158, 0.7059965545423298
0.0019, 0.6340722277137738, 4.535915878119019E-4, 3.676000733614944, 8.38517691926353, 8.063368802695933, -0.0019954546017869794, 1.5025629614091232, -0.003931790000723226, 0.0017087509545635302, 2.2758444437271624E-4, 7.002748014403293, 0.6531866455988581, 4062.1567639009068, 969.7684928835098, 5753.791201621719, 0.7059965545423301
0.002, 0.6636995120268209, 4.7746482927568624E-4, 5.15648307466543, 9.603055287041538, 9.04461876139696, -0.0018893766800947482, 1.5026063443965825, -0.004114235572503025, 0.0019831628780736816, 2.4169601433459496E-4, 7.002219176954736, 0.687564890104061, 4061.236528707038, 969.5488029136428, 5752.487745977428, 0.7059965545423299
0.0021, 0.6945801629500613, 5.013380707394704E-4, 6.657763579657769, 10.401888534768773, 10.13767619884701, -0.00174925067069617, 1.5025703756177917, -0.0042954869843524115, 0.002292006163698276, 2.5423014995796557E-4, 7.001957870370372, 0.721943134609264, 4060.7818778813266, 969.4402630242037, 5751.843761495085, 0.7059965545423302
0.0022, 0.7256619293736184, 5.252113122032547E-4, 8.372575292153707, 11.142610059924094, 11.351949290383406, -0.0015714918850028305, 1.5024796591868697, -0.0044756011451519695, 0.0026386710078738873, 2.6543825227525147E-4, 7.001532613168724, 0.756321379114467, 4060.0420397281487, 969.2636396754542, 5750.795826985467, 0.7059965545423299
0.0023, 0.7568327739702226, 5.490845536670391E-4, 10.273910433322085, 11.882246760332146, 12.698201142527449, -0.0013494896474495702, 1.5023419752818767, -0.004654629784629776, 0.003027302858165863, 2.7783727901434203E-4, 7.00152243827161, 0.79069962361967, 4060.024339125031, 969.2594139677315, 5750.770755187307, 0.7059965545423298
0.0024, 0.7855760991700552, 5.729577951308231E-4, 12.346194410760694, 13.188904071415838, 14.186126958848202, -0.0010809487958988485, 1.5022301083685927, -0.004832620129818146, 0.003461534668544153, 2.9013666537514433E-4, 7.0008756584362155, 0.8250778681248729, 4058.8992841126387, 968.9908268680226, 5749.177185069784, 0.7059965545423299
0.0025, 0.8117753985368493, 5.968310365946075E-4, 14.695608981530821, 15.003714065588943, 15.827796316797109, -7.600022867957417E-4, 1.5021623133459958, -0.005009615468588517, 0.003946372589493391, 3.0324059229938497E-4, 7.0005515123456785, 0.8594561126300759, 4058.3355194567152, 968.8562379704265, 5748.378647665749, 0.7059965545423297
0.0026, 0.8363122848543629, 6.207042780583919E-4, 17.211345402728053, 17.06119397448122, 17.634012268297344, -3.792851525519633E-4, 1.5020827861588886, -0.005185655622889315, 0.004486178170161732, 3.201923001756188E-4, 6.999761286008238, 0.8938343571352789, 4056.961352744349, 968.5281798330684, 5746.43222639283, 0.7059965545423301
0.0027, 0.858624095317698, 6.445775195221761E-4, 19.897824447444464, 19.397578295378853, 19.617375998039776, 6.177892263609965E-5, 1.502030063498134, -0.005360777349080229, 0.005086451291838502, 3.361049798778263E-4, 6.999025596707816, 0.9282126016404819, 4055.6823022506524, 968.2228290202645, 5744.620531299609, 0.7059965545423299
0.0028, 0.8786316821050252, 6.684507609859605E-4, 22.870031973146695, 21.989793912865757, 21.790137105879232, 5.70765982723701E-4, 1.5019934203891205, -0.005535014678884134, 0.005752566527858671, 3.5321413374916465E-4, 6.9980913786008205, 0.9625908461456849, 4054.058482158158, 967.8351705286458, 5742.320491615213, 0.7059965545423299
0.0029, 0.8965722287263861, 6.923240024497446E-4, -11.954094788291584, 24.727892208044413, 24.16556742952226, 0.0011537425137948965, 1.5019691660245602, -0.005708399211575585, 0.006490641010660153, 3.7150071471032877E-4, 6.997206563786006, 0.9969690906508879, 4052.520932578999, 967.4681076049877, 5740.142648721691, 0.7059965545423301
