phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.0316582915e-03, 6.9754144697e-01, -1.0764715867e-01, -4.1255763999e+02, -1.9061511860e+02
2.0452261307e-03, 7.0220169369e-01, -1.0862819011e-01, -1.9107343955e+02, 3.1405968409e+01
2.0587939698e-03, 7.0686194041e-01, -1.0887113434e-01, 4.3219751716e+01, 2.6472726912e+02
2.0723618090e-03, 7.1152218712e-01, -1.0833412283e-01, 2.9055603515e+02, 5.0952789160e+02
2.0859296482e-03, 7.1618243384e-01, -1.0697452879e-01, 5.5116951210e+02, 7.6598685205e+02
2.0994974874e-03, 7.2084268055e-01, -1.0474896715e-01, 8.2529428388e+02, 1.0342830777e+03
2.1130653266e-03, 7.2548462963e-01, -1.0161329458e-01, 1.1131644518e+03, 1.3145954098e+03
2.1266331658e-03, 7.3012587494e-01, -9.7522609438e-02, 1.4150141173e+03, 1.6071026062e+03
2.1402010050e-03, 7.3476712026e-01, -9.2431251853e-02, 1.7310773816e+03, 1.9119833440e+03
2.1537688442e-03, 7.3940836558e-01, -8.6292803657e-02, 2.0615883461e+03, 2.2294162222e+03
2.1673366834e-03, 7.4404961089e-01, -7.9060088413e-02, 2.4067811122e+03, 2.5595797643e+03
2.1809045226e-03, 7.4869085621e-01, -7.0685171410e-02, 2.7668897810e+03, 2.9026524201e+03
2.1944723618e-03, 7.5333210153e-01, -6.1119359664e-02, 3.1421484541e+03, 3.2588125687e+03
2.2080402010e-03, 7.5796678534e-01, -5.0313201916e-02, 3.5327912327e+03, 3.6282385200e+03
2.2216080402e-03, 7.6259695812e-01, -3.8216488636e-02, 3.9390522182e+03, 4.0111085172e+03
2.2351758794e-03, 7.6722713089e-01, -2.4778252017e-02, 4.3611655118e+03, 4.4076007388e+03
2.2487437186e-03, 7.7185730367e-01, -9.9467659809e-03, 4.7993652150e+03, 4.8178933005e+03
2.2623115578e-03, 7.7648747645e-01, 6.3304538253e-03, 5.2538854291e+03, 5.2421642570e+03
2.2758793970e-03, 7.8111764922e-01, 2.4106650028e-02, 5.7249602553e+03, 5.6805916040e+03
2.2894472362e-03, 7.8574782200e-01, 4.3435823527e-02, 6.2128237951e+03, 6.1333532796e+03
2.3030150754e-03, 7.9037030359e-01, 6.4372733496e-02, 6.7177101498e+03, 6.6006271666e+03
2.3165829146e-03, 7.9496586601e-01, 8.6972897382e-02, 7.2398534207e+03, 7.0825910934e+03
2.3301507538e-03, 7.9956142844e-01, 1.1129259091e-01, 7.7794877092e+03, 7.5794228362e+03
2.3437185930e-03, 8.0415699087e-01, 1.3738884806e-01, 8.3368471165e+03, 8.0913001201e+03
2.3572864322e-03, 8.0875255330e-01, 1.6531946112e-01, 8.9121657441e+03, 8.6184006208e+03
2.3708542714e-03, 8.1334811573e-01, 1.9514298063e-01, 9.5056776932e+03, 9.1609019659e+03
2.3844221106e-03, 8.1794367815e-01, 2.2691871539e-01, 1.0117617065e+04, 9.7189817363e+03
2.3979899497e-03, 8.2253924058e-01, 2.6070673250e-01, 1.0748217961e+04, 1.0292817468e+04
2.4115577889e-03, 8.2708057036e-01, 2.9656785732e-01, 1.1397714483e+04, 1.0882586651e+04
2.4251256281e-03, 8.3161246836e-01, 3.3456367349e-01, 1.2066340732e+04, 1.1488466736e+04
2.4386934673e-03, 8.3614436637e-01, 3.7475652291e-01, 1.2754330809e+04, 1.2110635128e+04
2.4522613065e-03, 8.4067626438e-01, 4.1720950578e-01, 1.3461918815e+04, 1.2749269194e+04
2.4658291457e-03, 8.4520816238e-01, 4.6198648055e-01, 1.4189338853e+04, 1.3404546262e+04
2.4793969849e-03, 8.4974006039e-01, 5.0915206395e-01, 1.4936825022e+04, 1.4076643619e+04
2.4929648241e-03, 8.5427195840e-01, 5.5877163099e-01, 1.5704611426e+04, 1.4765738517e+04
2.5065326633e-03, 8.5877139251e-01, 6.1091131494e-01, 1.6492932164e+04, 1.5472008172e+04
2.5201005025e-03, 8.6323586550e-01, 6.6563800735e-01, 1.7302021338e+04, 1.6195629763e+04
2.5336683417e-03, 8.6770033849e-01, 7.2301935806e-01, 1.8132113050e+04, 1.6936780435e+04
2.5472361809e-03, 8.7216481148e-01, 7.8312377516e-01, 1.8983441401e+04, 1.7695637301e+04
2.5608040201e-03, 8.7662928447e-01, 8.4602042503e-01, 1.9856240492e+04, 1.8472377439e+04
2.5743718593e-03, 8.8109375746e-01, 9.1177923230e-01, 2.0750744425e+04, 1.9267177899e+04
2.5879396985e-03, 8.8555823046e-01, 9.8047087992e-01, 2.1667187301e+04, 2.0080215696e+04
2.6015075377e-03, 8.8999871743e-01, 1.0521668091e+00, 2.2605803221e+04, 2.0911667817e+04
2.6150753769e-03, 8.9424731628e-01, 1.1269392192e+00, 2.3566826286e+04, 2.1761711220e+04
2.6286432161e-03, 8.9849591513e-01, 1.2048610681e+00, 2.4550490599e+04, 2.2630522834e+04
2.6422110553e-03, 9.0274451398e-01, 1.2860060717e+00, 2.5557030260e+04, 2.3518279561e+04
2.6557788945e-03, 9.0699311283e-01, 1.3704487043e+00, 2.6586679370e+04, 2.4425158273e+04
