phi0, phi, rho, Z_fit_curve, F_ex_fit_per_V, mu_kT, PV_NkT, alpha
1.3999999999999996E-4, 0.035489942103252105, 3.342253804929801E-5, 1.0723087920907164, 2.948848136863545E-6, -13.591489142284805, -3.943925825677808, 6.328535205761317
1.467334669338677E-4, 0.03719714837439376, 3.503003486930433E-5, 1.0744696478180773, 3.2114992462646064E-6, -13.218417966309353, -3.398502152945452, 6.328567882472765
1.5346693386773545E-4, 0.03890435464553542, 3.663753168931065E-5, 1.0765475748354767, 3.4830586219367717E-6, -12.863521162279627, -2.9023446578903656, 6.328600559184212
1.6020040080160316E-4, 0.040611560916677066, 3.824502850931696E-5, 1.0785471496014303, 3.763302556575629E-6, -12.526148076509227, -2.450132014238907, 6.328633235895659
1.669338677354709E-4, 0.042318767187818726, 3.985252532932328E-5, 1.0804728805461785, 4.052017292263985E-6, -12.205664437416607, -2.037338778839402, 6.328665912607106
1.7366733466933862E-4, 0.04402597345896038, 4.14600221493296E-5, 1.08232920848944, 4.348998883415478E-6, -11.901452073836717, -1.6600833653756144, 6.328698589318554
1.8040080160320636E-4, 0.04573317973010203, 4.3067518969335916E-5, 1.0841205070581692, 4.6540530605240055E-6, -11.612908636324315, -1.315010014768121, 6.328731266030002
1.871342685370741E-4, 0.047440386001243694, 4.4675015789342234E-5, 1.0858510831043104, 4.966995094719049E-6, -11.339447321434163, -0.9991962000110797, 6.328763942741449
1.9386773547094184E-4, 0.049147592272385354, 4.628251260934855E-5, 1.0875251771225543, 5.287649663126805E-6, -11.080496598963089, -0.710079282280011, 6.328796619452897
2.0060120240480956E-4, 0.050854798543527, 4.7890009429354864E-5, 1.0891469636680935, 5.615850715037184E-6, -10.835499942139082, -0.44539789551677283, 6.3288292961643435
2.073346693386773E-4, 0.05256200481466866, 4.949750624936118E-5, 1.0907205517743783, 5.951441338876662E-6, -10.603915560742426, -0.20314471176429974, 6.328861972875791
2.1406813627254502E-4, 0.054269211085810315, 5.11050030693675E-5, 1.0922499853708725, 6.294273629986969E-6, -10.385216137144026, 0.01847191806346936, 6.328894649587239
2.2080160320641276E-4, 0.05597641735695197, 5.271249988937382E-5, 1.0937392437008067, 6.644208559209624E-6, -10.178888565245959, 0.22105934208637462, 6.328927326298686
2.2753507014028047E-4, 0.05768362362809362, 5.431999670938013E-5, 1.095192241738938, 7.001115842276366E-6, -9.984433692309373, 0.4060664497301966, 6.328960003010134
2.3426853707414822E-4, 0.059390829899235276, 5.592749352938645E-5, 1.0966128306093026, 7.364873810005334E-6, -9.801366063654775, 0.5748050916389336, 6.328992679721581
2.4100200400801596E-4, 0.06109803617037693, 5.7534990349392766E-5, 1.0980047980029726, 7.73536927930322E-6, -9.629213670219828, 0.7284679416689128, 6.3290253564330285
2.477354709418837E-4, 0.06280524244151858, 5.9142487169399084E-5, 1.099371868595811, 8.11249742497317E-6, -9.467517698959735, 0.8681434774447433, 6.329058033144476
