This fits B3 to B11 into the virial expansion since maxPower is set to 9.
Number of particles: 108
dryVolFracMax: 0.0036
dryVolFracIncrement: 1.4E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 49.90418802469545
Number of monomers: 2916666.666666667
Number of chains: 145.83333333333334
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.8E-4, 0.0709830367073538, 6.684507609859604E-5, -8.865168284947885, 1.0153572661562622, 1.0857260539905091, -6.658578950422781E-4, 1.5006659623675507, -7.074179436530934E-4, 7.172361819814544E-6, 3.438768679100073E-5, 6.3290441152263375, 0.07097706752230473, 3200.786985029665, 764.1316056775134, 4247.789324813007, 0.7535182986436287
4.2E-4, 0.10646613480991722, 1.0026761414789407E-4, -8.266978845479752, 1.325903380875281, 1.1899946481569832, -9.52552723005928E-4, 1.5009564311790882, -0.0010204718964694165, 1.6039057146286103E-5, 5.188011631720241E-5, 6.329599218106997, 0.1064656012834571, 3201.6292553077, 764.3326828947663, 4248.907108255759, 0.7535182986436287
5.6E-4, 0.14196219472977475, 1.336901521971921E-4, -7.543145410187739, 1.1090041722144828, 1.3256301433945576, -0.0012191371589374393, 1.5012208137962837, -0.001322168935242073, 3.1173684148252876E-5, 7.1858092156381E-5, 6.330258251028801, 0.14195413504460946, 3202.629412840716, 764.5714529176415, 4250.234425103694, 0.7535182986436286
7.0E-4, 0.1774390774090864, 1.6711269024649006E-4, -7.102398324276547, 1.4989556144547918, 1.4445128731015766, -0.001457500858806783, 1.5014673831972567, -0.001615421049881318, 5.337678123720914E-5, 1.0454340983732564E-4, 6.3308947530864135, 0.17744266880576182, 3203.59557493293, 764.8021071268473, 4251.516626337497, 0.7535182986436285
8.4E-4, 0.21293528769212805, 2.0053522829578812E-4, -7.0304385816664245, 1.802963906911327, 1.5244167222016958, -0.001694686909606866, 1.5017129349523732, -0.0019019433648426623, 8.189998495164863E-5, 1.2535647028414778E-4, 6.332045997942384, 0.21293120256691417, 3205.3435712807163, 765.2194105157324, 4253.83640589817, 0.7535182986436285
9.8E-4, 0.24841458424724708, 2.3395776634508613E-4, -6.79639286983343, 1.3888183769337217, 1.5823425522855146, -0.001927941341913539, 1.5019373000963447, -0.0021828691769168102, 1.1555334108536405E-4, 1.3937449391790744E-4, 6.3329123765432085, 0.24841973632806652, 3206.6594592561446, 765.5335556294993, 4255.582731074076, 0.7535182986436287
0.00112, 0.2839034914467661, 2.673803043943841E-4, -6.055424729278702, 1.941545432454948, 1.6666708087913453, -0.0021487774419291427, 1.5021766346945697, -0.002459003966355918, 1.5428515207447215E-4, 1.5594137235230306E-4, 6.334151512345678, 0.2839082700892189, 3208.5421305294954, 765.9830102885556, 4258.081238776864, 0.7535182986436283
0.00126, 0.3193791866971348, 3.0080284244368206E-4, -5.949234943118674, 1.4778680420265111, 1.834983618393397, -0.0023316266973770696, 1.5023478958211618, -0.0027309499902333227, 1.9995151646761E-4, 1.9937177638864342E-4, 6.335414032921804, 0.3193968038503712, 3210.461089012959, 766.4411278809027, 4260.627903518671, 0.7535182986436285
0.0014, 0.3548523282978562, 3.3422538049298007E-4, -5.005281206964885, 1.500095443069363, 2.1305063159880966, -0.0025446006943899493, 1.5025632087105865, -0.0029991747196023515, 2.5652290167147633E-4, 1.9805112354092616E-4, 6.336957541152266, 0.3548853376115236, 3212.8081718428216, 767.0014526322309, 4263.742735413379, 0.753518298643629
0.00154, 0.39031591820179923, 3.6764791854227823E-4, -1.8868411591986818, 3.015848750119335, 2.5633810039467555, -0.002663915158418184, 1.5027503140052632, -0.0032640516023416362, 3.2922533074356106E-4, 2.709111131798909E-4, 6.338748693415639, 0.39037387137267593, 3215.533259694813, 767.652019435237, 4267.359220715592, 0.7535182986436285
0.00168, 0.4257743203647265, 4.0107045659157624E-4, -2.1514980864337816, 3.872392485105341, 3.103950709849801, -0.0026683477848292924, 1.5028100382462928, -0.003525885873492983, 4.2335687790885667E-4, 4.341812107548343E-4, 6.341230936213994, 0.4258624051338283, 3219.3123306301027, 768.5542061647064, 4272.374455172528, 0.7535182986436286
0.00182, 0.46118281145211243, 4.344929946408742E-4, -3.3394865901908832, 4.029538335404753, 3.6883447945738688, -0.002805781161028975, 1.5029673778173027, -0.0037849317005278263, 5.424514821626839E-4, 4.366990573361676E-4, 6.343520524691358, 0.46135093889498063, 3222.8007205861695, 769.3869979221166, 4277.003924639091, 0.7535182986436285
0.00196, 0.49661558791675764, 4.6791553269017225E-4, 2.995011737537956, 2.8441097622690084, 4.239088310944889, -0.0028902389671094956, 1.502992584087675, -0.004041404021609224, 6.87917098236034E-4, 4.6324795626369466E-4, 6.346249259259254, 0.49683947265613304, 3226.961478550341, 770.3803057176269, 4282.525698923351, 0.7535182986436287
0.0021, 0.5320667224676933, 5.013380707394702E-4, 3.248829707361618, 5.308896184319028, 4.690453574343047, -0.0026044035061054327, 1.5028781048035016, -0.00429548698435241, 8.584765207870987E-4, 8.326069574598783E-4, 6.349796090534983, 0.5323280064172854, 3232.3750159077767, 771.6726925626997, 4289.710046492855, 0.7535182986436285
0.00224, 0.5674490121710913, 5.347606087887681E-4, -0.3814033097489862, 4.599230148719364, 5.014418323162634, -0.0026716406047367297, 1.5029104518430263, -0.004547340124455383, 0.0010505497037376615, 8.251498159809919E-4, 6.353542695473252, 0.5678165401784377, 3238.1000403089415, 773.0394414618504, 4297.307770942904, 0.7535182986436286
0.00238, 0.6029121187514644, 5.681831468380663E-4, 7.323705138394817, 5.221469103869331, 5.24094070421334, -0.0026274986844723645, 1.5029208260319915, -0.0047971029938343145, 0.001260583383231005, 9.09020926130945E-4, 6.357819516460904, 0.6033050739395901, 3244.6435228003616, 774.6015828371675, 4305.991677495937, 0.7535182986436283
