Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 31.97556621807948
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	phi, 	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter, 		softness
0.0021, 0.721031958854524-734.1273684033472, -692.6427527256166, 8.697422790977152, -706.7980291705667, 14.15527644495015, -0.026764118506774702, 1.5273304383870936, -0.0017045133669150486, 0.001953906287791204, 7.070580937500001, 0.7219431346092638, 9.275118422412481E-7, 0.39859683262649986, 0.13729369826564725, 0.005714524414248218
0.0022, 0.7552710092980539-671.8529308273469, -600.6574423181728, 9.987043832815374, -624.9580192097426, 24.300576891569733, -0.041945688597637025, 1.5426448744825296, -0.001642854437237066, 0.0025277150209395537, 7.077666874999998, 0.7563213791144668, 0.006917055044967023, 0.4801467990050589, 0.12704716209364908, 0.005714293310615879
0.0023, 0.7894588263229226-695.275244150385, -600.8309728409943, 11.583415263530306, -632.0399817902365, 31.209008949242218, -0.05884273299835955, 1.5596848401077779, -0.0014399535289564152, 0.003343965642105475, 7.087843749999996, 0.7906996236196698, 0.03576125243964561, 0.6792737992660214, 0.10840881754416228, 0.005714285740906958
0.0024, 0.8232483346175238-600.9531615261794, -481.7933640082183, 13.327383662573306, -551.1328371306505, 69.33947312243217, -0.07514263617242448, 1.5761388897344843, -0.0011606901840998686, 0.0043086150549735336, 7.104793125, 0.8250778681248728, 0.09160759445325413, 1.0232351391727388, 0.08959018871821876, 0.005714307252015639
0.0025, 0.8568607034116078-486.8514158268899, -350.8726843878135, 16.514182489247137, -498.3796454077969, 147.50696101998338, -0.08753613286543765, 1.588881452089462, -9.642526011065607E-4, 0.007013732866333412, 7.137023125, 0.8594561126300758, 0.19140870355787015, 1.355751686741152, 0.07889830744347949, 0.005714298757341765
0.0026, 0.889824319292591-336.1016371163447, -186.9665737763093, 20.77981264959795, -486.03675509964904, 299.07018132333974, -0.09838807898646568, 1.6002529380530086, -7.274459421216852E-4, 0.011912652280318372, 7.178129062499997, 0.8938343571352788, 0.3432516828106764, 1.8382638640139524, 0.06864858946036347, 0.005714291610465934
0.0027, 0.921056027021484635.967633380403356, 191.3845762121225, 26.618990760950794, -428.64609154073094, 620.0306677528534, -0.10358380394394107, 1.6063389953211369, -5.72570968746954E-4, 0.0222096400407499, 7.238218437499999, 0.9282126016404818, 0.5799504679562391, 2.2327421775004086, 0.06307826320437686, 0.005714385519101104
0.0028, 0.9490949499008849-455.0725419191422, -311.6728610937032, 34.00787969951844, -1308.377866891655, 996.7050057979518, -0.0966707509933232, 1.60090648989526, -5.175966478250248E-4, 0.043162094494285985, 7.329955624999997, 0.9625908461456847, 0.9414458876345696, 2.4130140631728962, 0.06141632763642034, 0.005715258205896085
0.0029, 0.9672384975198256-4403.06299573641, -4210.525759062289, 41.6032669016176, -4985.70676747894, 775.1810084166509, -0.12531191729748864, 1.6315163170878981, -5.513189278477208E-4, 0.07288180533349582, 7.427050000000003, 0.9969690906508877, 1.396804896217249, 2.374950638906159, 0.06263491118720493, 0.005714425158389134
0.003, 0.9735160729381832-10606.053279818829, -10059.381623904343, 45.74560221334585, -8438.247510129917, -1621.1341137744255, -0.3069015231482608, 1.8148097544019164, -0.0011063933337009482, 0.08520059268073707, 7.451046562499995, 1.0313473351560907, 1.7232179035637671, 1.4178769430661216, 0.08198459241676613, 0.005714306174388759
0.0031, 0.6356604871256271-7396.384529633006, -6435.62018271158, 4.370256954817362, -4671.755164165852, -1763.865018545728, -0.6317136591512413, 2.1321095464072037, -0.0062666258263169876, 0.0011583925589152963, 7.024812812499996, 1.0657255796612937, 0.8324033459277586, 0.012087115831584736, 0.897711901858317, 0.005714394722012553
0.0032, 0.6395905766109107-1178.9184338884359, -308.36796324462483, 4.023908968344095, -303.17525850153214, -5.192704743092695, -0.6600528708181157, 2.160397602922206, -0.006628090316567519, 0.0010569766900089758, 7.030596875000001, 1.1001038241664967, 0.9975337401184852, 0.010464030502565698, 0.9750904914348747, 0.0057170511004819725
0.0033, 0.6696933805562122-1168.9684444136717, -294.88028327722395, 3.837523913728532, -293.0366230572719, -1.8436602199520045, -0.6880028680278915, 2.188327319218207, -0.006993300229151755, 9.765202136768774E-4, 7.030669062500002, 1.1344820686716997, 1.1783907018925406, 0.009108376224840538, 1.0559141098812328, 0.005714291886280284
0.0034, 0.6566615058302608-1190.8145516267166, -306.0104290325422, 3.8647980043965298, -300.2650456711218, -5.745383361420389, -0.7158670026921795, 2.2162028981007116, -0.007089418640141211, 0.0010281314420459442, 7.028685312499995, 1.1688603131769026, 1.3768049497329897, 0.010041540257932937, 1.0157119592071209, 0.005714315817993533
0.0035, 0.5979278021988045-1195.994997193351, -301.31297696530834, 2.879636659545169, -299.38608041503716, -1.9268965502711877, -0.7448600746870367, 2.2450858723787794, -0.0075467861009521995, 7.626766852188319E-4, 7.024526250000003, 1.2032385576821056, 1.5568832369117842, 0.008175561798126523, 1.1366017117461482, 0.005714568481072379
