Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 0.001
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.04913684331933
Number of monomers: 2916666.666666667
Number of chains: 29166.66666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
#Minimum x-link fraction: 0.001
#Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 2.2592361271381374
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.0015, 0.017297358910457025, -7.501409756281237, 0.9816185408441406, 1.0, 1.0, -0.018381459155859377, -0.003006672447836785, 1.5030066724478368, -0.0031886952330839173, 0.0, 1.820227852471321E-4, 2.258742685185185, 0.017297212926912584, 187.03430239810072, 193.08515184498268, 0.9686622747059295
0.0025, 0.0288298498099931, -6.9074253005214175, 1.021946123299486, 1.0, 1.0, 0.021946123299486083, -0.004715751248835493, 1.5047157512488354, -0.005009615468588517, 0.0, 2.9386421975302433E-4, 2.2587663888888887, 0.028828688211520972, 187.04019078756735, 193.09123073297116, 0.9686622747059297
0.0035, 0.040359197158753336, -6.5391767302967745, 1.0152262330349833, 1.0, 1.0050154427094455, 0.015226233034983279, -0.006304725089684798, 1.5063047250896848, -0.006732317752748802, 0.0, 4.275926630640039E-4, 2.258716944444445, 0.040360163496129364, 187.02790811513884, 193.0785506970604, 0.9686622747059305
0.0045, 0.05189041048450108, -6.344050950444901, 0.9381632421082025, 1.010030885418891, 1.0320379488761275, -0.07186764331068868, -0.007837978149970181, 1.5078379834867266, -0.0083858510593413, 2.394697497007399E-6, 5.454728751175867E-4, 2.258724722222222, 0.051891638780737756, 187.0298401852725, 193.08054527265642, 0.968662274705929
0.0055, 0.06342375214829808, -6.006386253563107, 1.0768784405517524, 1.0562740979820064, 1.087068657813333, 0.020604342569746064, -0.009333786293655227, 1.509333815135011, -0.00998588721876166, 1.6361303789153343E-5, 6.357107799613696E-4, 2.258742314814815, 0.06342311406534615, 187.0342103929961, 193.08505686337028, 0.96866227470593
0.0065, 0.07495747809395467, -5.709066162532442, 1.1941518177127677, 1.1280948718232062, 1.127871972033387, 0.0660569458895614, -0.010705816337091518, 1.5107058803494504, -0.011542275114174435, 4.991648434935117E-5, 7.864782803745771E-4, 2.258763240740741, 0.07495458934995454, 187.0394087287245, 193.09042337331312, 0.9686622747059298
0.0075, 0.08648856349546313, -5.637539936872215, 1.127978345999503, 1.147355975600984, 1.120193940184499, -0.019377629601481025, -0.012059664594272376, 1.5120597701158436, -0.01306178867258147, 9.277459134655856E-5, 9.092439653913337E-4, 2.2587515740740742, 0.08648606463456292, 187.036510529668, 193.08743141302705, 0.9686622747059298
0.0085, 0.09801769625788857, -5.400459906506764, 1.102071300944494, 1.1126793681814786, 1.2144301235098134, -0.010608067236984535, -0.013397543380585072, 1.5133976402954852, -0.014549376251193227, 1.3204475450526396E-4, 0.0010196912012028275, 2.2587341666666663, 0.09801753991917131, 187.03218628832371, 193.08296727577613, 0.9686622747059288
0.0095, 0.10955211632540401, -5.08904450363331, 1.3378410758710355, 1.3294372750947927, 1.3582857799391306, 0.008403800776242813, -0.014638194261542815, 1.5146384793971883, -0.01600881251268785, 2.262267876609745E-4, 0.0011441063278385707, 2.258757314814815, 0.10954901520377971, 187.0379366238749, 193.08890364359098, 0.9686622747059297
0.0105, 0.1210846125709707, -4.886493052609248, 1.4276324819136978, 1.4218118926881838, 1.422843899649141, 0.00582058922551399, -0.01582738314568872, 1.5158277639158166, -0.017443072431788696, 3.507403053949596E-4, 0.0012645682105770011, 2.258760462962963, 0.1210804904883881, 187.0387186786145, 193.08971099901296, 0.9686622747059298
0.0115, 0.13260817770090916, -4.723972281242723, 1.4484994546974226, 1.464048467818497, 1.4742521687933496, -0.01554901312107442, -0.016971322832663716, 1.5169718782890678, -0.018854561434130442, 4.949275552353044E-4, 0.0013877555898274148, 2.258712962962963, 0.1326119657729965, 187.02691908438567, 193.07752966963022, 0.9686622747059298
0.0125, 0.14414291189332026, -4.532697818111069, 1.5588317787064825, 1.5248079104480712, 1.4941257174356861, 0.03402386825841121, -0.01808291376445535, 1.5180835185593327, -0.020245264854879076, 6.632533936337269E-4, 0.0014984929019125966, 2.258734722222222, 0.1441434410576049, 187.0323242949969, 193.08310974717867, 0.9686622747059305
0.0135, 0.15567518883359358, -4.3443101726182425, 1.4760835538913348, 1.505428157259145, 1.6226777436779534, -0.029344603367810113, -0.019135526622546393, 1.519136113854177, -0.021616849258292548, 8.369757495328564E-4, 0.001643759654582731, 2.2587350925925924, 0.1556749163422133, 187.03241629948303, 193.08320472815262, 0.9686622747059297
0.0145, 0.16721110475377857, -4.1153269266411625, 1.7100217565830764, 1.7773664528566968, 1.7751823325444156, -0.06734469627362039, -0.020157169079345144, 1.520158175213471, -0.022970733571724255, 0.0010845565235508912, 0.0017280018347024936, 2.258761388888889, 0.16720639162682172, 187.0389486951293, 193.08994845691825, 0.9686622747059305
0.0155, 0.1787470189473934, -3.7481093926941234, 1.8927431160285466, 1.8266096917394925, 1.8880017809293657, 0.06613342428905417, -0.02110045049098875, 1.521101498440264, -0.02430814050443357, 0.0013566920528471026, 0.0018499500113224436, 2.258777314814815, 0.1787378669114301, 187.0429050086992, 193.0940327633616, 0.9686622747059298
0.0165, 0.1902809620046005, -3.5999263249130404, 2.0087512163337933, 2.0027235276508177, 1.9656514740325113, 0.006027688682975331, -0.02194675949063444, 1.5219482500158166, -0.025630134643279998, 0.0016836031813558814, 0.0019982814461074953, 2.258788333333333, 0.1902693421960385, 187.04564225829756, 193.09685856722524, 0.9686622747059296
0.0175, 0.2018012519878611, -3.3046330851234718, 2.083879772022942, 1.9893505433021297, 2.0627223808794035, 0.0945292287208124, -0.022819288699118402, 1.5228207775449958, -0.026937651280455093, 0.002021829781927472, 0.002095043953531902, 2.2587380555555554, 0.2018008174806469, 187.0331523364594, 193.08396457706544, 0.9686622747059299
0.0185, 0.2133292613978, -3.189069578929413, 2.19060095761246, 2.1926285352167985, 2.1396384356662708, -0.0020275776043387483, -0.0235246055624417, 1.5235265872063628, -0.028231518631514057, 0.0024220820023016275, 0.0022828494228496004, 2.2587239814814817, 0.2133322927652553, 187.02965617802002, 193.08035531248413, 0.9686622747059297
