Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 5.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.164093606817634
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.498680648148147
Dry volume fraction: 0.020250000000000015
Reservoir volume fraction: 0.8723741459669347
Actual volume fraction: 0.0
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00825, 0.35531126949232905, -0.6532983568984022, 4.190315926710218, 4.205826887995878, 4.417449969723007, -0.015510961285659616, -0.009955297387839915, -0.009953342451166351, 1.5099572523245135, -0.014180250097584531, 0.0032563557615169127, 9.685969482277031E-4, 3.504929259259259, 0.35541168909764, 658.5334253507144, 721.4169988207149, 0.9128332523730451
0.00875, 0.37686247583844745, 0.20564376254407926, 4.833331750120876, 4.8233655901165395, 4.967646324446835, 0.00996616000433611, -0.009967068699747436, -0.0099646058244806, 1.5099695315750143, -0.014916746766229325, 0.003910091305840185, 0.0010395867606417045, 3.505019166666666, 0.37695179146719393, 658.5841041639162, 721.4725169704644, 0.9128332523730454
0.00925, 0.39841548606071575, 0.882459925877982, 5.418598809992781, 5.330405092498069, 5.280700465660705, 0.08819371749471173, -0.009906203555852556, -0.009903263368013959, 1.5099091437436911, -0.015646418791816046, 0.004650429126791375, 0.0010897861091721144, 3.5050990740740753, 0.3984918938367479, 658.6291483810172, 721.5218624746775, 0.9128332523730457
0.00975, 0.41990974847610757, 1.55253497612378, 5.518484650325999, 5.465071789769187, 5.691099212403926, 0.05341286055681191, -0.009756396910821453, -0.009753244356292205, 1.5097595494653506, -0.01636963544423861, 0.005434782359136961, 0.0011784561742801982, 3.5049906481481474, 0.4200319962063018, 658.5680286254441, 721.4549063735342, 0.9128332523730452
0.01025, 0.4414087392133853, 2.2773956684620402, 6.021168829898319, 6.146104675539641, 6.2995550644514475, -0.1249358456413222, -0.00953556313219282, -0.009531670740057757, 1.5095394555243278, -0.017086728066834898, 0.006327760144370346, 0.0012234047902717306, 3.5049463888888885, 0.4415720985758558, 658.5430807428535, 721.427576209426, 0.9128332523730455
0.01075, 0.4629163041861738, 3.308274277628738, 6.735074403553597, 6.704034949731011, 6.867372743125577, 0.03103945382258551, -0.009212708743803746, -0.009208152827702909, 1.5092172646599047, -0.017797995636172695, 0.007317300389288966, 0.0012679865030799835, 3.5049200925925934, 0.4631122009454097, 658.5282584499035, 721.4113385308453, 0.9128332523730452
0.01125, 0.4844303259161479, 4.393154494193587, 7.239894399254105, 7.296014487670423, 7.705977255337076, -0.05612008841631739, -0.008745770825610245, -0.00874058388175399, 1.5087509577694664, -0.01850370928538408, 0.008409171312897349, 0.0013487671468764859, 3.5049025000000005, 0.4846523033149637, 658.518342251327, 721.4004754312037, 0.9128332523730455
0.01175, 0.5059348475536962, 5.538617844737882, 8.387686725997705, 8.395762889122402, 8.457374661369872, -0.0080761631246962, -0.008163920363527819, -0.008157521438071436, 1.5081703192889842, -0.019204116021887978, 0.009665716426441805, 0.0013744792319183544, 3.5049129629629627, 0.5061924056845176, 658.5242397679569, 721.4069361036372, 0.9128332523730455
0.01225, 0.5274573771218156, 6.035343411289329, 8.952025383928635, 8.833699748048051, 8.45571037824558, 0.11832563588058415, -0.007423523213779724, -0.007416511085129397, 1.50743053534243, -0.019899441811258127, 0.01101210253661774, 0.001463816060860663, 3.5049250925925923, 0.5277325080540716, 658.5310767560861, 721.4144259580125, 0.9128332523730454
0.01275, 0.5489873583298425, 6.870464125792692, 8.43184279090332, 8.397463855302188, 9.045095050802477, 0.03437893560113065, -0.006723088257782121, -0.006716323434791501, 1.5067298530807727, -0.020589894156836635, 0.012344583313727144, 0.0015222225853273711, 3.5049010185185194, 0.5492726104236255, 658.5175072075705, 721.3995606488442, 0.9128332523730455
0.01325, 0.5704844293817424, 8.732452378039046, 9.943453885384312, 9.982822868079309, 10.60036952643084, -0.03936898269499632, -0.005783320723346558, -0.00577469927338899, 1.5057919421733041, -0.021275664274136418, 0.013900930116928119, 0.0015914134338617426, 3.504928703703704, 0.5708127127931795, 658.5331122044414, 721.4166557720011, 0.9128332523730452
0.01375, 0.5919534568040126, 10.269476882749535, 11.394778909393324, 11.556890632634396, 11.8448384509335, -0.16211172324107126, -0.0046383688158628845, -0.004627517604453797, 1.5046492200272719, -0.0219569289366085, 0.015685629513465138, 0.0016329306072804756, 3.504915833333335, 0.5923528151627334, 658.5258576769049, 721.4087085072432, 0.9128332523730452
0.01425, 0.6134584689304616, 12.298823994485188, 12.786450911558356, 12.516673201328373, 13.008594731380743, 0.2697777102299831, -0.0033316637100602522, -0.0033196316879661215, 1.5033436957321544, -0.022633852052613486, 0.017630717642201536, 0.001671470700351698, 3.5049245370370383, 0.6138929175322874, 658.5307636105584, 721.4140829101153, 0.9128332523730455
