Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 3.0E-5
Maximum x-link fraction: 1.0E-4
x-link fraction increment: 3.0E-6
Reservoir swelling ratio: 7.0053187131881725
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00165, 0.5556858813572894, 1.135994969792798, 6.213376199190281, 6.223238907669185, 6.524980319564609, -0.009862708478904346, -0.00211864063565957, -0.0021186164028538703, 1.5021186648684652, -0.0034700212679412913, 0.0011551263193519043, 1.9625431292981691E-4, 7.003208323045267, 0.5672410343358504, 4062.9578645997035, 5754.925910698758, 0.7059965545423299
0.00175, 0.5870880998173474, 2.463029669812372, 7.1563713170989, 7.143281665258142, 7.416146724023048, 0.013089651840758307, -0.0020745628201455225, -0.0020745320433494417, 1.5020745935969415, -0.0036557431015747576, 0.0013717940216449488, 2.0938625978428614E-4, 7.00301869341564, 0.6016192788410534, 4062.6278288656717, 5754.45843570627, 0.7059965545423298
0.00185, 0.6182829234252136, 3.8585855642203173, 8.070748923752218, 8.040056449374099, 8.359156278944347, 0.03069247437812004, -0.0020010396315797785, -0.0020010018420420464, 1.5020010774211174, -0.0038401000065966108, 0.0016182512189878116, 2.2080915602902076E-4, 7.0028439917695495, 0.6359975233462565, 4062.3237899527826, 5754.027783586323, 0.7059965545423299
0.00195, 0.6487318682887497, 5.310283565225452, 9.122383687298287, 9.058799700372653, 9.307749159538886, 0.06358398692563319, -0.0018903289303789145, -0.0018902824989425516, 1.5018903753618154, -0.004023165836985632, 0.0018981139290072866, 2.3472297759943137E-4, 7.0023247839506215, 0.6703757678514595, 4061.420285362094, 5752.748025795896, 0.7059965545423301
0.00205, 0.679301127085403, 6.492294939671216, 10.001502078106586, 9.96997039821144, 10.031832569175512, 0.031531679895145104, -0.0017474922679921933, -0.0017474374521427478, 1.5017475470838417, -0.004205006861409398, 0.0022095953740933127, 2.479192193238919E-4, 7.002020802469136, 0.7047540123566626, 4060.8913711806836, 5751.998851911115, 0.7059965545423298
0.00215, 0.7110507627885571, 7.601129808865923, 10.522885651576672, 10.53125427175967, 10.688804483411241, -0.008368620182997758, -0.0015803446808811627, -0.0015802846765958782, 1.5015804046851664, -0.004385682875181464, 0.002544922448975431, 2.6041574532487046E-4, 7.001898384773661, 0.7391322568618656, 4060.6783828366133, 5751.697167231919, 0.7059965545423298
0.00225, 0.7421702007967954, 9.175324719986865, 11.291062300655062, 11.289668847237715, 11.751884028100179, 0.0013934534173471193, -0.0013845650533429437, -0.001384498952024204, 1.5013846311546617, -0.00456524810492825, 0.0029089386839467723, 2.7174436763853385E-4, 7.001650041152263, 0.7735105013670686, 4060.2463252349107, 5751.085184639477, 0.70599655454233
0.00235, 0.7706076712772603, 11.10397453004264, 12.74555636798455, 12.671417824395503, 13.066166616634744, 0.0741385435890465, -0.0011422551957834116, -0.0011421764592259658, 1.5011423339323409, -0.004743751952133536, 0.003316859423624249, 2.846373327258752E-4, 7.001131965020577, 0.8078887458722716, 4059.3450972151204, 5749.808651469463, 0.7059965545423298
0.00245, 0.7993801588671336, 13.284203395300372, 13.989897469482447, 13.957571486507835, 14.71291342852871, 0.03232598297461126, -8.543893230161062E-4, -8.542994474678967E-4, 1.5008544791985643, -0.004921239609912074, 0.003767341610702674, 2.995086761932937E-4, 7.00066622427984, 0.8422669903774745, 4058.535023943408, 5748.661233303608, 0.7059965545423298
0.00255, 0.82425771547541, 16.00646360679566, 16.06039777707632, 15.99713583938667, 16.77789994084688, 0.06326193768965081, -5.079812051633536E-4, -5.078700837942507E-4, 1.5005080923265324, -0.005097752578932284, 0.0042791409011963275, 3.106304725726031E-4, 7.000037572016459, 0.8766452348826775, 4057.441765941816, 5747.112701664808, 0.70599655454233
