Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 3.5055745959281923
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00615, 0.26491099227232406, -3.4123638863963994, 2.8821228893401423, 2.9147632443755014, 2.7975451987688302, -0.032640355035359045, -0.009069428118572415, -0.009068578712149286, 1.5090702775249956, -0.011002033243017245, 0.0011900141882690933, 7.425909361757372E-4, 3.505038425925926, 0.2649431861680608, 658.5949605197006, 721.4844100032348, 0.9128332523730455
0.00625, 0.26922279199955157, -3.456130266288125, 2.651317039510611, 2.711461514859292, 2.7476456566349343, -0.060144475348680934, -0.009166711146410565, -0.00916592732238082, 1.5091674949704403, -0.011156861803155095, 0.0012502221464688013, 7.399285102757293E-4, 3.505044629629629, 0.2692512054553463, 658.5984575443237, 721.4882409598899, 0.9128332523730452
0.00635, 0.2735334655247759, -2.3818653445223137, 3.540054506612509, 2.811213182648296, 2.9808555686897025, 0.7288413239642128, -0.009234446183327194, -0.009233592078819172, 1.5092353002878351, -0.011311308375130386, 0.0013134652304640543, 7.633969613391372E-4, 3.50506925925926, 0.2735592247426319, 658.6123413761572, 721.5034505633935, 0.9128332523730455
0.00645, 0.27783054503863586, -3.102081935887814, 2.988826595331789, 3.17902099697754, 3.115098720899637, -0.19019440164575094, -0.009280436839418567, -0.009279418131271807, 1.5092814555475653, -0.011465378975006083, 0.0013861700166978865, 7.987721188896281E-4, 3.5050424999999987, 0.2778672440299174, 658.5972570717885, 721.4869258538373, 0.9128332523730452
0.00655, 0.2821462741658869, -3.321059538782375, 2.769508453054984, 3.0849597160927154, 2.9946708963541164, -0.31545126303773147, -0.00938255968551898, -0.009381529790892634, 1.5093835895801453, -0.011619079432277777, 0.0014574357714532509, 7.79083975305547E-4, 3.5050684259259266, 0.282175263317203, 658.6118716192592, 721.5029359492547, 0.9128332523730454
0.00665, 0.2864494990293319, -2.898634804609925, 2.9375036083994233, 2.936213522662733, 3.0456789412958063, 0.0012900857366901983, -0.009439005751988479, -0.009438048486355106, 1.5094399630176218, -0.011772415398420118, 0.0015259103922136694, 8.074992542179689E-4, 3.505047222222224, 0.2864832826044885, 658.5999189911191, 721.4898419607205, 0.9128332523730456
0.00675, 0.29077786075615725, -2.8952682598767012, 2.9734875096791478, 3.1842603527508584, 3.2238820642746338, -0.21077284307171062, -0.009520959302730544, -0.009519906770329194, 1.5095220118351318, -0.011925392354919078, 0.0016010017879702055, 8.034312642183285E-4, 3.5051455555555555, 0.29079130189177405, 658.6553511763394, 721.5505673835469, 0.9128332523730455
0.00685, 0.2950619075881349, -2.2955860848784346, 3.5395419515010857, 3.2958631884317366, 3.3172770226197126, 0.2436787630693493, -0.009577244628529413, -0.009576105004656832, 1.509578384252402, -0.012078015620828133, 0.0016795300292424163, 8.212409630563045E-4, 3.505062129629629, 0.2950993211790596, 658.6083223521387, 721.4990477614491, 0.9128332523730452
0.00695, 0.29936874505769784, -2.735616759644842, 3.105455233504237, 3.372207107733683, 3.335546353069824, -0.26675187422944585, -0.009630565464540957, -0.009629395969368033, 1.509631734959714, -0.012230290359883128, 0.0017606809888857315, 8.390439064564405E-4, 3.505058148148148, 0.29940734046634515, 658.606077969218, 721.4965890616647, 0.9128332523730452
0.00705, 0.3036598092502012, -2.573622914440614, 3.2741732551580753, 3.333018074776237, 3.2532259139216855, -0.05884481961816165, -0.009707860707440166, -0.009706671615113151, 1.5097090497997672, -0.012382221587207578, 0.0018417112321326653, 8.32649647634747E-4, 3.504992962962963, 0.30371535975363073, 658.5693334483576, 721.456335794417, 0.9128332523730454
0.00715, 0.30798150749790226, -2.474425876873177, 3.253967072840653, 3.2065262080284818, 3.192171857087342, 0.047440864812171135, -0.009753446907087295, -0.009752307406790877, 1.5097545864073838, -0.012533814175637476, 0.001920511728669448, 8.598555398807334E-4, 3.5050423148148138, 0.30802337904091626, 658.5971526829416, 721.4868114968649, 0.9128332523730455
0.00725, 0.3122609704776839, -2.8453193209191068, 2.6917425629706506, 3.2086780125521757, 3.348761909946526, -0.516935449581525, -0.009826005840325825, -0.009824827866200037, 1.5098271838144517, -0.012685072861692175, 0.002000100336076332, 8.589666852900175E-4, 3.504940833333333, 0.31233139832820184, 658.5399492539808, 721.4241456936508, 0.9128332523730451
0.00735, 0.31659537916740565, -1.9276457028359142, 3.787526762473123, 3.519310331651957, 3.4401152134801603, 0.2682164308211659, -0.00988930089746704, -0.009887978766595952, 1.5098906230283382, -0.012836002251215829, 0.0020878320307884976, 8.588693229602898E-4, 3.5050492592592604, 0.31663941761548736, 658.601067272259, 721.4910998916044, 0.9128332523730454
0.00745, 0.3209017669366597, -1.7633042053742285, 3.6841590275944474, 3.3951964263512515, 3.5242204259245686, 0.288962601243196, -0.009918044142966681, -0.009916760168958882, 1.5099193281169745, -0.012986606824711729, 0.002173419011397886, 8.951436703471624E-4, 3.505040092592593, 0.32094743690277294, 658.5959000176371, 721.4854392141385, 0.9128332523730451
0.00755, 0.32518292672139393, -2.292528432428252, 3.124811327457081, 3.685394713099859, 3.8014441366238714, -0.5605833856427783, -0.00997349247160505, -0.009972000438435014, 1.5099749845047752, -0.013136890942390215, 0.0022667014973582547, 8.966969734269092E-4, 3.5049642592592596, 0.32525545619005847, 658.5531537660512, 721.4386111089235, 0.9128332523730452
0.00765, 0.3295017707658194, -1.7035697244833623, 3.9001656624966543, 3.9530617020432035, 3.8399576509163116, -0.05289603954654908, -0.010027504312626582, -0.010025812605432467, 1.5100291960198207, -0.013286858848949095, 0.002367223188817437, 8.921313475050752E-4, 3.5050258333333337, 0.329563475477344, 658.5878621197251, 721.4766337747102, 0.9128332523730451
0.00775, 0.3338140817080661, -0.47137339155621044, 4.950377853570334, 3.76545571354164, 3.7782588660889984, 1.184922140028694, -0.010054831934371018, -0.010053245164607746, 1.5100564187041343, -0.01343651467810408, 0.0024641876747956877, 9.174950689373737E-4, 3.505035185185186, 0.3338714947646296, 658.5931337207156, 721.4824087626138, 0.9128332523730452
0.00785, 0.3381364264102966, -1.7777082655362562, 3.6804029425810496, 3.826745318165926, 3.7313855554061712, -0.14634237558487614, -0.010050010734219031, -0.01004837875066706, 1.510051642717771, -0.013585862456885343, 0.0025634672183302487, 9.723845043360629E-4, 3.5050895370370374, 0.3381795140519151, 658.6237721961857, 721.5159729161877, 0.9128332523730452
0.00795, 0.3424489076603081, -2.0047031535449524, 3.1691302849067293, 3.672035287145391, 3.840759436634735, -0.502905002238662, -0.010139711251721643, -0.010138145213783681, 1.5101412772896596, -0.013734906109715127, 0.002659912995294547, 9.352818626989385E-4, 3.5050948148148158, 0.3424875333392006, 658.6267473628168, 721.5192321824595, 0.9128332523730451
0.00805, 0.34670058426527023, -0.8340140828203564, 4.436968360376085, 4.0430940928806045, 4.051432668457604, 0.39387426749548066, -0.010145728259114608, -0.010143938163088093, 1.5101475183551412, -0.013883649462280165, 0.0027660195404689476, 9.7190166269661E-4, 3.504924722222223, 0.34679555262648615, 658.5308679923899, 721.4141972594023, 0.9128332523730454
0.00815, 0.3510437546911148, -0.6425810946311182, 4.448197360574671, 4.097573655126252, 4.238713052110899, 0.3506237054484194, -0.010179532490888377, -0.010177683264578602, 1.510181381717198, -0.014032096245211644, 0.002874329155475582, 9.782345988476842E-4, 3.505048425925926, 0.3511035719137717, 658.6005975207215, 721.4905852833381, 0.9128332523730454
0.00825, 0.3553341694355571, -1.037804053734095, 4.2378651901625, 4.417859487808839, 4.309104837880364, -0.17999429764633823, -0.010176409246378991, -0.010174368887330636, 1.5101784496054274, -0.014180250097584534, 0.002991192382715801, 0.0010126484684897408, 3.5050164814814813, 0.35541159120105714, 658.5825905468654, 721.4708588176234, 0.9128332523730454
0.00835, 0.35966940212242265, -1.3543699020071296, 3.6874637428399337, 4.2417787878041535, 4.331404592929783, -0.5543150449642199, -0.010229083984422153, -0.010227100942066006, 1.5102310670267782, -0.014328114570247252, 0.003104841027855476, 9.941895579696231E-4, 3.5050960185185196, 0.35971961048834267, 658.6274259108471, 721.5199755252644, 0.9128332523730454
0.00845, 0.3639518262894217, -0.024927714604578703, 4.96816300225146, 4.459854096112883, 4.543439663100281, 0.5083089061385769, -0.010241075645782787, -0.010238901475892202, 1.5102432498156733, -0.014475693128991772, 0.00322462268500594, 0.0010099947982030448, 3.505033981481482, 0.3640276297756282, 658.5924551962382, 721.4816654456106, 0.9128332523730455
0.00855, 0.36822539866967546, -0.6937305096181307, 4.491694300309451, 4.667970248976598, 4.494553308122672, -0.1762759486671469, -0.010230274195121944, -0.010227936617572795, 1.510232611772671, -0.014622989157573681, 0.0033503502396489047, 0.0010423647228028322, 3.5049357407407418, 0.3683356490629137, 658.5370787312362, 721.4210010637446, 0.9128332523730454
0.00865, 0.3725633240518152, -0.8273618839889966, 3.7103187687396346, 4.364036604098981, 4.801691921244146, -0.6537178353593467, -0.010274198837716603, -0.010272052484280316, 1.510276345191153, -0.014770005960590908, 0.003469846080711438, 0.0010259610421628675, 3.5050166666666676, 0.3726436683501992, 658.5826949341744, 721.4709731729108, 0.9128332523730454
0.00875, 0.37684481046414836, 0.49966650410748414, 5.562378714731365, 5.278237834968526, 5.13188393305983, 0.2841408797628382, -0.010269777815190746, -0.010267006593175853, 1.5102725490372055, -0.014916746766229321, 0.003612095313107815, 0.0010348736379307611, 3.5049935185185186, 0.3769516876374847, 658.5696466061132, 721.4566788557098, 0.9128332523730452
0.00885, 0.3811840694801514, 0.2959484111522927, 5.077294191102139, 5.034424177836485, 5.104685006221524, 0.04287001326565435, -0.010250341519508757, -0.01024767169752398, 1.5102530113414936, -0.015063214728882815, 0.0037496911849652956, 0.0010631820244087627, 3.5050768518518525, 0.38125970692477024, 658.6166213937373, 721.5081392812607, 0.9128332523730452
0.00895, 0.3854483970643502, 0.603254211110507, 5.4097864410738445, 5.220532548480482, 5.21388202377824, 0.18925389259336253, -0.010255647319430222, -0.010252871041204807, 1.5102584235976557, -0.015209412931654936, 0.0038928183695214414, 0.0010609472427032716, 3.5049621296296305, 0.38556772621205576, 658.5519533485696, 721.4372960631815, 0.9128332523730452
0.00905, 0.3897512680812614, 0.37802875094053257, 5.240253547638543, 5.254388287327212, 5.123220228664528, -0.014134739688669743, -0.010221538252616985, -0.010218667847653604, 1.5102244086575805, -0.015355344388748719, 0.004037879585698589, 0.0010959265504331464, 3.504947407407407, 0.3898757454993413, 658.5436548502236, 721.4282051384977, 0.9128332523730456
0.00915, 0.394084170643464, 0.48372402626950506, 5.298365370072924, 5.039061985331374, 4.911123531262814, 0.25930338474154974, -0.01023759777612731, -0.010234862034549149, 1.5102403335177055, -0.015501012047750859, 0.004178922541747217, 0.0010844917298763314, 3.505013888888889, 0.39418376478662676, 658.5811291257065, 721.4692578448773, 0.9128332523730451
0.00925, 0.39839570665539, 1.0313194086553688, 5.5775579257503916, 4.827327831132292, 4.899393605027031, 0.7502300946180993, -0.010198442131655053, -0.010195845320878198, 1.5102010389424319, -0.01564641879181604, 0.004315964547830159, 0.001132012112330826, 3.5050175000000006, 0.3984917840739123, 658.5831646771984, 721.4714877718508, 0.9128332523730454
0.00935, 0.40267140738323076, 0.06765624893712444, 4.282382278571015, 5.012835896015091, 5.3625017019630565, -0.7304536174440762, -0.010188355901589076, -0.010185540185034814, 1.5101911716181433, -0.015791567441756776, 0.0044584230243230275, 0.0011447885158446724, 3.504935555555556, 0.4027998033611978, 658.5369743487477, 721.420886713738, 0.9128332523730452
0.00945, 0.4069941299229024, 0.7404237133987053, 5.251247074837881, 5.755085538884469, 5.763392296824977, -0.5038384640465883, -0.010195211783720234, -0.010191941855710023, 1.5101984817117304, -0.015936460758043863, 0.004619625998283102, 0.0011216229760405297, 3.5050224999999995, 0.40710782264848333, 658.5859831400335, 721.4745753706295, 0.9128332523730452
0.00955, 0.4112954844511143, 1.493958535038887, 6.037729882437684, 5.822017420256417, 5.731541903913567, 0.21571246218126752, -0.010153003273398117, -0.010149592011955474, 1.5101564145348407, -0.01608110144272213, 0.004783628115698219, 0.0011444700536257938, 3.5050103703703703, 0.4114158419357688, 658.5791457718772, 721.4670850999382, 0.9128332523730451
0.00965, 0.4156012771578849, 1.551454346228809, 5.990217450332514, 5.69155871657866, 5.647301753977406, 0.2986587337538538, -0.010123880518032504, -0.010120470329766759, 1.5101272907062981, -0.016225492141245933, 0.004945721176541862, 0.001155890446671568, 3.505002129629629, 0.4157238612230543, 658.5745005640196, 721.4619963196536, 0.9128332523730455
0.00975, 0.41989815538809333, 1.0750909945928397, 5.386439668201253, 5.651661980149053, 5.670434407781087, -0.2652223119478009, -0.010078926784943001, -0.010075579022796991, 1.510082274547089, -0.0163696354442386, 0.005108022422849965, 0.001182686236445635, 3.5049705555555555, 0.42003188051033985, 658.5567028349643, 721.4424990795949, 0.9128332523730452
0.00985, 0.42419382949383794, 1.1703227290479619, 5.333214378954761, 5.736916189055666, 5.857472514723782, -0.40370181010090567, -0.010072548704213594, -0.010069124533121289, 1.510075972875306, -0.016513533889179623, 0.0052734979403926945, 0.0011674872445733345, 3.5049469444444434, 0.4243398997976254, 658.5433938922863, 721.4279192616013, 0.9128332523730454
0.00995, 0.4284600466024019, 2.1163749563621397, 6.152744495997208, 6.026119360077673, 6.209308891295036, 0.12662513591953525, -0.010023047990740767, -0.010019368020964212, 1.5100267279605173, -0.0166571899620234, 0.0054470257516579, 0.001187116219624734, 3.5048548148148164, 0.4286479190849109, 658.4914646347266, 721.3710312621506, 0.9128332523730452
0.01005, 0.43282613975102, 1.6482506869165177, 6.150594549137647, 6.44301218492533, 6.096756302861054, -0.29241763578768204, -0.009971499243491316, -0.009967402835965943, 1.5099755956510168, -0.016800606098752842, 0.005631712073242538, 0.0011973947820189887, 3.5050538888888885, 0.43295593837219637, 658.6036770070866, 721.4939588308695, 0.9128332523730452
0.01015, 0.43713775896690005, 2.023125422881739, 5.906359945412529, 5.804659746020034, 6.025362101984729, 0.10170019939249507, -0.009944349817457555, -0.009940776266826615, 1.5099479233680886, -0.016943784686871168, 0.0058024518115627624, 0.0011969830578508524, 3.5050184259259267, 0.4372639576594819, 658.583686614154, 721.472059548738, 0.9128332523730454
0.01025, 0.4414196496926527, 2.866756104588304, 6.8231585947591755, 6.293401007171322, 6.372516163816457, 0.5297575875878543, -0.009874902120027363, -0.00987089844754901, 1.5098789057925057, -0.01708672806683488, 0.005985989464893404, 0.0012258364819141133, 3.504983148148148, 0.4415719769467674, 658.5638010110442, 721.4502750628443, 0.9128332523730452
0.01035, 0.4457194136151144, 2.413480244817185, 6.182293675525938, 6.5032742571169155, 6.703698016990145, -0.3209805815909775, -0.009807472296052326, -0.009803255360805063, 1.5098116892312996, -0.01722943853343086, 0.006175770357293456, 0.0012461958800850802, 3.5049729629629622, 0.44587999623405294, 658.5580598352713, 721.4439856603075, 0.9128332523730455
0.01045, 0.45001840785640446, 2.962638936674539, 6.838806726042277, 6.957293508816208, 6.993217271471956, -0.11848678277393106, -0.009759666926722175, -0.00975507507986479, 1.5097642587735796, -0.01737191833710017, 0.00637765954251449, 0.001234591867863506, 3.5049813888888903, 0.4501880155213384, 658.5628093510278, 721.4491887088864, 0.9128332523730455
0.01055, 0.45434031356132, 4.317471352028321, 8.154530152916864, 7.086148627513507, 7.086916753850006, 1.068381525403357, -0.009666016706641845, -0.009661265781837965, 1.5096707676314458, -0.01751416968521126, 0.006583985873140197, 0.0012641671054292175, 3.5050320370370374, 0.45449603480862394, 658.5913591192211, 721.4804647038386, 0.9128332523730454
0.01065, 0.458614915222351, 3.1177135122842237, 7.0474942373155125, 7.145373492769636, 6.973138256272394, -0.0978792554541232, -0.009553522854522288, -0.009548687638511112, 1.5095583580705334, -0.017656194743284816, 0.006793103307452729, 0.0013095685813097994, 3.5049557407407406, 0.45880405409590946, 658.5483521048756, 721.4333509355424, 0.912833252373045
0.01075, 0.46295614949345937, 2.265299179844754, 5.655441976317268, 6.8586060572659955, 7.176884511064324, -1.203164080948728, -0.009517156851654517, -0.00951245302512646, 1.5095218606781826, -0.01779799563617267, 0.006996752232080745, 0.0012840865524374099, 3.5050341666666665, 0.463112073383195, 658.5925595845886, 721.481779802039, 0.9128332523730454
0.01085, 0.46723969915066843, 3.1353470856634647, 7.12724733908168, 7.549661625860619, 7.204286416866671, -0.4224142867789392, -0.009445362785905995, -0.009440046428419412, 1.5094506791433926, -0.017939574449192804, 0.007218199952856164, 0.0012760117104306458, 3.5050117592592587, 0.4674200926704805, 658.5799286742288, 721.4679427618927, 0.9128332523730456
0.01095, 0.4715521991680614, 3.948367327217183, 7.510636143199363, 6.919276752811707, 6.940428593569492, 0.5913593903876558, -0.009367455055556884, -0.009362714193715106, 1.5093721959173987, -0.018080933229222492, 0.007426039464572589, 0.0012874387090930199, 3.5049861111111102, 0.471728111957766, 658.5654711775337, 721.4521047140813, 0.9128332523730454
0.01105, 0.47585240229438946, 4.430789778955405, 7.898914855774002, 7.015637756270796, 7.0565733569256155, 0.8832770995032059, -0.00925684213272525, -0.00925173724984185, 1.5092619470156086, -0.018222073985751566, 0.007637469949291929, 0.0013277619037343866, 3.5049835185185194, 0.4760361312450515, 658.5640097817015, 721.4505037690803, 0.9128332523730452
0.01115, 0.48014659667115717, 4.047503759858993, 6.8718768869822435, 7.151949118270664, 7.767243749455946, -0.28007223128841985, -0.009155900427020344, -0.009150853664255602, 1.509160947189785, -0.01836299869189749, 0.007853454291172034, 0.001353643973705113, 3.504952314814815, 0.48034415053233703, 658.5464210085928, 721.43123543824, 0.9128332523730452
0.01125, 0.48438222732350616, 4.276423836877993, 8.02849465167567, 8.437712812195372, 8.06036351317558, -0.4092181605197012, -0.009063588063555873, -0.00905729607880773, 1.509069880048304, -0.018503709285384057, 0.008101451172709682, 0.0013386700491185017, 3.504864351851853, 0.48465216981962256, 658.4968400995377, 721.3769200318652, 0.9128332523730454
0.01135, 0.48876422821231413, 4.510659240216235, 7.7187905254249, 7.749127216930986, 7.844697086226693, -0.030336691506085266, -0.008951716229301802, -0.008945943674186177, 1.5089574887844175, -0.018644207669485255, 0.00833458761574225, 0.0013579038244412036, 3.5050123148148145, 0.488960189106908, 658.580241835343, 721.468285826865, 0.9128332523730454
0.01145, 0.49303075340284397, 5.031069645284175, 8.048861449572534, 7.999730631442412, 8.21892420851088, 0.049130818130122086, -0.00884821994915081, -0.008842336326646235, 1.5088541035716554, -0.018784495713935898, 0.008575126365294663, 0.0013611493994904267, 3.5049207407407406, 0.49326820839419355, 658.5286237854361, 721.411738752388, 0.9128332523730455
0.01155, 0.49732882337931295, 5.335649783901615, 8.655737045525, 8.49925080419445, 8.338539441415936, 0.15648624133054923, -0.008711500348375832, -0.008705043667671407, 1.5087179570290803, -0.01892457525581041, 0.008829049723862028, 0.0013840251835725492, 3.504945185185186, 0.4975762276814791, 658.5424022527559, 721.4268329300859, 0.9128332523730454
0.01165, 0.5016187032896171, 4.87312355848723, 8.129504574200066, 8.242756657028803, 8.07619110575336, -0.11325208282873603, -0.008593461437836266, -0.008587119581961124, 1.5085998032937113, -0.01906444810037122, 0.009078399791349891, 0.0013925868711850615, 3.504882777777778, 0.5018842469687645, 658.5072257891691, 721.3882974544168, 0.9128332523730451
0.01175, 0.5059896542490016, 5.921264239590299, 8.791176457951748, 7.9717951395166775, 8.124535215931898, 0.8193813184350707, -0.00847882583758659, -0.008472777614946823, 1.5084848740602264, -0.019204116021887943, 0.009322765318618139, 0.0014025248656832135, 3.5050155555555556, 0.5061922662560501, 658.5820686104892, 721.4702870413707, 0.9128332523730455
0.01185, 0.5102782025185981, 5.197927940917894, 8.248992776693465, 8.336609719066336, 8.223274410555089, -0.0876169423728724, -0.008310741895911045, -0.008304281967441573, 1.5083172018243804, -0.0193435807644288, 0.00957725665752966, 0.001455582210988094, 3.5049960185185194, 0.5105002855433356, 658.5710558172424, 721.4582226328735, 0.9128332523730451
0.01195, 0.514582874360493, 5.557662551344576, 8.041435336635073, 8.17185142034844, 8.573147798349314, -0.13041608371336713, -0.008230643059896821, -0.008224274474936828, 1.508237011644857, -0.01948284404262516, 0.009829292729517191, 0.0014229082532111485, 3.504986574074074, 0.5148083048306211, 658.5657321413034, 721.4523905973673, 0.9128332523730454
0.01205, 0.5188243303841756, 5.567337880705432, 8.74221602630635, 9.034459669407516, 8.656308499182073, -0.2922436431011668, -0.008045383055786084, -0.008038215998458813, 1.5080525501131135, -0.01962190754241065, 0.01010335482088049, 0.0014731696657440728, 3.504894907407407, 0.5191163241179066, 658.5140626595349, 721.3957871797835, 0.9128332523730452
0.01215, 0.5231472945386755, 5.318800545188546, 7.830009714294309, 8.344833342810666, 8.579558875700563, -0.5148236285163575, -0.007964822256823713, -0.007958146376165194, 1.5079714981374823, -0.019760772921735607, 0.010362545069007736, 0.0014334055959041585, 3.5048891666666666, 0.5234243434051922, 658.5108268829292, 721.3922424178048, 0.9128332523730455
0.01225, 0.5274788769891966, 6.8835494468504885, 9.588439714918156, 8.874735711823545, 8.83407382628122, 0.7137040030946108, -0.007791429036360096, -0.007784282494881464, 1.5077985755778387, -0.01989944181125809, 0.010635828972901542, 0.0014721838019964514, 3.5049800000000007, 0.5277323626924777, 658.562026462243, 721.4483310617941, 0.9128332523730452
0.01235, 0.5317627117432727, 6.8140859974213885, 9.446004602444283, 8.85769549757018, 8.815768351518852, 0.5883091048741023, -0.007636156980678592, -0.007628988660302493, 1.5076433253010546, -0.020037915815012255, 0.010910240728520263, 0.001491518105813399, 3.5049286111111115, 0.5320403819797632, 658.5330600134058, 721.4165985972263, 0.9128332523730454
0.01245, 0.5360862792189056, 6.148784758496971, 8.582961701787992, 8.83746627022526, 8.915255455505182, -0.2545045684372685, -0.007466080395617232, -0.007458846509687698, 1.5074733142815469, -0.02017619651105515, 0.011185688483444063, 0.0015244276319938551, 3.5049657407407406, 0.5363484012670486, 658.5539888399423, 721.4395259242951, 0.9128332523730455
0.01255, 0.5403845583990856, 5.944834805181088, 8.386184349819448, 9.055996177092325, 9.065374554034232, -0.6698118272728764, -0.007342574134181722, -0.0073350437651380634, 1.5073501045032254, -0.020314285452092677, 0.011467856112828329, 0.0015038552050826268, 3.504967129629631, 0.5406564205543342, 658.5547717223574, 721.4403835644097, 0.9128332523730452
0.01265, 0.5446991220078552, 7.535466872598815, 9.417036560235678, 9.138944135574615, 9.635636046597691, 0.27809242466106227, -0.007182235442084437, -0.007174663224367859, 1.507189807659801, -0.020452184166085643, 0.011753536430981603, 0.001516412293019604, 3.5049831481481495, 0.5449644398416197, 658.5638010110449, 721.4502750628451, 0.9128332523730451
0.01275, 0.548927964327422, 7.909364846196495, 10.785023136588283, 10.196667436953472, 9.615090711896913, 0.5883556996348106, -0.006982782093797924, -0.006974034382962433, 1.5069915298046335, -0.020589894156836593, 0.012066004024836322, 0.0015411080382023458, 3.504888148148148, 0.5492724591289052, 658.5102527946383, 721.3916135096343, 0.9128332523730451
0.01285, 0.5532779230006782, 6.914859508914002, 8.86844472629112, 9.105644711836064, 9.37020223399795, -0.23719998554494445, -0.006804591088487605, -0.006796881692899926, 1.5068123004840752, -0.02072741690455829, 0.012354147363946626, 0.0015686784521240626, 3.504918796296298, 0.5535804784161907, 658.5275277792433, 721.4105380882033, 0.9128332523730452
0.01295, 0.557538222152006, 7.07468150503943, 9.316566039728077, 9.697838703333774, 9.607812549904363, -0.38127266360569834, -0.006652621872309026, -0.006644340459488319, 1.5066609032851297, -0.020864753866424474, 0.012657934192146508, 0.0015541978019689383, 3.5048539814814803, 0.5578884977034763, 658.4909949353062, 721.3705167109778, 0.9128332523730455
0.01305, 0.5618713267801426, 7.233299508452205, 9.16872845575373, 9.584951174107056, 9.725246051648169, -0.41622271835332614, -0.006466799928789254, -0.006458683812493931, 1.5064749160450845, -0.02100190647710357, 0.012960629470057187, 0.0015744770782571277, 3.5049050925925926, 0.5621965169907618, 658.5198035795996, 721.402076302194, 0.9128332523730454
0.01315, 0.5661566982326272, 7.676134850366835, 9.358848821339299, 9.931325995657707, 10.257730213133543, -0.5724771743184074, -0.006307257260818723, -0.006298754535041832, 1.5063157599865955, -0.021138876149276113, 0.01327316434049622, 0.0015584545479611703, 3.504877962962963, 0.5665045362780473, 658.5045119300829, 721.3853244480334, 0.9128332523730454
0.01325, 0.5704178145900254, 8.73258310830072, 11.151980010550297, 10.652053259473856, 10.161182169772509, 0.49992675107644113, -0.0061002914872065, -0.006090809004870362, 1.5061097739695426, -0.021275664274136373, 0.013604526749535292, 0.0015708460373945814, 3.504835833333334, 0.5708125555653328, 658.4807659811357, 721.359310990608, 0.9128332523730452
0.01335, 0.5748080562102859, 9.147818439478463, 10.569242089705144, 9.743156765048337, 10.169926797036819, 0.8260853246568075, -0.005890307130524668, -0.005881819897941624, 1.5058987943631077, -0.021412272221878866, 0.013915929915724407, 0.0016060351756297909, 3.5049477777777778, 0.5751205748526182, 658.543863616623, 721.4284338400693, 0.9128332523730456
0.01345, 0.5790930793018138, 8.35687554746305, 10.270035372573888, 10.66218863999966, 10.512850484617418, -0.39215326742577217, -0.005663515330261444, -0.005653935261913368, 1.5056730953986095, -0.02154870134217026, 0.014250836853594434, 0.0016343491583143829, 3.5049709259259267, 0.5794285941399038, 658.5569116041216, 721.4427277841877, 0.9128332523730454
0.01355, 0.5833928691240017, 8.781024882589636, 10.204020372751213, 10.435350162989874, 10.709919890929424, -0.2313297902386601, -0.005491295714869908, -0.005481953237752283, 1.5055006381919875, -0.02168495296460727, 0.014582043423680994, 0.001611613826056368, 3.504939166666667, 0.5837366134271893, 658.5390098092553, 721.4231165410393, 0.912833252373045
0.01365, 0.5876298734863464, 9.848807274365303, 11.363040680034345, 11.054123199407469, 11.149208084260442, 0.30891748062687624, -0.005244252275618323, -0.005234304276387476, 1.5052542002748492, -0.02182102839916103, 0.014929684491159419, 0.0016470916323832862, 3.5048352777777767, 0.5880446327144748, 658.4804528515558, 721.3589679601813, 0.9128332523730455
0.01375, 0.591948874231852, 8.894574406698611, 10.54561583141551, 11.317949549328777, 11.19652597633591, -0.7723337179132663, -0.005021049806487512, -0.005010573464619885, 1.5050315261483551, -0.02195692893660845, 0.015285382370118901, 0.0016504967600020374, 3.5048903703703718, 0.5923526520017603, 658.5115053513401, 721.3929856733876, 0.9128332523730455
0.01385, 0.596246472645954, 8.831937589628266, 10.024829813043734, 11.150142036429246, 11.414887215253842, -1.125312223385512, -0.004819567630560899, -0.00480930357062246, 1.5048298316904993, -0.022092655848950992, 0.01563886557908351, 0.0016342226393065845, 3.5048614814814822, 0.5966606712890459, 658.495222238119, 721.3751476803272, 0.9128332523730454
0.01395, 0.6005520964671021, 11.385941682840308, 12.743958246733575, 11.75291861816851, 11.775967015234935, 0.9910396285650649, -0.004599355849146974, -0.004588346798005828, 1.5046103649002882, -0.02222821038982138, 0.016008488598656355, 0.0016203659420180503, 3.504895555555555, 0.6009686905763314, 658.5144279898177, 721.3961873955751, 0.9128332523730454
