Number of particles: 108
dryVolFracMax: 0.0022
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 59.02417080547838
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
Reservoir swelling ratio: 7.0053187131881725
Mean swelling ratio: 7.001595853909466
Dry volume fraction: 0.0022
Reservoir volume fraction: 0.756321379114467
Actual volume fraction: 0.0
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, rho, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_reconstructed, (PV/NKT)_FR, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2, B2_HS, B2*
2.0E-4, 0.06872849414011652, 4.774648292756861E-5, -14.698142479457392, 1.1568817699998988, 1.1430184813664732, 1.1568817699998988, 0.013863288633425563, -4.911783626507411E-4, 1.5004922746345164, -5.213638970822166E-4, 6.332830520300481E-6, 2.385270391117499E-5, 7.00506329218107, 0.06875648901040608, 4066.1872378531516, 5759.500116100568, 0.7059965545423301
3.0E-4, 0.10304379116984533, 7.161972439135293E-5, -8.526543714895007, 1.2806756811403543, 1.2851278827260015, 1.2806756811403543, -0.004452201585647186, -7.017846089623833E-4, 1.5007045476022882, -7.530065463303081E-4, 1.5470060022334192E-5, 3.575187734559057E-5, 7.004908786008238, 0.10313473351560913, 4065.9181879623325, 5759.119023743833, 0.7059965545423298
4.0E-4, 0.13730092916474096, 9.549296585513724E-5, -7.961724765758838, 1.458227363922192, 1.4538532815454819, 1.458227363922192, 0.00437408237671022, -8.98290836565143E-4, 1.500904709323403, -9.765371141186377E-4, 3.0639551615668666E-5, 4.760672593782599E-5, 7.004920761316871, 0.13751297802081217, 4065.9390407856463, 5759.148560464912, 0.7059965545423297
5.0E-4, 0.1715327490977473, 1.1936620731892148E-4, -7.4342232368346615, 1.6134152623538394, 1.6282792229595364, 1.6134152623538394, -0.014863960605697057, -0.001081928964564688, 1.5010926514894074, -0.0011940355932402447, 5.261791589641692E-5, 5.9488712779139866E-5, 7.0049374382716, 0.1718912225260152, 4065.968080789834, 5759.18969381606, 0.7059965545423299
6.0E-4, 0.20568593243629565, 1.4323944878270585E-4, -6.927185892090518, 1.793160768073316, 1.8115971428487645, 1.793160768073316, -0.018436374775448572, -0.001253248849422403, 1.5012699820661588, -0.001406727072591923, 8.182731382298983E-5, 7.165090934653004E-5, 7.0047135185185185, 0.20626946703121826, 4065.578175181011, 5758.637416887349, 0.7059965545423299
7.0E-4, 0.2397603672904132, 1.6711269024649017E-4, -6.44228129105612, 2.0229613522115772, 2.0213143238463327, 2.0229613522115772, 0.0016470283652445517, -0.001412677727497482, 1.501438099047179, -0.0016154210498813184, 1.1892529004609801E-4, 8.381803233773835E-5, 7.004668611111114, 0.24064771153642134, 4065.4999820881126, 5758.526661257743, 0.7059965545423298
8.0E-4, 0.27368656501279903, 1.9098593171027449E-4, -5.883410640335107, 2.327978379868295, 2.2733536964793215, 2.327978379868295, 0.054624683388973416, -0.0015608451231004087, 1.5015987360972103, -0.0018206928681456847, 1.6499313857572514E-4, 9.485460646955082E-5, 7.004500771604947, 0.2750259560416244, 4065.20774763816, 5758.112729421853, 0.70599655454233
9.0E-4, 0.3076146634469305, 2.148591731740588E-4, -5.291521447385768, 2.5830800007256114, 2.572069586797867, 2.5830800007256114, 0.011010413927744267, -0.0016935898931921176, 1.5017446886111716, -0.0020229727110088343, 2.2145737709284677E-4, 1.0792544072386999E-4, 7.004545823045268, 0.30940420054682743, 4065.28618776465, 5758.223834959105, 0.7059965545423299
0.001, 0.34139270753761053, 2.38732414637843E-4, -4.702240449485228, 2.8776009429176934, 2.908798928584991, 2.8776009429176934, -0.0311979856672977, -0.0018134966615488764, 1.5018810855173514, -0.0022225944863660013, 2.8968060355230856E-4, 1.1941722126481643E-4, 7.004328292181072, 0.3437824450520305, 4064.9074489669006, 5757.687375120438, 0.7059965545423298
0.0011, 0.3750109040842433, 2.626056561016274E-4, -4.0356438703902695, 3.2456735020325564, 3.2700142390238476, 3.2456735020325564, -0.024340736991291134, -0.0019181053365347866, 1.50200767518701, -0.0024198249427019227, 3.7083121628802624E-4, 1.3088838987911005E-4, 7.004304742798358, 0.3781606895572336, 4064.8664490014326, 5757.629301231543, 0.70599655454233
0.0012, 0.4085186236169844, 2.864788975654117E-4, -3.3385806456148095, 3.596706541050432, 3.648507481472688, 3.596706541050432, -0.05180094042225569, -0.0020061844627082123, 1.5021202914648335, -0.00261488210504646, 4.657073025702877E-4, 1.4299033976796017E-4, 7.004080895061727, 0.41253893406243664, 4064.4767391978658, 5757.077301648742, 0.7059965545423299
0.0013, 0.4416277267678791, 3.10352139029196E-4, -2.6432644556525258, 4.130137094098014, 4.054555290981995, 4.130137094098014, 0.07558180311601959, -0.002077510820332945, 1.5022287938662677, -0.002807947521593494, 5.751861982427121E-4, 1.55250503017837E-4, 7.003971965020574, 0.4469171785676397, 4064.287105437451, 5756.808697277807, 0.7059965545423299
