#DryVolFrac,              volume fraction,       kT/epsilon,     kT/epsilon_converted
0.0015398490613755648,  0.06633275984875839, 0.0170015455950541, 0.014181436918160794
0.0016324455815280535,  0.07032158114830761, 0.0525502318392582, 0.004588111944110839
0.0017241710149434586,  0.07427287825877381, 0.1112828438949,    0.002166608418052335
0.0018341021611639984,  0.07900843092107938, 0.185471406491499,  0.0012999650508314078
0.0019621809477405514,  0.08452573752261958, 0.276661514683153,  0.000871484950278038
0.002052628787274891,   0.08842199915576356, 0.369397217928903,  0.0006527021175722536
0.0021625018610462853,  0.09315505020546332, 0.445131375579598,  0.0005416521045130862
0.002308612143080573,   0.09944910752102701, 0.556414219474498,  0.00043332168361046855
0.0024184271444028338,  0.10417965695812148, 0.633693972179289,  0.00038047757585309453
0.0026022264459284673,  0.11209726085468665, 0.741885625965997,  0.0003249912627078515
0.002712970606436958,   0.11686783609346998, 0.794435857805255,  0.00030349378618632053
0.0028433142185299385,  0.12248270558662654, 0.825347758887171,  0.000292126977714923
0.002917705025877281,   0.12568727133433588, 0.845440494590417,  0.000285184289030656
0.002973135178580671,   0.12807506056633336, 0.87017001545595,   0.00027707958454665875
0.0030287395486314735,  0.13047035463614723, 0.890262751159196,  0.0002708260522565431
0.003140180578529636,   0.13527094922619723, 0.924265842349304,  0.0002608625520063024
0.003289426772817435,   0.14170009362246033, 0.952086553323029,  0.0002532399449671572
0.0033827201623595955,  0.14571893427327623, 0.969088098918083,  0.00024879713891510184
0.0035138187162913823,  0.15136632473030476, 0.979907264296754,  0.00024605016734979303
0.003664110214663689,   0.15784049815346785, 0.979907264296754,  0.00024605016734979303
0.003852439167222179,   0.16595322783326574, 0.967542503863987,  0.00024919457843413555
0.003965622370594521,   0.17082887080148237, 0.955177743431221,  0.00025242039821969057
0.004098230808203929,   0.17654130318625527, 0.9258114374034,    0.00026042705525837863
0.00424979990045729,    0.18307051208674005, 0.891808346213292,  0.0002703566830151972
