#Volume fraction, 	Density, 	Softness
2.6287467631928716, 0.11654676258992806, 0
2.8559224093947218, 0.12661870503597122, 0.001726618705035965
#2.953283400624089, 0.1309352517985612, 0.003453237410071941
#3.0181907281103415, 0.13381294964028778, 0.0054676258992805704
#3.212912710569076, 0.14244604316546766, 0.0010935251798561152
3.3751810292846725, 0.14964028776978422, 0.001827338129496403
3.6348103392296602, 0.16115107913669063, 0.002748201438848922
3.861985985431509, 0.17122302158273378, 0.003712230215827339
4.024254304147107, 0.17841726618705034, 0.004446043165467627
4.316337277835208, 0.19136690647482013, 0.005568345323741006
4.543512924037058, 0.20143884892086328, 0.006345323741007194
4.900503225211412, 0.21726618705035972, 0.007410071942446044
5.095225207670147, 0.22589928057553954, 0.007928057553956834
5.257493526385743, 0.2330935251798561, 0.008230215827338129
5.354854517615111, 0.23741007194244607, 0.00841726618705036
5.5171228363307305, 0.24460431654676257, 0.008661870503597122
5.6469374913032135, 0.25035971223021586, 0.008877697841726618
5.906566801248178, 0.26187050359712233, 0.009237410071942446
6.101288783706912, 0.27050359712230215, 0.009496402877697842
6.2960107661656455, 0.27913669064748203, 0.009669064748201438
6.5231864123674965, 0.2892086330935252, 0.009784172661870503
6.847723049798714, 0.3035971223021583, 0.009812949640287769
7.17225968722993, 0.3179856115107914, 0.009697841726618704
7.431888997174917, 0.3294964028776979, 0.009510791366906475
