DryVolFrac kT/epsilon_converted
0.06173110564582202 14.13504245682338
0.06544984694978735 0.2720798988673366
0.06693734347137338 0.1269431426007259
0.0691685882537527 0.0637717303862533
0.07065608477533872 0.043699799751029944
0.07437482607930405 0.021056940984921717
0.07958106390485488 0.012706550605061132
0.08478730173040626 0.008539008427703495
0.08924979129516435 0.0063808495622628475
0.09371228085992295 0.005304267634418243
0.1011497634678531 0.0042491543907943975
0.10486850477181842 0.00372649445862959
0.11379348390133513 0.003191179775693939
0.11825597346609322 0.002979993456650187
0.12271846303085128 0.0028720969531706077
0.1249497078132306 0.0028091383103052738
0.12941219737798867 0.002717484061455401
0.1308996938995747 0.002656818462434997
0.13833717650750488 0.002551018973589567
0.13982467302909138 0.002490021571928022
