#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#Reservoir swelling ratio: 7.0053187131881725
#Mean swelling ratio: 4.95570625
#Dry volume fraction: 0.006000000000000003
#Reservoir volume fraction: 2.0626946703121836
#Actual volume fraction: 0.7306033053666101
#MC steps: 2000
#Equilibration steps: 1000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 4.6282015806574394E-5
#The coupling constant increment - dlambda: 0.0
#phi0, <alpha>, lindemannParameter
0.0011, 7.003406250000005, 0.16087037820462485
0.0012, 7.004918749999999, 0.14902100582904904
0.0013, 7.003528125, 0.1443568099263565
0.0014, 7.003521875000004, 0.12324009423958354
0.0015, 7.003646874999999, 0.10683893275021436
0.0016, 7.003193749999997, 0.0931492902333927
0.0017, 7.001990625, 0.076561832502148
0.0018, 7.001021874999997, 0.05588284348447228
0.0019, 6.998487500000001, 0.04023356756699951
0.002, 6.992428124999996, 0.024512656109958755
0.0021, 6.980515625000001, 0.011190951270232079
0.0022, 6.924418750000001, 0.004493322640731368
0.0023, 6.832284374999999, 0.003922403158154857
0.0024, 6.736340625000001, 0.0042158445086504836
0.0025, 6.641250000000001, 0.005625080252171051
0.0026, 6.5537968750000015, 0.006487331999213915
0.0027, 6.4752656250000005, 0.005606605164375159
0.0028, 6.395109375, 0.005925234138290265
0.0029, 6.3232968750000005, 0.005553168026852614
0.003, 6.234637499999999, 0.010162067142638466
0.0031, 6.192631250000001, 0.003180802448958107
0.0032, 6.124431249999999, 0.0042319254272395225
0.0033, 6.0559843749999995, 0.006535773371239393
0.0034, 5.99668125, 0.005649827088268803
0.0035, 5.936356249999998, 0.007255315246946863
0.0036, 5.87355625, 0.010396939282047237
0.0037, 5.825409374999999, 0.007927637929231032
0.0038, 5.768062499999998, 0.009936412379823272
0.0039, 5.7156625000000005, 0.011814328045449959
0.004, 5.684228125000001, 0.005050150898563587
0.0041, 5.6324875, 0.0073096877199141826
0.0042, 5.586040624999999, 0.007600991041502847
0.0043, 5.5496125, 0.004854121790640327
0.0044, 5.505056250000001, 0.005885364591935541
0.0045, 5.443853125, 0.014637585422655868
0.0046, 5.4213812500000005, 0.00804517887036377
0.0047, 5.387837500000001, 0.005327125331654489
0.0048, 5.346437499999999, 0.006585657108661959
0.0049, 5.3105562499999985, 0.006760025185044849
0.005, 5.268140624999999, 0.009503838481657338
0.0051, 5.231321875000002, 0.010668027562200096
0.0052, 5.204453125, 0.007694347969530337
0.0053, 5.164671874999999, 0.011494523398209517
0.0054, 5.13603125, 0.009657236333034669
0.0055, 5.108153124999999, 0.007439426560513573
0.0056, 5.0794375, 0.007536560201114063
0.0057, 5.04539375, 0.009523544160834705
0.0058, 5.019846875, 0.007465829480303236
