This fits B3 to B9 into the virial expansion since maxPower is set to 7.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876561228073994, 4.774648292756861E-5, 28.934061252195498, 1.1658045713654286, 1.133878112074352, 8.476005848038627E-4, 1.4991535210570248, -5.213638970822166E-4, 6.335942616025453E-6, 0.0013626285392700538, 7.006376604938269, 0.06875648901040608, 4068.474659075998, 971.2767792540881, 5762.740105315998, 0.7059965545423298
3.0E-4, 0.10314427092820667, 7.161972439135293E-5, 23.724420715895075, 1.3093569791026693, 1.2768191750812972, 0.0013814996616031768, 1.4986216917238278, -7.530065463303081E-4, 1.517307644793001E-5, 0.002119333131485555, 7.007447726337445, 0.10313473351560913, 4070.3408861284847, 971.7223081445908, 5765.3834993106, 0.7059965545423299
4.0E-4, 0.13751783382663924, 9.549296585513724E-5, 28.82915042254116, 1.423252791277959, 1.4724868223027703, 0.001980358233481802, 1.4980254904453172, -9.765371141186377E-4, 3.0324522490052837E-5, 0.0029265708251103866, 7.008353014403302, 0.13751297802081217, 4071.9186248004376, 972.0989655074135, 5767.618267542543, 0.7059965545423299
5.0E-4, 0.17190399988916033, 1.1936620731892148E-4, 35.051373450794955, 1.646974335006758, 1.686431405850351, 0.0027579902000693457, 1.4972529542649524, -0.0011940355932402447, 5.32693655899945E-5, 0.003898756427719596, 7.010087962962961, 0.1718912225260152, 4074.943437483859, 972.8210863431539, 5771.902725680419, 0.7059965545423299
6.0E-4, 0.20626221771750208, 1.4323944878270585E-4, 41.29797880667783, 1.8358682151252244, 1.8908357624198442, 0.0036539380375380146, 1.4963635802727138, -0.001406727072591923, 8.452583006145773E-5, 0.00497613928006848, 7.01159267489712, 0.20626946703121826, 4077.568054591237, 973.447667522698, 5775.620331794062, 0.7059965545423301
7.0E-4, 0.2406384045617622, 1.6711269024649017E-4, 49.96664965841333, 2.03143278625001, 2.0770880984420628, 0.004729823440105479, 1.4952955466672258, -0.0016154210498813184, 1.240120578230263E-4, 0.006221232432163771, 7.013335061728401, 0.24064771153642134, 4080.6086475985676, 974.1735556332691, 5779.927141774606, 0.7059965545423298
8.0E-4, 0.2750063807264372, 1.9098593171027449E-4, 60.872828709579196, 2.223675968885308, 2.2568983867913, 0.006039669822401249, 1.4939945770786611, -0.0018206928681456847, 1.7154205012892697E-4, 0.007688820640418007, 7.015242592592598, 0.2750259560416244, 4083.9391619004573, 974.968657354545, 5784.644607150975, 0.7059965545423298
9.0E-4, 0.3093685314250938, 2.148591731740588E-4, 80.11131747800756, 2.5542576788630242, 2.457232943936775, 0.0076362869168402105, 1.492412940778726, -0.0020229727110088343, 2.2737198994143644E-4, 0.009431887637907609, 7.0174926440329175, 0.30940420054682743, 4087.8700398427286, 975.90708533735, 5790.212450105703, 0.7059965545423299
0.001, 0.34371927810233954, 2.38732414637843E-4, 91.1339543544248, 2.88372506897704, 2.711462454379702, 0.009864703474669965, 1.4902025803010122, -0.0022225944863660013, 2.9254261438025177E-4, 0.011794755346655715, 7.020229825102881, 0.3437824450520305, 4092.655341089577, 977.0494918587797, 5796.9905302762945, 0.7059965545423298
0.0011, 0.3781072692143835, 2.626056561016274E-4, 106.52978002800938, 3.146493753577, 3.0494720111119977, 0.011987612712545571, 1.4880964554943816, -0.0024198249427019227, 3.6892446349860426E-4, 0.01403851319174889, 7.023077808641987, 0.3781606895572336, 4097.638316518319, 978.2390896149642, 5804.048603572377, 0.7059965545423298
