This fits B3 to B3 into the virial expansion since maxPower is set to 1.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876495504815562, 4.774648292756861E-5, 28.57089892992744, 1.2069208074218076, 1.2906332605464481, 8.654200713881781E-4, 1.499136050898155, -5.213638970822166E-4, 1.1576231447612917E-5, 0.0013752077370227818, 7.006562139917697, 0.06875648901040608, 4068.7978779352693, 971.3539420728184, 5763.197924631392, 0.7059965545423299
3.0E-4, 0.10314597765110582, 7.161972439135293E-5, 24.844519501514565, 1.2709836626119455, 1.5082921013663182, 0.0013641599379830688, 1.4986385945617098, -7.530065463303081E-4, 2.8639604802432977E-5, 0.002088526879510944, 7.0071259773662575, 0.10313473351560913, 4069.7802392656267, 971.5884635652615, 5764.5893780656015, 0.7059965545423299
4.0E-4, 0.1375241462018358, 9.549296585513724E-5, 30.493419050520828, 1.4574827960234256, 1.7743397380430859, 0.0020516584976108887, 1.4979546054981092, -9.765371141186377E-4, 5.5540121643211034E-5, 0.0029726554900863155, 7.008654979423865, 0.13751297802081217, 4072.444980978959, 972.2246237888714, 5768.363818176091, 0.7059965545423299
5.0E-4, 0.17189008791004845, 1.1936620731892148E-4, 31.660837507805383, 1.619998028020348, 2.0886335084077183, 0.002820113450081957, 1.4971907524329038, -0.0011940355932402447, 9.400098172686343E-5, 0.003920148061595338, 7.009883858024688, 0.1718912225260152, 4074.5875110530133, 972.7361151668847, 5771.39857813387, 0.7059965545423298
6.0E-4, 0.20627713412437063, 1.4323944878270585E-4, 41.556986264980324, 1.7654658088353345, 2.4512498592139287, 0.0035633521351498424, 1.4964522764362576, -0.001406727072591923, 1.457631466179878E-4, 0.004824316061123777, 7.0112685699588475, 0.20626946703121826, 4077.002634329311, 973.3126833782833, 5774.819449327586, 0.70599655454233
7.0E-4, 0.24064582873346774, 1.6711269024649017E-4, 59.673339458023285, 2.0278884562798103, 2.862320599782927, 0.004804313385304043, 1.495220909223951, -0.0016154210498813184, 2.1258412979601712E-4, 0.006207150305389345, 7.013193909465025, 0.24064771153642134, 4080.3622702834555, 974.1147373819203, 5779.57816370449, 0.7059965545423298
8.0E-4, 0.2750127015884976, 1.9098593171027449E-4, 59.902720542998594, 2.303429196583899, 3.3220461855496275, 0.006412544218813357, 1.4936243580434372, -0.0018206928681456847, 2.962471420453783E-4, 0.007936989944913663, 7.016057088477367, 0.2750259560416244, 4085.3618088640837, 975.3082892993488, 5786.659697670148, 0.7059965545423298
9.0E-4, 0.30939276114072317, 2.148591731740588E-4, 83.33509187249865, 2.478190685718805, 3.8294585048193044, 0.007664457609025239, 1.492382185116989, -0.0020229727110088343, 3.9830345886722685E-4, 0.009289126861166846, 7.016965462962969, 0.30940420054682743, 4086.9488194356863, 975.6871601651633, 5788.907598968519, 0.70599655454233
0.001, 0.3437184154197795, 2.38732414637843E-4, 96.68615289944779, 2.917362336138844, 4.386173655189278, 0.010391501760170976, 1.489677851245199, -0.0022225944863660013, 5.2082884242993E-4, 0.012093267404107046, 7.020379176954728, 0.3437824450520305, 4092.9165541866255, 977.1118518921731, 5797.360522304396, 0.7059965545423299
0.0011, 0.37805531018632527, 2.626056561016274E-4, 130.82389453206775, 3.153370236006376, 4.990606679479402, 0.012280881357771011, 1.4878033927480565, -0.0024198249427019227, 6.6521276576448E-4, 0.014035493534708454, 7.022161563786005, 0.3781606895572336, 4096.034767330497, 977.856270445365, 5801.777276357669, 0.7059965545423299
