This fits B3 to B7 into the virial expansion since maxPower is set to 5.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876169196722712, 4.774648292756861E-5, 28.41398342099154, 1.145437319107294, 1.1576715787345455, 8.364980110531936E-4, 1.4991645289235163, -5.213638970822166E-4, 8.068157207943738E-6, 0.0013497937509274664, 7.006075514403288, 0.06875648901040608, 4067.9501683272906, 971.151566311194, 5761.997196947208, 0.7059965545423297
3.0E-4, 0.1031428211856565, 7.161972439135293E-5, 25.197757351786798, 1.2653496241792712, 1.2494352206757646, 0.0013566677743145899, 1.4986460408097269, -7.530065463303081E-4, 1.786959686227983E-5, 0.002091804723782618, 7.007318148148149, 0.10313473351560913, 4070.115090231212, 971.6684033448195, 5765.0636735326725, 0.7059965545423296
4.0E-4, 0.13752232078066465, 9.549296585513724E-5, 29.25240747017896, 1.4718999532356274, 1.3743679525278436, 0.0020396023022632983, 1.4979669238410644, -9.765371141186377E-4, 3.224390634247655E-5, 0.0029838955100394593, 7.008788796296291, 0.13751297802081217, 4072.678252094667, 972.2803131655897, 5768.694232133789, 0.70599655454233
5.0E-4, 0.1718934833315684, 1.1936620731892148E-4, 32.74214040869506, 1.6507009848958716, 1.5417644031014122, 0.00275336734817977, 1.49725777764969, -0.0011940355932402447, 5.234868836132192E-5, 0.0038950542530586927, 7.009949413580244, 0.1718912225260152, 4074.7018272177434, 972.7634061409228, 5771.560499837304, 0.7059965545423298
6.0E-4, 0.2062696736967579, 1.4323944878270585E-4, 40.18513176494987, 1.794540320977431, 1.7553847881606137, 0.0036029243502991113, 1.4964136634103617, -0.001406727072591923, 7.962232157050344E-5, 0.004930029101320531, 7.0115214917695425, 0.20626946703121826, 4077.4438669292667, 973.4180199022877, 5775.444427731683, 0.7059965545423299
7.0E-4, 0.2406413804219069, 1.6711269024649017E-4, 49.42698302762637, 2.008218756418699, 2.01420259706835, 0.004672066055937044, 1.4953524913406908, -0.0016154210498813184, 1.1557415317738858E-4, 0.006171912952640974, 7.0130195473251025, 0.24064771153642134, 4080.0579397524207, 974.0420838193984, 5779.147098525663, 0.7059965545423299
8.0E-4, 0.2749893058728454, 1.9098593171027449E-4, 67.13008229670848, 2.2603997250403394, 2.3140908067864943, 0.0059628889515888975, 1.4940725704165498, -0.0018206928681456847, 1.6172311939088345E-4, 0.007621858700343699, 7.014953559670785, 0.2750259560416244, 4083.434399212407, 974.8481541392076, 5783.929642347246, 0.70599655454233
9.0E-4, 0.30939550583952574, 2.148591731740588E-4, 74.17366386517935, 2.5812496754876113, 2.648858342175042, 0.007877291384243111, 1.4921729713073537, -0.0020229727110088343, 2.195004363572859E-4, 0.00968076365889466, 7.017829475308643, 0.30940420054682743, 4088.458706753574, 976.0476192103936, 5791.046259997632, 0.70599655454233
0.001, 0.34373304407568434, 2.38732414637843E-4, 90.25534751842758, 2.801652724076851, 3.010379506509887, 0.009504420527002896, 1.4905589623580087, -0.0022225944863660013, 2.8994641894149664E-4, 0.0114370685944274, 7.019579002057616, 0.3437824450520305, 4091.5171956642944, 976.777779653193, 5795.378418406966, 0.7059965545423297
0.0011, 0.3780948103037154, 2.626056561016274E-4, 128.5979915426519, 3.2100675930529543, 3.3925898823232914, 0.012186666793653485, 1.487899537937024, -0.0024198249427019227, 3.7430345887763813E-4, 0.01423218827747777, 7.02281558641975, 0.3781606895572336, 4097.179350348565, 978.1295195130218, 5803.3985066748755, 0.70599655454233
