This fits B3 to B8 into the virial expansion since maxPower is set to 6.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
0.0018, 0.6182551098975642, 4.297183463481176E-4, 825.101606087004, 7.453490455427959, 6.842438190983486, 0.07312512137011529, 1.4273129513036122, -0.003748087361811589, 0.0014497598804635195, 0.07542344885146336, 7.059266203703703, 0.618808401093655, 4161.307990052546, 993.4391045169936, 5894.232717254777, 0.7059965545423298
0.0019, 0.6524635059454783, 4.535915878119019E-4, 1013.1615102715567, 8.269191570395721, 7.441449388655833, 0.09452139313533495, 1.4060088786389846, -0.003931790000723226, 0.001683582824213011, 0.09676960031184517, 7.067565257201639, 0.6531866455988581, 4176.001670390041, 996.9469623038802, 5915.045397207611, 0.70599655454233
0.002, 0.6866942268048929, 4.7746482927568624E-4, 423.4354900942463, 9.292522414698533, 8.188718563003022, 0.1215000201231658, 1.3791383986238357, -0.004114235572503025, 0.0019418041126232546, 0.12367245158304557, 7.075602849794235, 0.687564890104061, 4190.265360284109, 1000.3521674339365, 5935.249022568524, 0.7059965545423299
0.0021, 0.7210189154368887, 5.013380707394704E-4, 436.08132401454685, 9.228001093523325, 9.164141371969222, 0.11473894853404652, 1.3858801832853165, -0.0042954869843524115, 0.002224615775862873, 0.11680981974253606, 7.072474228395064, 0.721943134609264, 4184.70938508459, 999.0257760588875, 5927.379330905341, 0.7059965545423298
0.0022, 0.7551619296635979, 5.252113122032547E-4, 1398.061851540006, 10.270298012734413, 10.494617836903245, 0.14232136961525788, 1.3583971790403675, -0.0044756011451519695, 0.0025492027703056027, 0.14424776799010425, 7.080561944444431, 0.756321379114467, 4199.082060620008, 1002.456999594264, 5947.737327616434, 0.7059965545423299
0.0023, 0.7892451047881596, 5.490845536670391E-4, 2409.5623824000586, 11.627207790422176, 12.294248335908634, 0.18149148486028638, 1.319355394925117, -0.004654629784629776, 0.0029232031175896057, 0.18322291152732653, 7.09133807613169, 0.79069962361967, 4218.283402437992, 1007.0409822907578, 5974.9348283612235, 0.70599655454233
0.0024, 0.8231276158379266, 5.729577951308231E-4, 4634.093048651611, 13.761132775249083, 14.69509374629331, 0.2573694987694338, 1.2436889924307306, -0.004832620129818146, 0.0033633241810640917, 0.2588387947181879, 7.108540164609054, 0.8250778681248729, 4249.055923391488, 1014.3873805224797, 6018.522181239235, 0.70599655454233
0.0025, 0.8566001852820531, 5.968310365946075E-4, 9064.826647467678, 16.831313681158147, 17.82727943514908, 0.40275312949249487, 1.0986480576062692, -0.005009615468588517, 0.003890466503055256, 0.40387227845802814, 7.135638004115229, 0.8594561126300759, 4297.833748282661, 1026.0322284395313, 6087.612921948012, 0.7059965545423298
0.0026, 0.8894833133430836, 6.207042780583919E-4, 18291.765745832767, 21.12317219295384, 21.808632446815352, 0.6901830895341183, 0.8117685369047547, -0.005185655622889315, 0.004530799016280888, 0.6908379461407268, 7.177434444444441, 0.8938343571352789, 4373.799653102158, 1044.1677523272383, 6195.213878823423, 0.7059965545423296
0.0027, 0.9208035475313385, 6.445775195221761E-4, 35896.39929154932, 26.9407926661009, 26.729569847188486, 1.2761206103909832, 0.22673774566826688, -0.005360777349080229, 0.005315769827963404, 1.2761656179121001, 7.239855082304528, 0.9282126016404819, 4488.909003100284, 1071.6480853996836, 6358.259079621527, 0.70599655454233
0.0028, 0.9484224754773597, 6.684507609859605E-4, 56818.89300577195, 34.190215615242174, 32.632162548867086, 2.404109905469264, -0.899817131726683, -0.005535014678884134, 0.006280184559974963, 2.403364735588173, 7.327787479423872, 0.9625908461456849, 4654.465102807423, 1111.1716928407923, 6592.7589488375515, 0.7059965545423298
0.0029, 0.9674328068709485, 6.923240024497446E-4, -50351.560116297944, 41.31760687740061, 39.45205524005871, 3.989022915254421, -2.482759322011986, -0.005708399211575585, 0.0074363879986207165, 3.987294926467376, 7.418904804526741, 0.9969690906508879, 4830.260771366333, 1153.1398172787347, 6841.762527435565, 0.70599655454233
