This fits B3 to B11 into the virial expansion since maxPower is set to 9.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876322121089028, 4.774648292756861E-5, 28.676126647546383, 1.171583276528, 1.1368674050747338, 8.539374603089384E-4, 1.4991472216641426, -5.213638970822166E-4, 6.1602233091652134E-6, 0.0013691411340819898, 7.006428395061722, 0.06875648901040608, 4068.564880473272, 971.2983180261112, 5762.867898287075, 0.7059965545423297
3.0E-4, 0.10314149174290192, 7.161972439135293E-5, 25.813249185238053, 1.2849406367740535, 1.2850387351353671, 0.0013691841914058687, 1.4986337137912287, -7.530065463303081E-4, 1.508702127447227E-5, 0.0021071037164617046, 7.007343209876539, 0.10313473351560913, 4070.158760783158, 971.6788289211341, 5765.125530140419, 0.7059965545423298
4.0E-4, 0.13752416865005343, 9.549296585513724E-5, 29.94825605179477, 1.5309013054428497, 1.473858826737622, 0.0020864293218369814, 1.4979209435174292, -9.765371141186377E-4, 3.0390068301301608E-5, 0.0030325763676543175, 7.009223034979421, 0.13751297802081217, 4073.4352833301455, 972.4610410603918, 5769.76651957005, 0.7059965545423298
5.0E-4, 0.1718891987151544, 1.1936620731892148E-4, 30.6027964144568, 1.6474475694606152, 1.6714746659315205, 0.0027991080876933407, 1.4972122569426467, -0.0011940355932402447, 5.316581088632546E-5, 0.00393997787004726, 7.010030679012343, 0.1718912225260152, 4074.843541326042, 972.7972378921853, 5771.761229015636, 0.7059965545423299
6.0E-4, 0.20627416258842143, 1.4323944878270585E-4, 39.56869608783032, 1.7695117396040652, 1.863494867622017, 0.003547605218375701, 1.49646813965792, -0.001406727072591923, 8.382268112330336E-5, 0.00487050960984432, 7.011304753086416, 0.20626946703121826, 4077.06575534639, 973.3277524111049, 5774.9088563036885, 0.7059965545423297
7.0E-4, 0.24063891252479597, 1.6711269024649017E-4, 52.09106610550326, 1.9927688978055134, 2.0533949494985366, 0.004688374159917082, 1.4953360375982978, -0.0016154210498813184, 1.2247469764357374E-4, 0.006181320512154826, 7.012692201646095, 0.24064771153642134, 4079.4866336320556, 973.9056945297863, 5778.33787910853, 0.7059965545423298
8.0E-4, 0.27501922805495627, 1.9098593171027449E-4, 64.01954363458725, 2.2626874465856948, 2.2564559441597973, 0.00603477041686096, 1.4940007771856263, -0.0018206928681456847, 1.6947454009497045E-4, 0.0076859887449116735, 7.015276574074081, 0.2750259560416244, 4083.998509374224, 974.98282552026, 5784.728669138792, 0.7059965545423298
9.0E-4, 0.3094053666911214, 2.148591731740588E-4, 80.26387668639778, 2.561937917581699, 2.4911067675363356, 0.007745082207096635, 1.4923048508602417, -0.0020229727110088343, 2.2550007434901697E-4, 0.009542554843756454, 7.018152304526741, 0.30940420054682743, 4089.022955848971, 976.182323759395, 5791.845483579909, 0.70599655454233
0.001, 0.34375418107155814, 2.38732414637843E-4, 94.80745879838668, 2.856719761621974, 2.7739570973537826, 0.009867088234768524, 1.4901994763129909, -0.0022225944863660013, 2.916553367134022E-4, 0.011798027384421123, 7.0204304423868304, 0.3437824450520305, 4093.0062188597058, 977.1332577560853, 5797.487526710443, 0.7059965545423298
0.0011, 0.3781210355876324, 2.626056561016274E-4, 113.4086236094757, 3.2195391506157276, 3.118050124618313, 0.012271804920019969, 1.4878139480136765, -0.0024198249427019227, 3.696005423180548E-4, 0.014322029320403837, 7.022855864197529, 0.3781606895572336, 4097.249846102226, 978.146349134515, 5803.49835950448, 0.7059965545423298
0.0012, 0.41244074862544206, 2.864788975654117E-4, 156.49923633815172, 3.5137606274295488, 3.5315893951745494, 0.01528195114577741, 1.4848263511586253, -0.00261488210504646, 4.6127800311563516E-4, 0.017435555247708234, 7.025406995884772, 0.41253893406243664, 4101.716585107799, 979.2127045228725, 5809.82521616806, 0.7059965545423301
0.0013, 0.4467600485358726, 3.10352139029196E-4, 215.8898687064233, 3.9992276998392517, 4.019404153997533, 0.019744093036017055, 1.480396823285379, -0.002807947521593494, 5.69116369611938E-4, 0.02198292418799861, 7.029631080246915, 0.4469171785676397, 4109.11960804274, 980.9800460637503, 5820.31113552179, 0.70599655454233
0.0014, 0.4811045103798967, 3.342253804929803E-4, 254.18617525702024, 4.540669607556862, 4.58062162791909, 0.025589933076203678, 1.4745913540737854, -0.002999174719602353, 6.95243001188243E-4, 0.02789386479461779, 7.034101409465031, 0.48129542307284273, 4116.963889394433, 982.8527302919385, 5831.422069847494, 0.70599655454233
0.0015, 0.5153985998421122, 3.580986219567647E-4, 336.8962370974969, 5.049189936331316, 5.209999896329492, 0.031880588913350334, 1.4683423414362469, -0.003188695233083918, 8.419524369791512E-4, 0.0342273317094551, 7.038834156378593, 0.5156736675780458, 4125.279519087685, 984.8379406478429, 5843.200639643268, 0.7059965545423298
0.0016, 0.5497008257033488, 3.8197186342054886E-4, 532.5010433547691, 5.702598850388926, 5.896467951645192, 0.04167554350914142, 1.458603431011933, -0.0033766230161081877, 0.0010115379541754403, 0.044040628571074165, 7.044464897119333, 0.5500519120832489, 4135.1875374551755, 987.2033057969899, 5857.234728483705, 0.70599655454233
0.0017, 0.5839930008436235, 4.0584510488433315E-4, 619.8039847906443, 6.65006489386367, 6.622888584102682, 0.05730564088880129, 1.4430550312713282, -0.0035630577486152858, 0.0012061887079207346, 0.059662509929495844, 7.0521534259259315, 0.5844301565884519, 4148.742103456383, 990.4392200678262, 5876.433924165325, 0.70599655454233
0.0018, 0.6182683468315844, 4.297183463481176E-4, 900.9770917294633, 7.3258859054369845, 7.364776298147319, 0.07126900388738691, 1.4291608167459895, -0.003748087361811589, 0.0014262284845326656, 0.07359086276466584, 7.058349927983534, 0.618808401093655, 4159.687817156003, 993.052316729271, 5891.9378435955205, 0.70599655454233
0.0019, 0.6524525459429963, 4.535915878119019E-4, 1175.0353951140514, 8.525860848998285, 8.108788805572317, 0.10032412821719253, 1.4002311099130993, -0.003931790000723226, 0.0016745951165158465, 0.10258132310139992, 7.069581728395071, 0.6531866455988581, 4179.577098231549, 997.8005328258469, 5920.109767307586, 0.7059965545423298
0.002, 0.6866872558725603, 4.7746482927568624E-4, 249.65903022629973, 9.46450951452983, 8.848111898467778, 0.1273728113194888, 1.3732862329923003, -0.004114235572503025, 0.0019488882010166297, 0.12953815869097518, 7.077429248971203, 0.687564890104061, 4193.511051006202, 1001.1270190171895, 5939.846340644953, 0.7059965545423298
