This fits B3 to B6 into the virial expansion since maxPower is set to 4.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876188126777374, 4.774648292756861E-5, 29.16229537069865, 1.1542031810672317, 1.1549112214445902, 8.346568042516539E-4, 1.4991663917145839, -5.213638970822166E-4, 7.996713218509487E-6, 0.001348023988115361, 7.006239269547326, 0.06875648901040608, 4068.235419321766, 971.219664969883, 5762.401237154825, 0.70599655454233
3.0E-4, 0.10314476565747142, 7.161972439135293E-5, 24.542882098237722, 1.3018865340378245, 1.2440192156323409, 0.0013923970380457762, 1.498610738554161, -7.530065463303081E-4, 1.7646976178062287E-5, 0.002127756608198022, 7.007435967078187, 0.10313473351560913, 4070.320394739054, 971.7174161857126, 5765.3544745380295, 0.7059965545423299
4.0E-4, 0.13752497305972738, 9.549296585513724E-5, 28.811187821994988, 1.4613333616116937, 1.3660745647908619, 0.0020064931053484906, 1.497999879875533, -9.765371141186377E-4, 3.175564738628164E-5, 0.0029512745720808465, 7.008552736625512, 0.13751297802081217, 4072.2667561563253, 972.1820757466157, 5768.111373852551, 0.7059965545423298
5.0E-4, 0.17189108448947588, 1.1936620731892148E-4, 31.449458641910528, 1.5932806852599604, 1.5309314306961983, 0.0027680299255116326, 1.4972422977765159, -0.0011940355932402447, 5.148360238183247E-5, 0.003910581916370045, 7.0097059670781805, 0.1718912225260152, 4074.2773145435035, 972.6620612051572, 5770.959204163114, 0.7059965545423297
6.0E-4, 0.20627656356265622, 1.4323944878270585E-4, 41.19545680827393, 1.7443303982148857, 1.7426903565482907, 0.0035080941454757467, 1.496507202860762, -0.001406727072591923, 7.827150294122308E-5, 0.004836549715126447, 7.0111469135802515, 0.20626946703121826, 4076.790411064064, 973.2620188057285, 5774.518848334731, 0.70599655454233
7.0E-4, 0.24063877806229675, 1.6711269024649017E-4, 51.0856626570297, 2.052482722623056, 2.0009840783905264, 0.004734968100701274, 1.495290719433561, -0.0016154210498813184, 1.1369907717585082E-4, 0.006236690073406741, 7.013468323045264, 0.24064771153642134, 4080.8412605893213, 974.2290878942277, 5780.256623539434, 0.7059965545423298
8.0E-4, 0.2750182977499572, 1.9098593171027449E-4, 64.2295111944836, 2.215846668955063, 2.301346516131706, 0.005947254865373145, 1.4940866840244968, -0.0018206928681456847, 1.5921627690296353E-4, 0.007608731456615865, 7.0149062757201746, 0.2750259560416244, 4083.3518272007623, 974.8284415234863, 5783.812684252886, 0.7059965545423299
9.0E-4, 0.3093906117989206, 2.148591731740588E-4, 71.59117343532775, 2.572704778589298, 2.638218343449681, 0.007801701360394762, 1.4922479941959996, -0.0020229727110088343, 2.1635658039852182E-4, 0.009608317491005075, 7.0174708641975245, 0.30940420054682743, 4087.8319780171882, 975.8979987458333, 5790.158537908405, 0.7059965545423298
0.001, 0.3437023950969777, 2.38732414637843E-4, 102.40220751314212, 2.786012950016933, 3.0037183502766163, 0.009365481605567624, 1.490697619596159, -0.0022225944863660013, 2.86232766918053E-4, 0.011301843325015572, 7.019239598765437, 0.3437824450520305, 4090.9237381664175, 976.6361021117399, 5794.537822947881, 0.7059965545423299
0.0011, 0.37810549817955563, 2.626056561016274E-4, 142.558538280781, 3.274184903870325, 3.3920709100670345, 0.01269104661316634, 1.4873981517009114, -0.0024198249427019227, 3.702048251173881E-4, 0.014740666730750874, 7.023183569958849, 0.3781606895572336, 4097.82343969184, 978.2832845171844, 5804.3108189788545, 0.7059965545423298
